"Prov","cn","Aou","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
"11","Clay-colored Sparrow",5610,4697029.81,4658173,0.234773971591592,3221030.3,5971771.2,2971292.25,7269630.025,4700000,4660000,3220000,5970000,2970000,7270000,"BC"
"11","Golden-crowned Kinglet",7480,32407442.05,30940176.5,0.317432538152228,21108359.7,44914479.9,19344988.525,59392487.875,32400000,30900000,21100000,44900000,19300000,59400000,"BC"
"11","Red-naped Sapsucker",4021,966909.59,940825.5,0.244107486819962,674909.3,1314404.3,623567.4,1448533.8,967000,941000,675000,1310000,624000,1450000,"BC"
"11","Yellow-rumped Warbler",6550,7079557.46,6972397.5,0.255613075631561,4969832,9478427.3,3726106.675,10677700.2,7080000,6970000,4970000,9480000,3730000,10700000,"BC"
"11","Nashville Warbler",6450,977958.15,938987,0.288030507287618,678732.4,1370865.5,543993.525,1593080.825,978000,939000,679000,1370000,544000,1590000,"BC"
"11","Red-breasted Nuthatch",7280,4272560.29,4276906,0.190423163828887,3251455.4,5550175.8,2961334.475,6086173.525,4270000,4280000,3250000,5550000,2960000,6090000,"BC"
"11","Red-eyed Vireo",6240,4541807.96,4403684,0.240931768695771,3115647,5990329.1,2857283.6,7013076.45,4540000,4400000,3120000,5990000,2860000,7010000,"BC"
"11","Yellow-breasted Chat",6830,7101.6,5931,0.892665085529397,826.2,15558.8,0,22102.05,7100,5930,826,15600,0,22100,"BC"
"11","Northern Pygmy-Owl",3790,7595.66,6874,0.619118347023527,2149.6,13766,1156.05,17814.25,7600,6870,2150,13800,1160,17800,"BC"
"11","Turkey Vulture",3250,52507.1,52852,0.227830598762642,36685.6,67961.3,31439.475,76347.15,52500,52900,36700,68000,31400,76300,"BC"
"11","Varied Thrush",7630,7304106.28,7122038,0.2792813320755,4796950,10302661.3,4270141.25,11278628.05,7300000,7120000,4800000,10300000,4270000,11300000,"BC"
"11","LeConte's Sparrow",5480,78949.61,73208,0.411503365752761,39466.5,126890.3,27811.425,143494.125,78900,73200,39500,127000,27800,143000,"BC"
"11","Bewick's Wren",7190,96157.5,79670,0.566402738342942,41380.6,167862.1,24561.875,218990.875,96200,79700,41400,168000,24600,219000,"BC"
"11","Wild Turkey",3100,19197.7,17859,0.540636877403312,6566.1,34925.4,3184.675,40307.575,19200,17900,6570,34900,3180,40300,"BC"
"11","Swamp Sparrow",5840,85773.97,79406.5,0.55562381579823,26326,152017.6,13938.375,178410.55,85800,79400,26300,152000,13900,178000,"BC"
"11","American Tree Sparrow",5590,779744.24,645032,0.807799178075853,109615.5,1779636.3,21861.875,2198859.025,780000,645000,110000,1780000,21900,2200000,"BC"
"11","Pileated Woodpecker",4050,188109.29,185093.5,0.20804552477516,140220.9,235013.4,124937.175,285876.475,188000,185000,140000,235000,125000,286000,"BC"
"11","Brewer's Sparrow",5620,12655.22,10257,0.965602485962841,184.5,31006.7,0,43824.375,12700,10300,185,31000,0,43800,"BC"
"11","House Wren",7210,691452.66,695562.5,0.188326189598225,519200.7,844979.4,472591.375,950359.65,691000,696000,519000,845000,473000,950000,"BC"
"11","Mountain Bluebird",7680,372398.45,332054,0.421169961318799,225016.3,571472.6,173804.55,841031.475,372000,332000,225000,571000,174000,841000,"BC"
"11","Peregrine Falcon",3560,1817.66,1693.5,0.601182061925452,561.8,3134.2,277.7,4292.15,1820,1690,562,3130,278,4290,"BC"
"11","Cassin's Vireo",6291,1852742.45,1805793,0.192465598024095,1458559.3,2337557.2,1320542.175,2592075.525,1850000,1810000,1460000,2340000,1320000,2590000,"BC"
"11","White-crowned Sparrow",5540,4012061,3873794.5,0.353771473137162,2321965.6,5922564.1,1840914.825,6957543.875,4010000,3870000,2320000,5920000,1840000,6960000,"BC"
"11","Philadelphia Vireo",6260,67529.1,63242.5,0.428769119035049,37359.8,110894.8,24700.2,132065.625,67500,63200,37400,111000,24700,132000,"BC"
"11","Cooper's Hawk",3330,11724.55,11347.5,0.357539842677544,6317.4,17116.1,5045.6,20649.15,11700,11300,6320,17100,5050,20600,"BC"
"11","House Sparrow",6882,1058912.84,966245.5,0.341065015268481,670683.3,1527784.8,583864.75,1914246.775,1060000,966000,671000,1530000,584000,1910000,"BC"
"11","Evening Grosbeak",5140,680437.3,677781.5,0.293094895444022,447555.2,933530.2,341505,1113945.375,680000,678000,448000,934000,342000,1110000,"BC"
"11","Canada Jay",4840,868414.43,858616.5,0.225246542975445,627052.3,1117770.7,522260.775,1282424.675,868000,859000,627000,1120000,522000,1280000,"BC"
"11","Northwestern Crow",4890,297546.75,277708.5,0.32209163346862,191921.8,449631.4,157390.225,501238.025,298000,278000,192000,450000,157000,501000,"BC"
"11","Orange-crowned Warbler",6460,9754434.97,10040675,0.137133161500342,7908863.5,11197060.8,7427492.8,12188432.7,9750000,1e+07,7910000,11200000,7430000,12200000,"BC"
"11","White-throated Swift",4250,26988.43,24277,0.756823363657034,0,55634.7,0,75092.125,27000,24300,0,55600,0,75100,"BC"
"11","Townsend's Solitaire",7540,139760.92,133712.5,0.304862536302665,89010.4,194044.8,74220.725,231036.55,140000,134000,89000,194000,74200,231000,"BC"
"11","Tree Swallow",6140,1407582.02,1389190,0.217556037937459,1009164.1,1824754.8,852216.05,1993920.55,1410000,1390000,1010000,1820000,852000,1990000,"BC"
"11","Brown-headed Cowbird",4950,1861811.23,1843036.5,0.15772990819748,1463594.4,2290279.9,1378814.925,2413475.875,1860000,1840000,1460000,2290000,1380000,2410000,"BC"
"11","Spotted Towhee",5880,6117942.85,6106918,0.16781048676779,4790990,7562761.1,4379842.625,8206303.425,6120000,6110000,4790000,7560000,4380000,8210000,"BC"
"11","Common Redpoll",5280,566176.99,490045.5,0.776825534179072,38025.4,1221139,8002.8,1542262.175,566000,490000,38000,1220000,8000,1540000,"BC"
"11","Bobolink",4940,3762.85,3216.5,0.786348758983949,416.1,7323.3,0,12445.525,3760,3220,416,7320,0,12400,"BC"
"11","Cliff Swallow",6120,1126219.1,1011408,0.700177668490189,345936.3,2135813.3,291338.375,2752460.025,1130000,1010000,346000,2140000,291000,2750000,"BC"
"11","Lewis's Woodpecker",4080,2532.02,2395,0.600363797007159,774.7,4500.7,345.975,5690.99999999999,2530,2400,775,4500,346,5690,"BC"
"11","Say's Phoebe",4570,72812.74,65991,0.477780368686938,34752.7,115215.7,23332.05,149212.725,72800,66000,34800,115000,23300,149000,"BC"
"11","Rock Wren",7150,1479.89,1198,0.693316757532353,452.7,2879.5,191.65,3416.975,1480,1200,453,2880,192,3420,"BC"
"11","White-throated Sparrow",5580,7391808.74,7376387,0.23595371521599,5058572,9466414.6,4609735.125,10898892.725,7390000,7380000,5060000,9470000,4610000,10900000,"BC"
"11","Ovenbird",6740,578753,550082.5,0.351700532424367,343446.1,859119.3,293752.6,1106023.05,579000,550000,343000,859000,294000,1110000,"BC"
"11","Golden Eagle",3490,317.95,257,0.756992937049183,84,647.1,25.8,877.425,318,257,84,647,25.8,877,"BC"
"11","Lazuli Bunting",5990,1534792.01,1488608,0.242823132576251,1125733.1,2006175.2,979505.925,2234972.4,1530000,1490000,1130000,2010000,980000,2230000,"BC"
"11","Black-capped Chickadee",7350,4704994.43,4574872,0.156639030697588,3868186.9,5590285.6,3485442.55,6264107.025,4700000,4570000,3870000,5590000,3490000,6260000,"BC"
"11","Fox Sparrow",5850,1579419.59,1463849.5,0.654283845533553,392991.8,3166413.7,259139.15,3836627.25,1580000,1460000,393000,3170000,259000,3840000,"BC"
"11","Grasshopper Sparrow",5460,2520.44,2275.5,0.964467978101748,0,5713.3,0,8535.875,2520,2280,0,5710,0,8540,"BC"
"11","Dark-eyed Junco",5670,8089183.55,8019181,0.339274689320498,4820007,11727966.2,3109352.95,13729314.725,8090000,8020000,4820000,11700000,3110000,13700000,"BC"
"11","Northern Waterthrush",6750,2390578.69,2275821,0.212138006588589,1761524.1,3157675.9,1620721.825,3437549.925,2390000,2280000,1760000,3160000,1620000,3440000,"BC"
"11","Least Flycatcher",4670,2943693.73,2897945,0.172938084050255,2287686.4,3703314.5,2073126.175,3879967.475,2940000,2900000,2290000,3700000,2070000,3880000,"BC"
