"cn","Aou","BCR","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst"
"Lark Sparrow",5520,"10",283667.76,265306,0.361030817697861,167823.9,426247.1,127286.1,509771.825,284000,265000,168000,426000,127000,510000
"Lark Sparrow",5520,"16",942350.28,917115.5,0.228529544092461,707845,1215360.6,611021.075,1445348.85,942000,917000,708000,1220000,611000,1450000
"Lark Sparrow",5520,"18",1809503.16,1814037,0.166836823160855,1416551,2223702.9,1330324.025,2474748.225,1810000,1810000,1420000,2220000,1330000,2470000
"Lark Sparrow",5520,"24",20473,19536,0.350411624938353,12879.8,30454.8,9361.525,36344.65,20500,19500,12900,30500,9360,36300
"Lark Sparrow",5520,"27",20486.25,17728.5,0.608425870066657,7778.8,38382.2,5032.35,48252.175,20500,17700,7780,38400,5030,48300
"Lark Sparrow",5520,"22",256219.55,248794.5,0.226177702916131,189148.4,319637.5,172659.1,408436.075,256000,249000,189000,320000,173000,408000
"Lark Sparrow",5520,"11",220482.09,216183,0.201635535747341,162944.8,278850,147847.475,317940.1,220000,216000,163000,279000,148000,318000
"Lark Sparrow",5520,"19",2155738.29,2105876.5,0.163121918088267,1704487.1,2655542.4,1558511.7,2851293.825,2160000,2110000,1700000,2660000,1560000,2850000
"Lark Sparrow",5520,"25",85487.4,85290.5,0.237879900889219,61528.2,110310.4,48900.5,125694.875,85500,85300,61500,110000,48900,126000
"Lark Sparrow",5520,"6",1383.18,1051,0.894387656607226,0,2764.4,0,4901.475,1380,1050,0,2760,0,4900
"Lark Sparrow",5520,"23",4242.44,3969,0.493543337684929,1842.6,6982.2,832.45,8616.52499999999,4240,3970,1840,6980,832,8620
"Lark Sparrow",5520,"26",19138.66,17005,0.508552564088722,6961.1,33803,3129.275,38183.575,19100,17000,6960,33800,3130,38200
"Lark Sparrow",5520,"17",683647.23,645428,0.309653921676015,455108.2,951985.1,349995,1180357.1,684000,645000,455000,952000,350000,1180000
