"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","Distance","Availability"
"Bell's Sparrow",5739,256816.083916084,241268.412438625,139668.650498438,400131.379259039,109156.4127362,501318.62818033,256816.083916084,241268.412438625,139668.650498438,400131.379259039,109156.4127362,501318.62818033,172606.09,162156.5,93871.3,268928.3,73364.025,336936.25,257000,241000,140000,4e+05,109000,501000,257000,241000,140000,4e+05,109000,501000,173000,162000,93900,269000,73400,337000,4,4,4,4,3,"existing","existing"
"Bachman's Sparrow",5750,151258.06,143636.5,100135.2,209128.7,91645.4,233328.625,151258.06,143636.5,100135.2,209128.7,91645.4,233328.625,151258.06,143636.5,100135.2,209128.7,91645.4,233328.625,151000,144000,1e+05,209000,91600,233000,151000,144000,1e+05,209000,91600,233000,151000,144000,1e+05,209000,91600,233000,4,4,4,4,4,"existing","existing"
"Botteri's Sparrow",5760,1716905.49450549,1528571.42857143,678027.472527473,2928373.62637363,404461.538461538,3691990.38461538,1716905.49450549,1528571.42857143,678027.472527473,2928373.62637363,404461.538461538,3691990.38461538,31247.68,27820,12340.1,53296.4,7361.2,67194.225,1720000,1530000,678000,2930000,404000,3690000,1720000,1530000,678000,2930000,404000,3690000,31200,27800,12300,53300,7360,67200,3,3,3,4,3,"existing","existing"
"Cassin's Sparrow",5780,14668183.9691257,14641800.5046757,12297241.5021523,17112966.7507793,11187085.0526941,17983838.1327,14668183.9691257,14641800.5046757,12297241.5021523,17112966.7507793,11187085.0526941,17983838.1327,9881955.54,9864181,8284651.6,11529005.7,7536739.2,12115711.75,14700000,14600000,12300000,17100000,11200000,1.8e+07,14700000,14600000,12300000,17100000,11200000,1.8e+07,9880000,9860000,8280000,11500000,7540000,12100000,2,2,2,2,2,"existing","existing"
"Rufous-winged Sparrow",5790,535606.318883174,492865.540044085,110792.799412197,969166.054371785,50011.3886847906,1238022.59368112,535606.318883174,492865.540044085,110792.799412197,969166.054371785,50011.3886847906,1238022.59368112,72896.02,67079,15078.9,131903.5,6806.55,168494.875,536000,493000,111000,969000,50000,1240000,536000,493000,111000,969000,50000,1240000,72900,67100,15100,132000,6810,168000,4,4,3,4,3,"existing","existing"
"Rufous-crowned Sparrow",5800,1191395.99039172,1187889.87435329,966959.164818921,1451949.7413156,894991.500369549,1584686.43754619,1191395.99039172,1187889.87435329,966959.164818921,1451949.7413156,894991.500369549,1584686.43754619,644783.51,642886,523318.3,785795.2,484369.4,857632.3,1190000,1190000,967000,1450000,895000,1580000,1190000,1190000,967000,1450000,895000,1580000,645000,643000,523000,786000,484000,858000,3,3,3,3,3,"existing","existing"
"Song Sparrow",5810,122607342.76704,122642213.123093,118530627.568667,126618857.070193,115847222.889115,128282127.975585,122607342.76704,122642213.123093,118530627.568667,126618857.070193,115847222.889115,128282127.975585,120523017.94,120557295.5,116515606.9,124466336.5,113877820.1,126101331.8,1.23e+08,1.23e+08,1.19e+08,1.27e+08,1.16e+08,1.28e+08,1.23e+08,1.23e+08,1.19e+08,1.27e+08,1.16e+08,1.28e+08,1.21e+08,1.21e+08,1.17e+08,1.24e+08,1.14e+08,1.26e+08,1,1,1,1,1,"existing","existing"
"Lincoln's Sparrow",5830,102321055.85,102284885,93421889.4,111536710.9,88234265.25,114757754.175,102321055.85,102284885,93421889.4,111536710.9,88234265.25,114757754.175,102321055.85,102284885,93421889.4,111536710.9,88234265.25,114757754.175,1.02e+08,1.02e+08,93400000,1.12e+08,88200000,1.15e+08,1.02e+08,1.02e+08,93400000,1.12e+08,88200000,1.15e+08,1.02e+08,1.02e+08,93400000,1.12e+08,88200000,1.15e+08,1,1,1,1,1,"existing","existing"
"Swamp Sparrow",5840,21225858.68,21012821,19358505.9,23210475.7,19002209.775,24152419.925,21225858.68,21012821,19358505.9,23210475.7,19002209.775,24152419.925,21225858.68,21012821,19358505.9,23210475.7,19002209.775,24152419.925,21200000,2.1e+07,19400000,23200000,1.9e+07,24200000,21200000,2.1e+07,19400000,23200000,1.9e+07,24200000,21200000,2.1e+07,19400000,23200000,1.9e+07,24200000,2,2,2,2,2,"existing","existing"
"Fox Sparrow",5850,28772448.72,28511863,24277471,33975258,21180991.125,37349342.825,28772448.72,28511863,24277471,33975258,21180991.125,37349342.825,28772448.72,28511863,24277471,33975258,21180991.125,37349342.825,28800000,28500000,24300000,3.4e+07,21200000,37300000,28800000,28500000,24300000,3.4e+07,21200000,37300000,28800000,28500000,24300000,3.4e+07,21200000,37300000,2,2,2,2,2,"existing","existing"
"Olive Sparrow",5860,13803498.2539683,13311174.6031746,9329196.82539683,17825374.6031746,7533012.3015873,22194556.3492063,13803498.2539683,13311174.6031746,9329196.82539683,17825374.6031746,7533012.3015873,22194556.3492063,869620.39,838604,587739.4,1122998.6,474579.775,1398257.05,13800000,13300000,9330000,17800000,7530000,22200000,13800000,13300000,9330000,17800000,7530000,22200000,870000,839000,588000,1120000,475000,1400000,2,2,2,2,2,"existing","existing"
"Eastern Towhee",5870,26125601.34,25963623.5,24913310.1,27543934.6,24507186.25,28199882.475,26125601.34,25963623.5,24913310.1,27543934.6,24507186.25,28199882.475,26125601.34,25963623.5,24913310.1,27543934.6,24507186.25,28199882.475,26100000,2.6e+07,24900000,27500000,24500000,28200000,26100000,2.6e+07,24900000,27500000,24500000,28200000,26100000,2.6e+07,24900000,27500000,24500000,28200000,2,2,2,2,2,"existing","existing"
"Spotted Towhee",5880,41104874.9780606,40722031.0443177,37714309.2365072,44256645.4585344,36825643.4291356,45345372.7237824,41104874.9780606,40722031.0443177,37714309.2365072,44256645.4585344,36825643.4291356,45345372.7237824,37471204.03,37122203.5,34380364.3,40344358,33570256.55,41336841.775,41100000,40700000,37700000,44300000,36800000,45300000,41100000,40700000,37700000,44300000,36800000,45300000,37500000,37100000,34400000,40300000,33600000,41300000,2,2,2,2,2,"existing","existing"
"Green-tailed Towhee",5900,4815132.86804579,4792022.99658566,3894450.89375377,5773584.0530227,3516093.46756377,6421331.04036955,4815132.86804579,4792022.99658566,3894450.89375377,5773584.0530227,3516093.46756377,6421331.04036955,4794909.31,4771896.5,3878094.2,5749335,3501325.875,6394361.45,4820000,4790000,3890000,5770000,3520000,6420000,4820000,4790000,3890000,5770000,3520000,6420000,4790000,4770000,3880000,5750000,3500000,6390000,3,3,2,3,2,"existing","existing"
"Canyon Towhee",5910,6498408.6316822,6503500.49043649,5452382.78567925,7435780.52967141,5125106.54732712,7863993.25649828,6498408.6316822,6503500.49043649,5452382.78567925,7435780.52967141,5125106.54732712,7863993.25649828,2650051.04,2652127.5,2223481.7,3032311.3,2090018.45,3206936.45,6500000,6500000,5450000,7440000,5130000,7860000,6500000,6500000,5450000,7440000,5130000,7860000,2650000,2650000,2220000,3030000,2090000,3210000,2,2,2,2,2,"existing","existing"
"California Towhee",5911,8046025.31438837,7651520.49648865,6418352.44161359,9984253.63383962,6095907.35750449,11511687.3264739,8046025.31438837,7651520.49648865,6418352.44161359,9984253.63383962,6095907.35750449,11511687.3264739,4926581.3,4685026,3929957.2,6113358.5,3732524.075,7048606.15,8050000,7650000,6420000,9980000,6100000,11500000,8050000,7650000,6420000,9980000,6100000,11500000,4930000,4690000,3930000,6110000,3730000,7050000,2,2,2,2,2,"existing","existing"
"Abert's Towhee",5920,588412.519209097,573845.405183895,343185.944063108,854089.949800225,273099.37506403,958583.21381006,588412.519209097,573845.405183895,343185.944063108,854089.949800225,273099.37506403,958583.21381006,574349.46,560130.5,334983.8,833677.2,266572.3,935673.075,588000,574000,343000,854000,273000,959000,588000,574000,343000,854000,273000,959000,574000,560000,335000,834000,267000,936000,3,4,3,4,3,"existing","existing"
"Northern Cardinal",5930,152423065.210127,152381531.294178,142486419.611875,161744421.539648,137842530.233903,164803640.888061,152423065.210127,152381531.294178,142486419.611875,161744421.539648,137842530.233903,164803640.888061,118600387.04,118568069.5,110868683.1,125853334.4,107255272.775,128233712.975,1.52e+08,1.52e+08,1.42e+08,1.62e+08,1.38e+08,1.65e+08,1.52e+08,1.52e+08,1.42e+08,1.62e+08,1.38e+08,1.65e+08,1.19e+08,1.19e+08,1.11e+08,1.26e+08,1.07e+08,1.28e+08,1,1,1,1,1,"existing","existing"
"Pyrrhuloxia",5940,3818470.39242219,3740420.83897158,2912309.8782138,4754454.12719892,2593955.95399188,5186588.22733423,3818470.39242219,3740420.83897158,2912309.8782138,4754454.12719892,2593955.95399188,5186588.22733423,1410924.81,1382085.5,1076098.5,1756770.8,958466.725,1916444.35,3820000,3740000,2910000,4750000,2590000,5190000,3820000,3740000,2910000,4750000,2590000,5190000,1410000,1380000,1080000,1760000,958000,1920000,3,3,3,3,2,"existing","existing"
"Rose-breasted Grosbeak",5950,4216682.2,4211775.5,3865667.5,4668448.8,3558896.85,4795494.75,4216682.2,4211775.5,3865667.5,4668448.8,3558896.85,4795494.75,4216682.2,4211775.5,3865667.5,4668448.8,3558896.85,4795494.75,4220000,4210000,3870000,4670000,3560000,4800000,4220000,4210000,3870000,4670000,3560000,4800000,4220000,4210000,3870000,4670000,3560000,4800000,3,3,3,3,3,"existing","existing"
"Black-headed Grosbeak",5960,14759456.401558,14596296.6453072,13646243.7492147,16512316.4970474,13251250.3455208,16864593.7617791,14759456.401558,14596296.6453072,13646243.7492147,16512316.4970474,13251250.3455208,16864593.7617791,11747051.35,11617192.5,10861045.4,13142152.7,10546670.15,13422530.175,14800000,14600000,13600000,16500000,13300000,16900000,14800000,14600000,13600000,16500000,13300000,16900000,11700000,11600000,10900000,13100000,10500000,13400000,2,2,2,2,2,"existing","existing"
"Blue Grosbeak",5970,29484923.0852211,29480000,28008316.3430421,30739521.574973,27388943.4668285,31708644.4511866,29484923.0852211,29480000,28008316.3430421,30739521.574973,27388943.4668285,31708644.4511866,21866018.96,21862368,20770967.4,22796429.2,20311640.475,23515130.725,29500000,29500000,2.8e+07,30700000,27400000,31700000,29500000,29500000,2.8e+07,30700000,27400000,31700000,21900000,21900000,20800000,22800000,20300000,23500000,2,2,2,2,2,"existing","existing"
"Indigo Bunting",5980,72864726.6860407,73144172.2617497,69808256.6389418,75396951.9991983,68656693.2808899,77069411.9651268,72864726.6860407,73144172.2617497,69808256.6389418,75396951.9991983,68656693.2808899,77069411.9651268,72711710.76,72990569.5,69661659.3,75238618.4,68512514.225,76907566.2,72900000,73100000,69800000,75400000,68700000,77100000,72900000,73100000,69800000,75400000,68700000,77100000,72700000,7.3e+07,69700000,75200000,68500000,76900000,1,1,1,1,1,"existing","existing"
"Lazuli Bunting",5990,7540320.31832376,7527070.11181626,6645795.50720258,8356422.18192808,6339913.66978946,8857269.66858064,7540320.31832376,7527070.11181626,6645795.50720258,8356422.18192808,6339913.66978946,8857269.66858064,7485275.98,7472122.5,6597281.2,8295420.3,6293632.3,8792611.6,7540000,7530000,6650000,8360000,6340000,8860000,7540000,7530000,6650000,8360000,6340000,8860000,7490000,7470000,6600000,8300000,6290000,8790000,2,2,2,2,2,"existing","existing"
"Varied Bunting",6000,1071991.44981413,1036524.16356877,669570.012391574,1469799.25650558,505175.650557621,1900249.07063197,1071991.44981413,1036524.16356877,669570.012391574,1469799.25650558,505175.650557621,1900249.07063197,86509.71,83647.5,54034.3,118612.8,40767.675,153350.1,1070000,1040000,670000,1470000,505000,1900000,1070000,1040000,670000,1470000,505000,1900000,86500,83600,54000,119000,40800,153000,3,3,3,3,3,"existing","existing"
"Painted Bunting",6010,16270031.8011958,16237412.8051819,14588250.6228201,18125604.7583458,14178324.3024415,18879435.8495267,16270031.8011958,16237412.8051819,14588250.6228201,18125604.7583458,14178324.3024415,18879435.8495267,13061581.53,13035395,11711447.6,14551235.5,11382358.75,15156411.1,16300000,16200000,14600000,18100000,14200000,18900000,16300000,16200000,14600000,18100000,14200000,18900000,13100000,1.3e+07,11700000,14600000,11400000,15200000,2,2,2,2,2,"existing","existing"
"Dickcissel",6040,30130196.48,30238917,27323981.2,33082094.3,26094045.45,34571170.4,30130196.48,30238917,27323981.2,33082094.3,26094045.45,34571170.4,30130196.48,30238917,27323981.2,33082094.3,26094045.45,34571170.4,30100000,30200000,27300000,33100000,26100000,34600000,30100000,30200000,27300000,33100000,26100000,34600000,30100000,30200000,27300000,33100000,26100000,34600000,2,2,2,2,2,"existing","existing"
"Lark Bunting",6050,11107589.34,10859659.5,9187419.2,13207002.2,8563372.55,14645261.575,11107589.34,10859659.5,9187419.2,13207002.2,8563372.55,14645261.575,11107589.34,10859659.5,9187419.2,13207002.2,8563372.55,14645261.575,11100000,10900000,9190000,13200000,8560000,14600000,11100000,10900000,9190000,13200000,8560000,14600000,11100000,10900000,9190000,13200000,8560000,14600000,2,2,2,2,2,"existing","existing"
"Western Tanager",6070,15141655.9118236,15113378.256513,13867254.4088176,16595160.6212425,12689836.8987976,17471150.2004008,15141655.9118236,15113378.256513,13867254.4088176,16595160.6212425,12689836.8987976,17471150.2004008,15111372.6,15083151.5,13839519.9,16561970.3,12664457.225,17436207.9,15100000,15100000,13900000,16600000,12700000,17500000,15100000,15100000,13900000,16600000,12700000,17500000,15100000,15100000,13800000,16600000,12700000,17400000,2,2,2,2,2,"existing","existing"
"Scarlet Tanager",6080,2294178.15,2313210.5,2088364.6,2468903.5,2012401.125,2571006.25,2294178.15,2313210.5,2088364.6,2468903.5,2012401.125,2571006.25,2294178.15,2313210.5,2088364.6,2468903.5,2012401.125,2571006.25,2290000,2310000,2090000,2470000,2010000,2570000,2290000,2310000,2090000,2470000,2010000,2570000,2290000,2310000,2090000,2470000,2010000,2570000,3,3,3,3,3,"existing","existing"
"Hepatic Tanager",6090,7951900.9469697,8119280.3030303,5520994.31818182,10198337.1212121,4575243.84469697,11671906.25,7951900.9469697,8119280.3030303,5520994.31818182,10198337.1212121,4575243.84469697,11671906.25,419860.37,428698,291508.5,538472.2,241572.875,616276.65,7950000,8120000,5520000,10200000,4580000,11700000,7950000,8120000,5520000,10200000,4580000,11700000,420000,429000,292000,538000,242000,616000,2,2,2,3,2,"existing","existing"
"Summer Tanager",6100,14173477.4328859,14150504.5541707,13467738.6145733,14772404.4822627,13254786.4932886,15266064.717162,14173477.4328859,14150504.5541707,13467738.6145733,14772404.4822627,13254786.4932886,15266064.717162,11826349.57,11807181,11237481.1,12326094.3,11059793.85,12738004.4,14200000,14200000,13500000,14800000,13300000,15300000,14200000,14200000,13500000,14800000,13300000,15300000,11800000,11800000,11200000,12300000,11100000,12700000,2,2,2,2,2,"existing","existing"
"Purple Martin",6110,8081165.05451798,8079831.0482565,7396460.00215913,8739262.54992983,7150168.78980892,9214584.01705711,8081165.05451798,8079831.0482565,7396460.00215913,8739262.54992983,7150168.78980892,9214584.01705711,7485583.19,7484347.5,6851340.9,8095178.9,6623201.35,8535469.175,8080000,8080000,7400000,8740000,7150000,9210000,8080000,8080000,7400000,8740000,7150000,9210000,7490000,7480000,6850000,8100000,6620000,8540000,2,2,2,2,2,"existing","existing"
"Cliff Swallow",6120,82150823.6025528,81706465.118838,75238358.0545775,89393562.1698944,71425157.8455106,93037252.0356514,82150823.6025528,81706465.118838,75238358.0545775,89393562.1698944,71425157.8455106,93037252.0356514,74658668.49,74254835.5,68376619.8,81240869.3,64911183.45,84552254.65,82200000,81700000,75200000,89400000,71400000,9.3e+07,82200000,81700000,75200000,89400000,71400000,9.3e+07,74700000,74300000,68400000,81200000,64900000,84600000,1,1,1,1,1,"existing","existing"
"Cave Swallow",6121,5675421.6933016,5621011.56069364,4283703.84223053,6981688.88133288,3758278.1366882,7708658.87453247,5675421.6933016,5621011.56069364,4283703.84223053,6981688.88133288,3758278.1366882,7708658.87453247,1669141.52,1653139.5,1259837.3,2053314.7,1105309.6,2267116.575,5680000,5620000,4280000,6980000,3760000,7710000,5680000,5620000,4280000,6980000,3760000,7710000,1670000,1650000,1260000,2050000,1110000,2270000,2,3,2,3,2,"existing","existing"
"Barn Swallow",6130,152679179.99279,152526708.723864,145046381.398702,160748278.298486,142111145.818313,164607226.928623,45812011.3899405,45766261.7631152,43521759.0048675,48233177.2850189,42641029.5835587,49391070.5786912,42353204.53,42310909,40235866.2,44591572.4,39421631.85,45662044.75,1.53e+08,1.53e+08,1.45e+08,1.61e+08,1.42e+08,1.65e+08,45800000,45800000,43500000,48200000,42600000,49400000,42400000,42300000,40200000,44600000,39400000,45700000,1,1,1,1,1,"existing","existing"
"Tree Swallow",6140,16722605.22,16594729.5,15658084.5,18093613.2,15047828.3,18460096.775,16722605.22,16594729.5,15658084.5,18093613.2,15047828.3,18460096.775,16722605.22,16594729.5,15658084.5,18093613.2,15047828.3,18460096.775,16700000,16600000,15700000,18100000,1.5e+07,18500000,16700000,16600000,15700000,18100000,1.5e+07,18500000,16700000,16600000,15700000,18100000,1.5e+07,18500000,2,2,2,2,2,"existing","existing"
"Violet-green Swallow",6150,7216147.56394641,7167622.41169306,6356369.18392205,8119924.11693057,6026623.99512789,8682639.82947625,7216147.56394641,7167622.41169306,6356369.18392205,8119924.11693057,6026623.99512789,8682639.82947625,5924457.15,5884618,5218579.1,6666457.7,4947858.3,7128447.3,7220000,7170000,6360000,8120000,6030000,8680000,7220000,7170000,6360000,8120000,6030000,8680000,5920000,5880000,5220000,6670000,4950000,7130000,2,2,2,2,2,"existing","existing"
"Bank Swallow",6160,22258924.5983936,21773954.1499331,19338689.0896921,25965814.5917001,17805197.3728246,27589663.8219545,6677677.37951807,6532186.24497992,5801606.72690763,7789744.37751004,5341559.21184739,8276899.14658634,6650966.67,6506057.5,5778400.3,7758585.4,5320192.975,8243791.55,22300000,21800000,19300000,2.6e+07,17800000,27600000,6680000,6530000,5800000,7790000,5340000,8280000,6650000,6510000,5780000,7760000,5320000,8240000,2,2,2,2,2,"existing","existing"
"Northern Rough-winged Swallow",6170,17145562.4411567,16920958.8657252,15324798.8119256,19167452.8132706,14052323.1338265,20104717.8603452,17145562.4411567,16920958.8657252,15324798.8119256,19167452.8132706,14052323.1338265,20104717.8603452,15297270.81,15096879.5,13672785.5,17101201.4,12537482.7,17937429.275,17100000,16900000,15300000,19200000,14100000,20100000,17100000,16900000,15300000,19200000,14100000,20100000,15300000,15100000,13700000,17100000,12500000,17900000,2,2,2,2,2,"existing","existing"
"Bohemian Waxwing",6180,3267743.24,3197243,2637852.8,4116275.2,2035604.95,4581313.15,1633871.62,1598621.5,1318926.4,2058137.6,1017802.475,2290656.575,1633871.62,1598621.5,1318926.4,2058137.6,1017802.475,2290656.575,3270000,3200000,2640000,4120000,2040000,4580000,1630000,1600000,1320000,2060000,1020000,2290000,1630000,1600000,1320000,2060000,1020000,2290000,3,3,3,3,3,"existing","existing"
"Cedar Waxwing",6190,70175514.19,69669043,64924771.8,75734089.9,62959971.75,79227724.275,70175514.19,69669043,64924771.8,75734089.9,62959971.75,79227724.275,70175514.19,69669043,64924771.8,75734089.9,62959971.75,79227724.275,70200000,69700000,64900000,75700000,6.3e+07,79200000,70200000,69700000,64900000,75700000,6.3e+07,79200000,70200000,69700000,64900000,75700000,6.3e+07,79200000,1,1,1,1,1,"existing","existing"
"Phainopepla",6200,4484516.66666667,4453426.82926829,3345628.18428184,5710248.23848238,2955678.45528455,6054107.38482385,4484516.66666667,4453426.82926829,3345628.18428184,5710248.23848238,2955678.45528455,6054107.38482385,1654786.65,1643314.5,1234536.8,2107081.6,1090645.35,2233965.625,4480000,4450000,3350000,5710000,2960000,6050000,4480000,4450000,3350000,5710000,2960000,6050000,1650000,1640000,1230000,2110000,1090000,2230000,3,3,2,3,2,"existing","existing"
"Northern Shrike",6210,316856.45,277612.5,142637,541073.5,75511.125,773690.874999999,63371.29,55522.5,28527.4,108214.7,15102.225,154738.175,63371.29,55522.5,28527.4,108214.7,15102.225,154738.175,317000,278000,143000,541000,75500,774000,63400,55500,28500,108000,15100,155000,63400,55500,28500,108000,15100,155000,4,4,3,4,3,"existing","existing"
"Loggerhead Shrike",6220,5170744.72439082,5165643.48237521,4825793.94369529,5597401.9399101,4632194.87816418,5729133.48710669,5170744.72439082,5165643.48237521,4825793.94369529,5597401.9399101,4632194.87816418,5729133.48710669,4371347.59,4367035,4079726.2,4732043.6,3916057.55,4843409.45,5170000,5170000,4830000,5600000,4630000,5730000,5170000,5170000,4830000,5600000,4630000,5730000,4370000,4370000,4080000,4730000,3920000,4840000,2,3,2,3,2,"existing","existing"
"Black-whiskered Vireo",6230,1347448.52459016,1248754.09836066,328370.491803279,2376157.37704918,42756.1475409836,2931956.55737705,1347448.52459016,1248754.09836066,328370.491803279,2376157.37704918,42756.1475409836,2931956.55737705,82194.36,76174,20030.6,144945.6,2608.125,178849.35,1350000,1250000,328000,2380000,42800,2930000,1350000,1250000,328000,2380000,42800,2930000,82200,76200,20000,145000,2610,179000,3,4,3,5,3,"existing","existing"
"Red-eyed Vireo",6240,192237772.092399,191803481.73516,182621841.12275,202588166.398066,179782258.897395,208660780.855493,192237772.092399,191803481.73516,182621841.12275,202588166.398066,179782258.897395,208660780.855493,143140245.1,142816872.5,135980222.9,150847148.7,133865869.975,155368817.425,1.92e+08,1.92e+08,1.83e+08,2.03e+08,1.8e+08,2.09e+08,1.92e+08,1.92e+08,1.83e+08,2.03e+08,1.8e+08,2.09e+08,1.43e+08,1.43e+08,1.36e+08,1.51e+08,1.34e+08,1.55e+08,1,1,1,1,1,"existing","existing"
"Philadelphia Vireo",6260,4478878.09,4509287,3916055.4,5103319.4,3657525.675,5496522.175,4478878.09,4509287,3916055.4,5103319.4,3657525.675,5496522.175,4478878.09,4509287,3916055.4,5103319.4,3657525.675,5496522.175,4480000,4510000,3920000,5100000,3660000,5500000,4480000,4510000,3920000,5100000,3660000,5500000,4480000,4510000,3920000,5100000,3660000,5500000,3,3,2,3,2,"existing","existing"
"Warbling Vireo",6270,52810872.9927761,52842382.8689371,49363792.7760578,56135049.6388029,47372113.1320949,57667724.3550052,52810872.9927761,52842382.8689371,49363792.7760578,56135049.6388029,47372113.1320949,57667724.3550052,51173735.93,51204269,47833515.2,54394863.1,45903577.625,55880024.9,52800000,52800000,49400000,56100000,47400000,57700000,52800000,52800000,49400000,56100000,47400000,57700000,51200000,51200000,47800000,54400000,45900000,55900000,1,2,1,2,1,"existing","existing"
"Yellow-throated Vireo",6280,5373807.85,5388896.5,5087699.1,5625924.4,5028133.7,5798957.85,5373807.85,5388896.5,5087699.1,5625924.4,5028133.7,5798957.85,5373807.85,5388896.5,5087699.1,5625924.4,5028133.7,5798957.85,5370000,5390000,5090000,5630000,5030000,5800000,5370000,5390000,5090000,5630000,5030000,5800000,5370000,5390000,5090000,5630000,5030000,5800000,2,2,2,2,2,"existing","existing"
"Blue-headed Vireo",6290,11058171.64,11096860.5,9789506,12247608.8,9347378.325,12867209.05,11058171.64,11096860.5,9789506,12247608.8,9347378.325,12867209.05,11058171.64,11096860.5,9789506,12247608.8,9347378.325,12867209.05,11100000,11100000,9790000,12200000,9350000,12900000,11100000,11100000,9790000,12200000,9350000,12900000,11100000,11100000,9790000,12200000,9350000,12900000,2,2,2,2,2,"existing","existing"
"Cassin's Vireo",6291,4484837.01879586,4489706.50316615,4012120.41411197,4942514.32304754,3847250.60307569,5179048.87425872,4484837.01879586,4489706.50316615,4012120.41411197,4942514.32304754,3847250.60307569,5179048.87425872,4461964.35,4466809,3991658.6,4917307.5,3827629.625,5152635.725,4480000,4490000,4010000,4940000,3850000,5180000,4480000,4490000,4010000,4940000,3850000,5180000,4460000,4470000,3990000,4920000,3830000,5150000,3,3,3,3,2,"existing","existing"
"Plumbeous Vireo",6292,4540421.16256699,4511374.19266181,3652660.299574,5514795.93238972,3310358.21767212,6022823.55366222,4540421.16256699,4511374.19266181,3652660.299574,5514795.93238972,3310358.21767212,6022823.55366222,3304064.48,3282927,2658040.9,4013117,2408947.675,4382808.7,4540000,4510000,3650000,5510000,3310000,6020000,4540000,4510000,3650000,5510000,3310000,6020000,3300000,3280000,2660000,4010000,2410000,4380000,3,3,2,3,2,"existing","existing"
"Black-capped Vireo",6300,292682.380640942,271352.517985612,141263.570961413,459030.739045128,76405.9189012426,593292.413342054,292682.380640942,271352.517985612,141263.570961413,459030.739045128,76405.9189012426,593292.413342054,223755.68,207449,107996,350929,58412.325,453572.05,293000,271000,141000,459000,76400,593000,293000,271000,141000,459000,76400,593000,224000,207000,108000,351000,58400,454000,4,4,4,4,3,"existing","existing"
"White-eyed Vireo",6310,27736317.2108108,27738742.1621622,26193020.6486486,29285904.6486486,25660346.1351351,30083520.054054,27736317.2108108,27738742.1621622,26193020.6486486,29285904.6486486,25660346.1351351,30083520.054054,25656093.42,25658336.5,24228544.1,27089461.8,23735820.175,27827256.05,27700000,27700000,26200000,29300000,25700000,30100000,27700000,27700000,26200000,29300000,25700000,30100000,25700000,25700000,24200000,27100000,23700000,27800000,2,2,2,2,2,"existing","existing"
"Hutton's Vireo",6320,2202517.73772205,2182839.60292581,1879062.43469175,2556623.30198537,1750315.1123302,2757814.58986416,2202517.73772205,2182839.60292581,1879062.43469175,2556623.30198537,1750315.1123302,2757814.58986416,843123.79,835591,719305.1,978675.4,670020.625,1055691.425,2200000,2180000,1880000,2560000,1750000,2760000,2200000,2180000,1880000,2560000,1750000,2760000,843000,836000,719000,979000,670000,1060000,3,3,3,3,3,"existing","existing"
"Bell's Vireo",6330,6428265.48592189,6357244.71259894,5513828.85688335,7472242.50681199,5221896.58751784,8022915.88815363,6428265.48592189,6357244.71259894,5513828.85688335,7472242.50681199,5221896.58751784,8022915.88815363,4954264.21,4899528.5,4249507.9,5758857.3,4024515.7,6183261.275,6430000,6360000,5510000,7470000,5220000,8020000,6430000,6360000,5510000,7470000,5220000,8020000,4950000,4900000,4250000,5760000,4020000,6180000,2,2,2,2,2,"existing","existing"
"Gray Vireo",6340,775634.883484278,749688.104202707,541056.273532105,1022457.10796784,489579.907397985,1224112.85234558,775634.883484278,749688.104202707,541056.273532105,1022457.10796784,489579.907397985,1224112.85234558,762216.4,736718.5,531696,1004768.6,481110.175,1202935.7,776000,750000,541000,1020000,490000,1220000,776000,750000,541000,1020000,490000,1220000,762000,737000,532000,1e+06,481000,1200000,3,3,3,4,3,"existing","existing"
"Black-and-white Warbler",6360,18478621.32,18567807,17142963.2,19783195.6,16284116.525,20841195.025,18478621.32,18567807,17142963.2,19783195.6,16284116.525,20841195.025,18478621.32,18567807,17142963.2,19783195.6,16284116.525,20841195.025,18500000,18600000,17100000,19800000,16300000,20800000,18500000,18600000,17100000,19800000,16300000,20800000,18500000,18600000,17100000,19800000,16300000,20800000,2,2,2,2,2,"existing","existing"
