"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","Distance","Availability"
"Boat-tailed Grackle",5130,1448283.56,1467097.5,1017428.9,1942151.5,833339.35,2075011.5,1448283.56,1467097.5,1017428.9,1942151.5,833339.35,2075011.5,1448283.56,1467097.5,1017428.9,1942151.5,833339.35,2075011.5,1450000,1470000,1020000,1940000,833000,2080000,1450000,1470000,1020000,1940000,833000,2080000,1450000,1470000,1020000,1940000,833000,2080000,3,3,3,3,3,"existing","existing"
"Evening Grosbeak",5140,2924961.97598483,2897770.69728249,2507647.14556562,3346126.2902886,2237442.46366126,3600052.71750579,2924961.97598483,2897770.69728249,2507647.14556562,3346126.2902886,2237442.46366126,3600052.71750579,2776958.9,2751143.5,2380760.2,3176812.3,2124227.875,3417890.05,2920000,2900000,2510000,3350000,2240000,3600000,2920000,2900000,2510000,3350000,2240000,3600000,2780000,2750000,2380000,3180000,2120000,3420000,3,3,3,3,3,"existing","existing"
"Pine Grosbeak",5150,7742163.8,7641293,6323920,9231031,5664782.1,10485392.25,3871081.9,3820646.5,3161960,4615515.5,2832391.05,5242696.125,3871081.9,3820646.5,3161960,4615515.5,2832391.05,5242696.125,7740000,7640000,6320000,9230000,5660000,10500000,3870000,3820000,3160000,4620000,2830000,5240000,3870000,3820000,3160000,4620000,2830000,5240000,2,2,2,2,2,"existing","existing"
"Purple Finch",5170,6378147.15,6345188,5823880.1,6993952.1,5671075.15,7164058.4,6378147.15,6345188,5823880.1,6993952.1,5671075.15,7164058.4,6378147.15,6345188,5823880.1,6993952.1,5671075.15,7164058.4,6380000,6350000,5820000,6990000,5670000,7160000,6380000,6350000,5820000,6990000,5670000,7160000,6380000,6350000,5820000,6990000,5670000,7160000,2,2,2,2,2,"existing","existing"
"Cassin's Finch",5180,3257364.75942783,3234201.76052816,2798902.57077123,3715054.61638492,2579291.1373412,3848734.4703411,3257364.75942783,3234201.76052816,2798902.57077123,3715054.61638492,2579291.1373412,3848734.4703411,3256387.55,3233231.5,2798062.9,3713940.1,2578517.35,3847579.85,3260000,3230000,2800000,3720000,2580000,3850000,3260000,3230000,2800000,3720000,2580000,3850000,3260000,3230000,2800000,3710000,2580000,3850000,3,3,3,3,3,"existing","existing"
"House Finch",5190,42588744.4261673,42557121.9789953,39286803.3658105,45881365.1777806,38316983.582184,47965648.3930153,42588744.4261673,42557121.9789953,39286803.3658105,45881365.1777806,38316983.582184,47965648.3930153,33657884.72,33632893.5,31048360.7,36260042.9,30281912.125,37907251.925,42600000,42600000,39300000,45900000,38300000,4.8e+07,42600000,42600000,39300000,45900000,38300000,4.8e+07,33700000,33600000,3.1e+07,36300000,30300000,37900000,2,2,2,2,2,"existing","existing"
"Red Crossbill",5210,20437776.7283615,20217783.0702232,18209129.8312466,22944194.0664126,17311767.2836146,24008064.983669,8174220.73807969,8086232.85434357,7282859.02460266,9176678.53254953,6923953.08077509,9602180.57369911,7508839.17,7428013.5,6690034.3,8429696.9,6360343.3,8820563.075,20400000,20200000,18200000,22900000,17300000,2.4e+07,8170000,8090000,7280000,9180000,6920000,9600000,7510000,7430000,6690000,8430000,6360000,8820000,2,2,2,2,2,"existing","existing"
"White-winged Crossbill",5220,71841048.04,72291077,61892032.4,80593195.6,55247703.7,88890817.15,35920524.02,36145538.5,30946016.2,40296597.8,27623851.85,44445408.575,35920524.02,36145538.5,30946016.2,40296597.8,27623851.85,44445408.575,71800000,72300000,61900000,80600000,55200000,88900000,35900000,36100000,30900000,40300000,27600000,44400000,35900000,36100000,30900000,40300000,27600000,44400000,1,1,1,1,1,"existing","existing"
"Hoary Redpoll",5270,345539.92,280927,64327.8,668062.2,32896.65,1035326.15,172769.96,140463.5,32163.9,334031.1,16448.325,517663.075,172769.96,140463.5,32163.9,334031.1,16448.325,517663.075,346000,281000,64300,668000,32900,1040000,173000,140000,32200,334000,16400,518000,173000,140000,32200,334000,16400,518000,4,4,3,5,3,"existing","existing"
"Common Redpoll",5280,110916766.3,106861283.333333,81350980.6666667,141262431.333333,75031370.5,152329660.583333,33275029.89,32058385,24405294.2,42378729.4,22509411.15,45698898.175,33275029.89,32058385,24405294.2,42378729.4,22509411.15,45698898.175,1.11e+08,1.07e+08,81400000,1.41e+08,7.5e+07,1.52e+08,33300000,32100000,24400000,42400000,22500000,45700000,33300000,32100000,24400000,42400000,22500000,45700000,1,1,1,1,1,"existing","existing"
