"Prov","cn","Aou","BCR","n.routes","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
2,"Mississippi Kite",3290,28,20,7971.84,5065,0.956606507243003,597.6,19120.7,71.975,25776.6999999999,7970,5060,598,19100,72,25800,"AL"
2,"Northern Flicker",4120,27,52,9691.78,9321,0.345090213795366,5913.4,14351,4912.05,16945.1,9690,9320,5910,14400,4910,16900,"AL"
2,"Eastern Bluebird",7660,28,20,492899.43,475458,0.207355784601299,378544.2,638981.2,335597.475,742200,493000,475000,379000,639000,336000,742000,"AL"
2,"White-breasted Nuthatch",7270,29,4,5760.32,5580,0.409410142747718,2881.5,8924.90000000001,1541.7,10980.825,5760,5580,2880,8920,1540,11000,"AL"
2,"Yellow-throated Warbler",6630,28,20,33213.93,31553.5,0.425182881563249,16207.2,52358.7,12473.25,57712.75,33200,31600,16200,52400,12500,57700,"AL"
2,"Common Ground-Dove",3200,29,4,466.74,440,0.631358711703495,128.9,842.4,0,1204.775,467,440,129,842,0,1200,"AL"
2,"Eastern Meadowlark",5010,27,52,152486.35,145251.5,0.315709943765339,95529.5,214497.4,79864.475,254407.9,152000,145000,95500,214000,79900,254000,"AL"
2,"Common Grackle",5110,29,4,9355.17,8698.5,0.509895957049502,4432.7,15588.2,3210.125,21310.3,9360,8700,4430,15600,3210,21300,"AL"
2,"Common Grackle",5110,28,20,182319.06,164023,0.375219573134523,104757.6,270991.2,78614.45,347706.675,182000,164000,105000,271000,78600,348000,"AL"
2,"Purple Martin",6110,29,4,18824.12,16369,0.602400702188,8124.3,30934.1,6122.375,49286.325,18800,16400,8120,30900,6120,49300,"AL"
2,"Red-tailed Hawk",3370,28,20,5805.87,5592.5,0.260918038668683,4074.8,7991.3,3609.7,9158.65,5810,5590,4070,7990,3610,9160,"AL"
2,"Red-headed Woodpecker",4060,28,20,14325.67,12879.5,0.372939056905218,8708,23174.5,6854.85,25748.85,14300,12900,8710,23200,6850,25700,"AL"
2,"Lark Sparrow",5520,27,52,379.91,321.5,0.745254567671705,76.4,770.2,0,1107.5,380,322,76.4,770,0,1110,"AL"
2,"Great Horned Owl",3750,28,20,3772.89,3358.5,0.549488692678016,1433.7,6421.6,777.975,8454.675,3770,3360,1430,6420,778,8450,"AL"
2,"Blue-gray Gnatcatcher",7510,27,52,11403220.1,9701719.5,0.44731898468688,5884382.5,18543478.7,5070943.225,23097662.225,11400000,9700000,5880000,18500000,5070000,23100000,"AL"
2,"Red-headed Woodpecker",4060,27,52,46471.45,42446.5,0.311806367105054,30409.7,69188.6,27050.425,79775.15,46500,42400,30400,69200,27100,79800,"AL"
2,"House Finch",5190,27,52,243099.62,237627.5,0.219918432115785,179325.1,315752.1,154335.5,343031.05,243000,238000,179000,316000,154000,343000,"AL"
2,"Great Horned Owl",3750,27,52,17420.9,16206,0.469189078028597,8429.1,27394.8,6930.95,35114.95,17400,16200,8430,27400,6930,35100,"AL"
2,"Osprey",3640,28,20,3840.56,3649.5,0.534341558454682,1647.5,6506.6,558.425,9068.975,3840,3650,1650,6510,558,9070,"AL"
2,"Swainson's Warbler",6380,27,52,39407.19,37070.5,0.297385913963351,26499.2,56075.3,21256.025,62745.8,39400,37100,26500,56100,21300,62700,"AL"
2,"Eurasian Collared-Dove",22860,27,52,113543.93,106939.5,0.296991336535569,77081.1,160824.4,67369.6,191025.975,114000,107000,77100,161000,67400,191000,"AL"
2,"Eastern Meadowlark",5010,28,20,164016.73,147470,0.366185419769371,96593.7,252997.4,85036.75,285938.025,164000,147000,96600,253000,85000,286000,"AL"
2,"Northern Cardinal",5930,28,20,1473623.84,1400501,0.264483784641917,1011299.9,2007453.1,942578.2,2276498.6,1470000,1400000,1010000,2010000,943000,2280000,"AL"
2,"White-breasted Nuthatch",7270,28,20,75347.42,69691.5,0.309027296361348,51586.7,107654.8,40789.025,132301.575,75300,69700,51600,108000,40800,132000,"AL"
2,"Eastern Screech-Owl",3730,28,20,3430.05,2712,0.992997255374769,0,7455.1,0,11645.825,3430,2710,0,7460,0,11600,"AL"
