"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability....ifelse.use_availability..TRUE..FALSE.","edr....ifelse.use_edr..TRUE..FALSE."
"Peregrine Falcon",3560,86675.4496402878,82605.6654676259,65230.2158273381,122239.208633094,52494.154676259,138506.070143885,26003.8041278834,24782.8139754485,19569.9446917577,36673.4115742615,15748.9545393228,41553.6894644543,19276.62,18371.5,14507.2,27186,11674.7,30803.75,86700,82600,65200,122000,52500,139000,26000,24800,19600,36700,15700,41600,19300,18400,14500,27200,11700,30800,4,4,4,4,4,FALSE,FALSE
"Merlin",3570,1665516.62,1640797,1491326.6,1839719.2,1382353.1,1960908.55,832758.31,820398.5,745663.3,919859.6,691176.55,980454.275,832758.31,820398.5,745663.3,919859.6,691176.55,980454.275,1670000,1640000,1490000,1840000,1380000,1960000,833000,820000,746000,920000,691000,980000,833000,820000,746000,920000,691000,980000,3,3,3,3,3,FALSE,FALSE
"American Kestrel",3600,4912854.70531401,4907978.74396135,4635536.61835749,5172537.58454106,4432421.83574879,5402245.4589372,4912854.70531401,4907978.74396135,4635536.61835749,5172537.58454106,4432421.83574879,5402245.4589372,2542402.31,2539879,2398890.2,2676788.2,2293778.3,2795662.025,4910000,4910000,4640000,5170000,4430000,5400000,4910000,4910000,4640000,5170000,4430000,5400000,2540000,2540000,2400000,2680000,2290000,2800000,3,3,2,3,2,FALSE,FALSE
"Crested Caracara",3620,2420840.14732965,2369806.62983425,1947307.55064457,2837046.04051565,1838911.60220994,3264273.02025783,2420840.14732965,2369806.62983425,1947307.55064457,2837046.04051565,1838911.60220994,3264273.02025783,131451.62,128680.5,105738.8,154051.6,99852.9,177250.025,2420000,2370000,1950000,2840000,1840000,3260000,2420000,2370000,1950000,2840000,1840000,3260000,131000,129000,106000,154000,99900,177000,3,3,3,3,3,FALSE,FALSE
"Osprey",3640,798806.134591711,792494.870742716,704766.926549036,903616.331555191,646240.76733689,1004946.45055396,399444.04432133,396288.088642659,352419.616292192,451854.519339284,323153.534420847,502524.776854417,389338.11,386262,343503.4,440422.6,314977.75,489810.9,799000,792000,705000,904000,646000,1e+06,399000,396000,352000,452000,323000,503000,389000,386000,344000,440000,315000,490000,3,3,3,3,3,FALSE,FALSE
"Barn Owl",3650,978028.407460545,943780.487804878,672177.905308465,1314212.33859397,493344.691535151,1506660.68866571,293450.624192854,283174.773999139,201682.307361171,394320.275505811,148024.64485579,452063.065002152,68168.58,65781.5,46850.8,91600.6,34386.125,105014.25,978000,944000,672000,1310000,493000,1510000,293000,283000,202000,394000,148000,452000,68200,65800,46900,91600,34400,105000,3,3,3,4,3,FALSE,FALSE
"Long-eared Owl",3660,51902.5435073628,45025.1004016064,12783.1325301205,99435.4082998661,3463.0187416332,125959.337349397,15570.7630522088,13507.5301204819,3834.93975903615,29830.6224899598,1038.90562248996,37787.8012048192,15508.48,13453.5,3819.6,29711.3,1034.75,37636.65,51900,45000,12800,99400,3460,126000,15600,13500,3830,29800,1040,37800,15500,13500,3820,29700,1030,37600,5,5,4,5,4,FALSE,FALSE
"Short-eared Owl",3670,1710616.8877551,1642948.97959184,1264421.93877551,2309775,1083032.5255102,2622927.29591837,513132.705846342,492834.404652586,379287.878787879,692861.799816345,324876.60697888,786797.903275176,335280.91,322018,247826.7,452715.9,212274.375,514093.75,1710000,1640000,1260000,2310000,1080000,2620000,513000,493000,379000,693000,325000,787000,335000,322000,248000,453000,212000,514000,3,3,3,3,3,FALSE,FALSE
"Barred Owl",3680,3736963.0952381,3692957.2044335,3448201.14942529,4073793.71921182,3352233.6566092,4327587.1818555,3736963.0952381,3692957.2044335,3448201.14942529,4073793.71921182,3352233.6566092,4327587.1818555,3641296.84,3598417.5,3359927.2,3969504.6,3266416.475,4216800.95,3740000,3690000,3450000,4070000,3350000,4330000,3740000,3690000,3450000,4070000,3350000,4330000,3640000,3600000,3360000,3970000,3270000,4220000,3,3,3,3,3,FALSE,FALSE
"Great Gray Owl",3700,184222.04,164658,99417.8,291683.4,81746.4,367603,92111.02,82329,49708.9,145841.7,40873.2,183801.5,92111.02,82329,49708.9,145841.7,40873.2,183801.5,184000,165000,99400,292000,81700,368000,92100,82300,49700,146000,40900,184000,92100,82300,49700,146000,40900,184000,4,4,4,4,4,FALSE,FALSE
"Boreal Owl",3710,41914.1333333333,37986.6666666667,15994.6666666667,75082.3333333334,5283.83333333333,92000.1666666666,12574.24,11396,4798.4,22524.7,1585.15,27600.05,12574.24,11396,4798.4,22524.7,1585.15,27600.05,41900,38000,16000,75100,5280,92000,12600,11400,4800,22500,1590,27600,12600,11400,4800,22500,1590,27600,5,5,4,5,4,FALSE,FALSE
"Northern Saw-whet Owl",3720,57137.5523012552,51937.7615062762,27836.2970711297,98783.0543933054,17384.1527196653,121378.478033473,57137.5523012552,51937.7615062762,27836.2970711297,98783.0543933054,17384.1527196653,121378.478033473,54623.5,49652.5,26611.5,94436.6,16619.25,116037.825,57100,51900,27800,98800,17400,121000,57100,51900,27800,98800,17400,121000,54600,49700,26600,94400,16600,116000,4,5,4,5,4,FALSE,FALSE
"Eastern Screech-Owl",3730,278244.64844565,275272.793657417,222097.851032756,324952.95222199,209703.943250574,374486.125599833,278244.64844565,275272.793657417,222097.851032756,324952.95222199,209703.943250574,374486.125599833,266725.32,263876.5,212903,311499.9,201022.2,358982.4,278000,275000,222000,325000,210000,374000,278000,275000,222000,325000,210000,374000,267000,264000,213000,311000,201000,359000,4,4,4,4,4,FALSE,FALSE
"Western Screech-Owl",3732,192252.588953797,199352.761550717,117038.767923526,267783.722782793,82832.7469463622,297713.25677111,192252.588953797,199352.761550717,117038.767923526,267783.722782793,82832.7469463622,297713.25677111,144804.65,150152.5,88153.6,201694.7,62389.625,224237.625,192000,199000,117000,268000,82800,298000,192000,199000,117000,268000,82800,298000,145000,150000,88200,202000,62400,224000,4,4,4,4,4,FALSE,FALSE
"Great Horned Owl",3750,6317960.35189614,6337137.85445849,5801957.46498121,6760961.05227195,5625373.12094294,6936329.90263068,6317960.35189614,6337137.85445849,5801957.46498121,6760961.05227195,5625373.12094294,6936329.90263068,3698533.99,3709760.5,3396465.9,3957866.6,3293093.425,4060527.525,6320000,6340000,5800000,6760000,5630000,6940000,6320000,6340000,5800000,6760000,5630000,6940000,3700000,3710000,3400000,3960000,3290000,4060000,2,2,2,2,2,FALSE,FALSE
"Northern Hawk Owl",3770,68683.92,64905,32263.6,104104.2,23900.45,135183.85,34341.96,32452.5,16131.8,52052.1,11950.225,67591.925,34341.96,32452.5,16131.8,52052.1,11950.225,67591.925,68700,64900,32300,104000,23900,135000,34300,32500,16100,52100,12000,67600,34300,32500,16100,52100,12000,67600,4,5,4,5,4,FALSE,FALSE
"Burrowing Owl",3780,2964084.21895006,2962216.70934699,2309536.1715749,3506219.27016645,1969909.01088348,3981470.07042253,2964084.21895006,2962216.70934699,2309536.1715749,3506219.27016645,1969909.01088348,3981470.07042253,925979.91,925396.5,721499.1,1095342.9,615399.575,1243811.25,2960000,2960000,2310000,3510000,1970000,3980000,2960000,2960000,2310000,3510000,1970000,3980000,926000,925000,721000,1100000,615000,1240000,3,3,3,3,3,FALSE,FALSE
"Northern Pygmy-Owl",3790,103561.646529924,101848.131497612,80656.9261028379,131075.021073335,71064.7302613094,140151.376791233,103561.646529924,101848.131497612,80656.9261028379,131075.021073335,71064.7302613094,140151.376791233,73715.18,72495.5,57411.6,93299.2,50583.875,99759.75,104000,102000,80700,131000,71100,140000,104000,102000,80700,131000,71100,140000,73700,72500,57400,93300,50600,99800,4,4,4,4,4,FALSE,FALSE
"Elf Owl",3810,83037.615255658,60104.7778709137,9507.33445096396,214045.054484493,0,261657.062028499,83037.615255658,60104.7778709137,9507.33445096396,214045.054484493,0,261657.062028499,39625.55,28682,4536.9,102142.3,0,124862.75,83000,60100,9510,214000,0,262000,83000,60100,9510,214000,0,262000,39600,28700,4540,102000,0,125000,4,5,4,5,4,FALSE,FALSE
"Monk Parakeet",3824,918247.602739726,779845.890410959,184431.506849315,1803842.46575342,6978.59589041096,2455006.84931507,918247.602739726,779845.890410959,184431.506849315,1803842.46575342,6978.59589041096,2455006.84931507,26812.83,22771.5,5385.4,52672.2,203.775,71686.2,918000,780000,184000,1800000,6980,2460000,918000,780000,184000,1800000,6980,2460000,26800,22800,5390,52700,204,71700,3,4,3,5,3,FALSE,FALSE
"Groove-billed Ani",3840,573086.342592593,537893.518518519,277247.685185185,900500,188438.078703704,1135336.80555555,573086.342592593,537893.518518519,277247.685185185,900500,188438.078703704,1135336.80555555,24757.33,23237,11977.1,38901.6,8140.525,49046.5499999999,573000,538000,277000,901000,188000,1140000,573000,538000,277000,901000,188000,1140000,24800,23200,12000,38900,8140,49000,3,4,3,4,3,FALSE,FALSE
"Greater Roadrunner",3850,1480220.17036323,1456976.8563163,1298277.40276438,1687372.87045966,1240527.64384442,1815743.04885889,1480220.17036323,1456976.8563163,1298277.40276438,1687372.87045966,1240527.64384442,1815743.04885889,920992.99,906531,807788.2,1049883.4,771856.3,1129755.325,1480000,1460000,1300000,1690000,1240000,1820000,1480000,1460000,1300000,1690000,1240000,1820000,921000,907000,808000,1050000,772000,1130000,3,3,3,3,3,FALSE,FALSE
"Mangrove Cuckoo",3860,38303.9748953975,35543.9330543933,11378.6610878661,67512.5523012552,3599.89539748954,92845.1882845188,38303.9748953975,35543.9330543933,11378.6610878661,67512.5523012552,3599.89539748954,92845.1882845188,1830.93,1699,543.9,3227.1,172.075,4438,38300,35500,11400,67500,3600,92800,38300,35500,11400,67500,3600,92800,1830,1700,544,3230,172,4440,5,5,4,5,4,FALSE,FALSE
"Yellow-billed Cuckoo",3870,9871409.49160448,9853711.52052239,9181996.15205224,10571276.8190299,8875915.92817164,10843858.8502798,9871409.49160448,9853711.52052239,9181996.15205224,10571276.8190299,8875915.92817164,10843858.8502798,8465720.78,8450543,7874479.9,9065927,7611985.5,9299693.35,9870000,9850000,9180000,10600000,8880000,10800000,9870000,9850000,9180000,10600000,8880000,10800000,8470000,8450000,7870000,9070000,7610000,9300000,2,2,2,2,2,FALSE,FALSE
"Black-billed Cuckoo",3880,851491.34,849038.5,739734.1,959411.9,700019.5,986718.525,851491.34,849038.5,739734.1,959411.9,700019.5,986718.525,851491.34,849038.5,739734.1,959411.9,700019.5,986718.525,851000,849000,740000,959000,7e+05,987000,851000,849000,740000,959000,7e+05,987000,851000,849000,740000,959000,7e+05,987000,3,3,3,3,3,FALSE,FALSE
"Elegant Trogon",3890,31651.7355371901,21206.6115702479,0,72937.1900826446,0,103596.694214876,31651.7355371901,21206.6115702479,0,72937.1900826446,0,103596.694214876,1914.93,1283,0,4412.7,0,6267.59999999999,31700,21200,0,72900,0,104000,31700,21200,0,72900,0,104000,1910,1280,0,4410,0,6270,5,5,4,5,4,FALSE,FALSE
"Belted Kingfisher",3900,1695269.47,1677918,1527964.1,1875541.7,1486162.175,2015440.5,1695269.47,1677918,1527964.1,1875541.7,1486162.175,2015440.5,1695269.47,1677918,1527964.1,1875541.7,1486162.175,2015440.5,1700000,1680000,1530000,1880000,1490000,2020000,1700000,1680000,1530000,1880000,1490000,2020000,1700000,1680000,1530000,1880000,1490000,2020000,3,3,3,3,3,FALSE,FALSE
"Hairy Woodpecker",3930,8616970.19985351,8584644.76300094,8163700.8475463,9127574.86658994,7976221.19912106,9472242.02155488,8616970.19985351,8584644.76300094,8163700.8475463,9127574.86658994,7976221.19912106,9472242.02155488,8235238.42,8204345,7802048.9,8723223.3,7622874.6,9052621.7,8620000,8580000,8160000,9130000,7980000,9470000,8620000,8580000,8160000,9130000,7980000,9470000,8240000,8200000,7800000,8720000,7620000,9050000,2,2,2,2,2,FALSE,FALSE
"Downy Woodpecker",3940,13361788.6377275,13378890.2780556,12878650.630126,13814737.2474495,12617503.3756751,14016032.9065813,13361788.6377275,13378890.2780556,12878650.630126,13814737.2474495,12617503.3756751,14016032.9065813,13359116.28,13376214.5,12876074.9,13811974.3,12614979.875,14013229.7,13400000,13400000,12900000,13800000,12600000,1.4e+07,13400000,13400000,12900000,13800000,12600000,1.4e+07,13400000,13400000,12900000,13800000,12600000,1.4e+07,2,2,2,2,2,FALSE,FALSE
"Red-cockaded Woodpecker",3950,34784,32687,22701.8,52080.9,16595.8,58994.475,34784,32687,22701.8,52080.9,16595.8,58994.475,34784,32687,22701.8,52080.9,16595.8,58994.475,34800,32700,22700,52100,16600,59000,34800,32700,22700,52100,16600,59000,34800,32700,22700,52100,16600,59000,5,5,4,5,4,FALSE,FALSE
"Ladder-backed Woodpecker",3960,6895170.98028325,6851953.62399334,6095658.42821439,7628013.6073313,5835399.26409331,8392692.37711747,6895170.98028325,6851953.62399334,6095658.42821439,7628013.6073313,5835399.26409331,8392692.37711747,2482951.07,2467388.5,2195046.6,2746847.7,2101327.275,3022208.525,6900000,6850000,6100000,7630000,5840000,8390000,6900000,6850000,6100000,7630000,5840000,8390000,2480000,2470000,2200000,2750000,2100000,3020000,2,2,2,2,2,FALSE,FALSE
"Nuttall's Woodpecker",3970,639463.78056173,628160.739543342,461270.963831077,811577.591432613,433778.844210952,1006765.02828854,639463.78056173,628160.739543342,461270.963831077,811577.591432613,433778.844210952,1006765.02828854,632941.25,621753.5,456566,803299.5,429354.3,996496.024999999,639000,628000,461000,812000,434000,1010000,639000,628000,461000,812000,434000,1010000,633000,622000,457000,803000,429000,996000,3,4,3,4,3,FALSE,FALSE
"Arizona Woodpecker",3975,615204.473684211,568302.631578947,129981.578947368,1179763.15789474,25067.1052631579,1414129.60526316,615204.473684211,568302.631578947,129981.578947368,1179763.15789474,25067.1052631579,1414129.60526316,23377.77,21595.5,4939.3,44831,952.55,53736.925,615000,568000,130000,1180000,25100,1410000,615000,568000,130000,1180000,25100,1410000,23400,21600,4940,44800,953,53700,3,4,3,5,3,FALSE,FALSE
"White-headed Woodpecker",3990,257602.19,259082,203556.6,309806.5,185170.3,347631.125,257602.19,259082,203556.6,309806.5,185170.3,347631.125,257602.19,259082,203556.6,309806.5,185170.3,347631.125,258000,259000,204000,310000,185000,348000,258000,259000,204000,310000,185000,348000,258000,259000,204000,310000,185000,348000,4,4,4,4,4,FALSE,FALSE
"Black-backed Woodpecker",4000,1268231.84,1252941.5,1056023.8,1476510,930720.125,1592353.45,1268231.84,1252941.5,1056023.8,1476510,930720.125,1592353.45,1268231.84,1252941.5,1056023.8,1476510,930720.125,1592353.45,1270000,1250000,1060000,1480000,931000,1590000,1270000,1250000,1060000,1480000,931000,1590000,1270000,1250000,1060000,1480000,931000,1590000,3,3,3,3,3,FALSE,FALSE
"American Three-toed Woodpecker",4010,1575184.65,1574197.5,1263201.2,1880625.1,1144538.325,2061052.05,1575184.65,1574197.5,1263201.2,1880625.1,1144538.325,2061052.05,1575184.65,1574197.5,1263201.2,1880625.1,1144538.325,2061052.05,1580000,1570000,1260000,1880000,1140000,2060000,1580000,1570000,1260000,1880000,1140000,2060000,1580000,1570000,1260000,1880000,1140000,2060000,3,3,3,3,3,FALSE,FALSE
"Yellow-bellied Sapsucker",4020,12857087.84,12774601.5,11995269.1,13920064.7,11538101.775,14667311.2,12857087.84,12774601.5,11995269.1,13920064.7,11538101.775,14667311.2,12857087.84,12774601.5,11995269.1,13920064.7,11538101.775,14667311.2,12900000,12800000,1.2e+07,13900000,11500000,14700000,12900000,12800000,1.2e+07,13900000,11500000,14700000,12900000,12800000,1.2e+07,13900000,11500000,14700000,2,2,2,2,2,FALSE,FALSE
"Red-naped Sapsucker",4021,1909744.58,1881881.5,1631982.4,2214267.7,1463825.45,2429099.7,1909744.58,1881881.5,1631982.4,2214267.7,1463825.45,2429099.7,1909744.58,1881881.5,1631982.4,2214267.7,1463825.45,2429099.7,1910000,1880000,1630000,2210000,1460000,2430000,1910000,1880000,1630000,2210000,1460000,2430000,1910000,1880000,1630000,2210000,1460000,2430000,3,3,3,3,3,FALSE,FALSE
"Red-breasted Sapsucker",4030,2881337.3,2903626.5,2247014.6,3485954.9,1988926.4,3937296.1,2881337.3,2903626.5,2247014.6,3485954.9,1988926.4,3937296.1,2881337.3,2903626.5,2247014.6,3485954.9,1988926.4,3937296.1,2880000,2900000,2250000,3490000,1990000,3940000,2880000,2900000,2250000,3490000,1990000,3940000,2880000,2900000,2250000,3490000,1990000,3940000,3,3,3,3,3,FALSE,FALSE
"Williamson's Sapsucker",4040,298088.82,299567,241824,349247.7,229642.9,365677.6,298088.82,299567,241824,349247.7,229642.9,365677.6,298088.82,299567,241824,349247.7,229642.9,365677.6,298000,3e+05,242000,349000,230000,366000,298000,3e+05,242000,349000,230000,366000,298000,3e+05,242000,349000,230000,366000,4,4,4,4,4,FALSE,FALSE
"Pileated Woodpecker",4050,2804135.02,2796036.5,2660791.8,2963662.6,2584807.85,3031489,2804135.02,2796036.5,2660791.8,2963662.6,2584807.85,3031489,2804135.02,2796036.5,2660791.8,2963662.6,2584807.85,3031489,2800000,2800000,2660000,2960000,2580000,3030000,2800000,2800000,2660000,2960000,2580000,3030000,2800000,2800000,2660000,2960000,2580000,3030000,3,3,3,3,3,FALSE,FALSE
"Red-headed Woodpecker",4060,2159642.62,2131307.5,2015800.1,2338126.8,1913540.025,2470740.5,2159642.62,2131307.5,2015800.1,2338126.8,1913540.025,2470740.5,2159642.62,2131307.5,2015800.1,2338126.8,1913540.025,2470740.5,2160000,2130000,2020000,2340000,1910000,2470000,2160000,2130000,2020000,2340000,1910000,2470000,2160000,2130000,2020000,2340000,1910000,2470000,3,3,3,3,3,FALSE,FALSE
"Acorn Woodpecker",4070,8746823.08464369,8363640.0133824,6579173.30210773,11207090.6657745,5894698.64503178,13634097.0224155,8746823.08464369,8363640.0133824,6579173.30210773,11207090.6657745,5894698.64503178,13634097.0224155,2614425.42,2499892,1966514.9,3349799.4,1761925.425,4075231.6,8750000,8360000,6580000,11200000,5890000,13600000,8750000,8360000,6580000,11200000,5890000,13600000,2610000,2500000,1970000,3350000,1760000,4080000,2,2,2,2,2,FALSE,FALSE
"Lewis's Woodpecker",4080,74595.89,74725,53839.5,97657.8,46600.375,108049.05,74595.89,74725,53839.5,97657.8,46600.375,108049.05,74595.89,74725,53839.5,97657.8,46600.375,108049.05,74600,74700,53800,97700,46600,108000,74600,74700,53800,97700,46600,108000,74600,74700,53800,97700,46600,108000,4,4,4,5,4,FALSE,FALSE
"Red-bellied Woodpecker",4090,16181290.85,16197630,15281147.7,17053438,14854176.8,17382024.2,16181290.85,16197630,15281147.7,17053438,14854176.8,17382024.2,16181290.85,16197630,15281147.7,17053438,14854176.8,17382024.2,16200000,16200000,15300000,17100000,14900000,17400000,16200000,16200000,15300000,17100000,14900000,17400000,16200000,16200000,15300000,17100000,14900000,17400000,2,2,2,2,2,FALSE,FALSE
"Golden-fronted Woodpecker",4100,3750562.42875932,3654754.49364314,2884776.85225778,4749985.53266111,2636968.21569487,5190325.8439281,3750562.42875932,3654754.49364314,2884776.85225778,4749985.53266111,2636968.21569487,5190325.8439281,855503.29,833649.5,658017.6,1083471.7,601492.45,1183913.325,3750000,3650000,2880000,4750000,2640000,5190000,3750000,3650000,2880000,4750000,2640000,5190000,856000,834000,658000,1080000,601000,1180000,3,3,3,3,2,FALSE,FALSE
"Gila Woodpecker",4110,2776129.94978479,2777272.23816356,1767139.52654232,3824254.30416069,1464155.57747489,4508253.7661406,2776129.94978479,2777272.23816356,1767139.52654232,3824254.30416069,1464155.57747489,4508253.7661406,773985.03,774303.5,492678.5,1066202.1,408206.575,1256901.15,2780000,2780000,1770000,3820000,1460000,4510000,2780000,2780000,1770000,3820000,1460000,4510000,774000,774000,493000,1070000,408000,1260000,3,3,3,3,3,FALSE,FALSE
"Northern Flicker",4120,6600721.15709459,6604897.06503378,6157969.06672297,7011373.94425676,5924127.03230574,7278515.04434121,6600721.15709459,6604897.06503378,6157969.06672297,7011373.94425676,5924127.03230574,7278515.04434121,6252203.08,6256158.5,5832828.3,6641173.4,5611333.125,6894209.45,6600000,6600000,6160000,7010000,5920000,7280000,6600000,6600000,6160000,7010000,5920000,7280000,6250000,6260000,5830000,6640000,5610000,6890000,2,2,2,2,2,FALSE,FALSE
"Gilded Flicker",4140,443494.7171692,409451.781709444,275217.542985298,676581.609768253,220711.375529529,743184.961375529,443494.7171692,409451.781709444,275217.542985298,676581.609768253,220711.375529529,743184.961375529,177974.43,164313,110444.8,271512.2,88571.475,298240.125,443000,409000,275000,677000,221000,743000,443000,409000,275000,677000,221000,743000,178000,164000,110000,272000,88600,298000,4,4,3,4,3,FALSE,FALSE
"Chuck-will's-widow",4160,5188745.33,5137276,4615011.8,5881675.9,4478893,6228936.8,5188745.33,5137276,4615011.8,5881675.9,4478893,6228936.8,5188745.33,5137276,4615011.8,5881675.9,4478893,6228936.8,5190000,5140000,4620000,5880000,4480000,6230000,5190000,5140000,4620000,5880000,4480000,6230000,5190000,5140000,4620000,5880000,4480000,6230000,2,3,2,3,2,FALSE,FALSE
"Eastern Whip-poor-will",4171,1541305.46,1535217,1299397,1804249.3,1205878.45,1908563.475,1541305.46,1535217,1299397,1804249.3,1205878.45,1908563.475,1541305.46,1535217,1299397,1804249.3,1205878.45,1908563.475,1540000,1540000,1300000,1800000,1210000,1910000,1540000,1540000,1300000,1800000,1210000,1910000,1540000,1540000,1300000,1800000,1210000,1910000,3,3,3,3,3,FALSE,FALSE
"Mexican Whip-poor-will",4172,274443.333333333,231474.358974359,61460.5128205128,536772.307692308,20979.1025641026,672245.769230769,274443.333333333,231474.358974359,61460.5128205128,536772.307692308,20979.1025641026,672245.769230769,53516.45,45137.5,11984.8,104670.6,4090.925,131087.925,274000,231000,61500,537000,21000,672000,274000,231000,61500,537000,21000,672000,53500,45100,12000,105000,4090,131000,4,4,3,5,3,FALSE,FALSE
"Common Poorwill",4180,1907928.45875356,1885225.62710111,1548184.89785363,2283996.25032325,1436648.4031549,2392695.98525989,1907928.45875356,1885225.62710111,1548184.89785363,2283996.25032325,1436648.4031549,2392695.98525989,1475591.87,1458033.5,1197366.2,1766442.7,1111103.875,1850511.075,1910000,1890000,1550000,2280000,1440000,2390000,1910000,1890000,1550000,2280000,1440000,2390000,1480000,1460000,1200000,1770000,1110000,1850000,3,3,3,3,3,FALSE,FALSE
"Common Nighthawk",4200,21679783.5656089,21674183.6406518,20190024.0137221,23481659.3053173,19101914.1027015,24167372.5879074,21679783.5656089,21674183.6406518,20190024.0137221,23481659.3053173,19101914.1027015,24167372.5879074,20222902.11,20217678.5,18833254.4,21903691.8,17818265.475,22543325.15,21700000,21700000,20200000,23500000,19100000,24200000,21700000,21700000,20200000,23500000,19100000,24200000,20200000,20200000,18800000,21900000,17800000,22500000,2,2,2,2,2,FALSE,FALSE
"Lesser Nighthawk",4210,11382272.1268657,11022322.761194,8663676.11940299,14441816.7910448,7179589.73880597,17144982.8358209,11382272.1268657,11022322.761194,8663676.11940299,14441816.7910448,7179589.73880597,17144982.8358209,3050448.93,2953982.5,2321865.2,3870406.9,1924130.05,4594855.4,11400000,1.1e+07,8660000,14400000,7180000,17100000,11400000,1.1e+07,8660000,14400000,7180000,17100000,3050000,2950000,2320000,3870000,1920000,4590000,2,2,2,2,2,FALSE,FALSE
"Black Swift",4220,238552.255533763,198854.020734099,125400.672457271,392144.017932194,95137.8537405436,544109.064163631,238552.255533763,198854.020734099,125400.672457271,392144.017932194,95137.8537405436,544109.064163631,85139.3,70971,44755.5,139956.2,33954.7,194192.525,239000,199000,125000,392000,95100,544000,239000,199000,125000,392000,95100,544000,85100,71000,44800,140000,34000,194000,4,4,4,4,3,FALSE,FALSE
"Chimney Swift",4230,7544046.66933387,7555839.66793359,6992223.04460892,8020073.01460292,6821589.61792359,8363199.914983,7544046.66933387,7555839.66793359,6992223.04460892,8020073.01460292,6821589.61792359,8363199.914983,7542537.86,7554328.5,6990824.6,8018469,6820225.3,8361527.275,7540000,7560000,6990000,8020000,6820000,8360000,7540000,7560000,6990000,8020000,6820000,8360000,7540000,7550000,6990000,8020000,6820000,8360000,2,2,2,2,2,FALSE,FALSE
"Vaux's Swift",4240,882796.395580511,865688.281108495,703738.634305379,1096167.54211194,617607.996739721,1287591.60478174,882796.395580511,865688.281108495,703738.634305379,1096167.54211194,617607.996739721,1287591.60478174,487391.89,477946.5,388534.1,605194.1,340981.375,710879.325,883000,866000,704000,1100000,618000,1290000,883000,866000,704000,1100000,618000,1290000,487000,478000,389000,605000,341000,711000,3,3,3,3,3,FALSE,FALSE
"White-throated Swift",4250,3094443.73710581,3108381.22605364,2288270.40966696,3847508.9890952,2021626.95254937,4156736.14795166,3094443.73710581,3108381.22605364,2288270.40966696,3847508.9890952,2021626.95254937,4156736.14795166,2099889.52,2109347.5,1552820.3,2610919.6,1371876.05,2820761.15,3090000,3110000,2290000,3850000,2020000,4160000,3090000,3110000,2290000,3850000,2020000,4160000,2100000,2110000,1550000,2610000,1370000,2820000,3,3,3,3,3,FALSE,FALSE
"Magnificent Hummingbird",4260,435274.664107486,311180.422264875,0,1113844.52975048,0,1805352.20729367,435274.664107486,311180.422264875,0,1113844.52975048,0,1805352.20729367,22677.81,16212.5,0,58031.3,0,94058.85,435000,311000,0,1110000,0,1810000,435000,311000,0,1110000,0,1810000,22700,16200,0,58000,0,94100,4,5,3,5,3,FALSE,FALSE
"Blue-throated Hummingbird",4270,721157.203994294,619151.212553495,0,1306339.5149786,0,2537553.13837375,721157.203994294,619151.212553495,0,1306339.5149786,0,2537553.13837375,50553.12,43402.5,0,91574.4,0,177882.475,721000,619000,0,1310000,0,2540000,721000,619000,0,1310000,0,2540000,50600,43400,0,91600,0,178000,3,5,3,5,3,FALSE,FALSE
"Ruby-throated Hummingbird",4280,33106522.31,32977708,30315593.3,36241216.6,29393960.375,38270580.325,33106522.31,32977708,30315593.3,36241216.6,29393960.375,38270580.325,33106522.31,32977708,30315593.3,36241216.6,29393960.375,38270580.325,33100000,3.3e+07,30300000,36200000,29400000,38300000,33100000,3.3e+07,30300000,36200000,29400000,38300000,33100000,3.3e+07,30300000,36200000,29400000,38300000,2,2,2,2,2,FALSE,FALSE
"Black-chinned Hummingbird",4290,9149352.51897861,8849059.69634231,7439274.32712215,11290126.2939959,6595122.15320911,13033239.9643432,9149352.51897861,8849059.69634231,7439274.32712215,11290126.2939959,6595122.15320911,13033239.9643432,7954447.08,7693372.5,6467705.1,9815635.8,5733799.2,11331098.825,9150000,8850000,7440000,11300000,6600000,1.3e+07,9150000,8850000,7440000,11300000,6600000,1.3e+07,7950000,7690000,6470000,9820000,5730000,11300000,2,2,2,2,2,FALSE,FALSE
