"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability....ifelse.use_availability..TRUE..FALSE.","edr....ifelse.use_edr..TRUE..FALSE."
"Willow Ptarmigan",3010,93172908.2333333,91981770,51877581.6666667,136691216,38499170.8333333,163547595.583333,27951872.47,27594531,15563274.5,41007364.8,11549751.25,49064278.675,27951872.47,27594531,15563274.5,41007364.8,11549751.25,49064278.675,93200000,9.2e+07,51900000,1.37e+08,38500000,1.64e+08,2.8e+07,27600000,15600000,4.1e+07,11500000,49100000,2.8e+07,27600000,15600000,4.1e+07,11500000,49100000,1,1,1,2,1,FALSE,FALSE
"Rock Ptarmigan",3020,771039.08,749033,297443.4,1319824,206472.05,1455562.55,385519.54,374516.5,148721.7,659912,103236.025,727781.275,385519.54,374516.5,148721.7,659912,103236.025,727781.275,771000,749000,297000,1320000,206000,1460000,386000,375000,149000,660000,103000,728000,386000,375000,149000,660000,103000,728000,3,4,3,4,3,FALSE,FALSE
"Greater Prairie-Chicken",3050,381125.8,368610,259811.4,503668.1,203994.9,652121.025,381125.8,368610,259811.4,503668.1,203994.9,652121.025,381125.8,368610,259811.4,503668.1,203994.9,652121.025,381000,369000,260000,504000,204000,652000,381000,369000,260000,504000,204000,652000,381000,369000,260000,504000,204000,652000,4,4,3,4,3,FALSE,FALSE
"Lesser Prairie-Chicken",3070,29014.79,17798.5,4163.5,66528.6,1454.55,86836.5,29014.79,17798.5,4163.5,66528.6,1454.55,86836.5,29014.79,17798.5,4163.5,66528.6,1454.55,86836.5,29000,17800,4160,66500,1450,86800,29000,17800,4160,66500,1450,86800,29000,17800,4160,66500,1450,86800,5,5,4,5,4,FALSE,FALSE
"Sharp-tailed Grouse",3080,682707.28,686704.5,577547.2,793951.8,525829.65,871800.525,682707.28,686704.5,577547.2,793951.8,525829.65,871800.525,682707.28,686704.5,577547.2,793951.8,525829.65,871800.525,683000,687000,578000,794000,526000,872000,683000,687000,578000,794000,526000,872000,683000,687000,578000,794000,526000,872000,3,3,3,3,3,FALSE,FALSE
"Gunnison Sage-Grouse",3089,4584.14,4040.5,523.3,8952.20000000001,60.8,13728.275,4584.14,4040.5,523.3,8952.20000000001,60.8,13728.275,4584.14,4040.5,523.3,8952.20000000001,60.8,13728.275,4580,4040,523,8950,60.8,13700,4580,4040,523,8950,60.8,13700,4580,4040,523,8950,60.8,13700,5,5,5,5,5,FALSE,FALSE
"Greater Sage-Grouse",3090,215586.51,207772,129314.4,309434.5,111038.625,369634.575,215586.51,207772,129314.4,309434.5,111038.625,369634.575,215586.51,207772,129314.4,309434.5,111038.625,369634.575,216000,208000,129000,309000,111000,370000,216000,208000,129000,309000,111000,370000,216000,208000,129000,309000,111000,370000,4,4,4,4,4,FALSE,FALSE
"Ring-necked Pheasant",3091,45959541.1607738,45739716.4776518,41765235.1567712,50293021.0140093,39876123.2488326,53330549.1160774,13786942.6055633,13720999.5997599,12528734.7408445,15086899.8399039,11962038.973384,15998097.4834901,13778670.44,13712767,12521217.5,15077847.7,11954861.75,15988498.625,4.6e+07,45700000,41800000,50300000,39900000,53300000,13800000,13700000,12500000,15100000,1.2e+07,1.6e+07,13800000,13700000,12500000,15100000,1.2e+07,1.6e+07,2,2,1,2,1,FALSE,FALSE
"Wild Turkey",3100,2145057.7703827,2141093.73266778,2024310.70438159,2266998.77981143,1975038.51913478,2326665.52967277,2145057.7703827,2141093.73266778,2024310.70438159,2266998.77981143,1975038.51913478,2326665.52967277,1933769.58,1930196,1824916.1,2043699.4,1780497.225,2097488.975,2150000,2140000,2020000,2270000,1980000,2330000,2150000,2140000,2020000,2270000,1980000,2330000,1930000,1930000,1820000,2040000,1780000,2100000,3,3,3,3,3,FALSE,FALSE
"Plain Chachalaca",3110,57839.3013100437,47030.5676855895,0,140039.301310044,0,194649.563318777,57839.3013100437,47030.5676855895,0,140039.301310044,0,194649.563318777,1324.52,1077,0,3206.9,0,4457.475,57800,47000,0,140000,0,195000,57800,47000,0,140000,0,195000,1320,1080,0,3210,0,4460,5,5,4,5,4,FALSE,FALSE
