"cn","To.ProvBCR","From.ProvBCR","RngAdj","To.BCR","To.Prov","From.BCR","From.Prov"
"Black-backed Woodpecker","62-7","43-7",0.04,7,"NU",7,"NT"
"Hermit Thrush","79-7","43-7",2,7,"SK",7,"NT"
"American Three-toed Woodpecker","79-7","43-7",1,7,"SK",7,"NT"
"Great Horned Owl","79-7","43-7",1,7,"SK",7,"NT"
"White-winged Crossbill","79-7","43-7",1,7,"SK",7,"NT"
"Red Crossbill","79-7","43-7",0.18,7,"SK",7,"NT"
"Ruby-crowned Kinglet","79-7","43-7",1,7,"SK",7,"NT"
"Short-eared Owl","79-7","43-7",1,7,"SK",7,"NT"
"Bohemian Waxwing","79-7","43-7",1,7,"SK",7,"NT"
"Rusty Blackbird","79-7","43-7",1,7,"SK",7,"NT"
"European Starling","79-7","43-7",1,7,"SK",7,"NT"
"Boreal Owl","62-7","43-7",0.04,7,"NU",7,"NT"
"Northern Flicker","79-7","43-7",1,7,"SK",7,"NT"
"Red-winged Blackbird","79-7","43-7",0.28,7,"SK",7,"NT"
"American Crow","79-7","43-7",0.19,7,"SK",7,"NT"
"Northern Goshawk","79-7","43-7",1,7,"SK",7,"NT"
"Black-backed Woodpecker","79-7","43-7",0.96,7,"SK",7,"NT"
"Wilson's Warbler","79-7","43-7",1,7,"SK",7,"NT"
"Yellow-bellied Sapsucker","79-7","43-7",0.52,7,"SK",7,"NT"
"Northern Shrike","79-7","43-7",0.74,7,"SK",7,"NT"
"Northern Hawk Owl","79-7","43-7",1,7,"SK",7,"NT"
"Sharp-tailed Grouse","79-7","43-7",0.39,7,"SK",7,"NT"
"Yellow Warbler","79-7","43-7",1,7,"SK",7,"NT"
"Yellow-rumped Warbler","79-7","43-7",1,7,"SK",7,"NT"
"House Sparrow","62-7","43-7",1,7,"NU",7,"NT"
"Red-breasted Nuthatch","79-7","43-7",0.26,7,"SK",7,"NT"
"Common Raven","62-7","43-7",1,7,"NU",7,"NT"
"Great Gray Owl","79-7","43-7",0.91,7,"SK",7,"NT"
"Red-tailed Hawk","79-7","43-7",0.6,7,"SK",7,"NT"
"Golden Eagle","79-7","43-7",1,7,"SK",7,"NT"
"Blackpoll Warbler","79-7","43-7",1,7,"SK",7,"NT"
"Common Nighthawk","79-7","43-7",2,7,"SK",7,"NT"
"Magnolia Warbler","62-7","43-7",1,7,"NU",7,"NT"
"Blue-headed Vireo","79-7","43-7",1,7,"SK",7,"NT"
"Tree Swallow","79-7","43-7",1,7,"SK",7,"NT"
"Horned Lark","79-7","43-7",0.63,7,"SK",7,"NT"
"Orange-crowned Warbler","62-7","43-7",1,7,"NU",7,"NT"
"Alder Flycatcher","79-7","43-7",2,7,"SK",7,"NT"
"American Tree Sparrow","79-7","43-7",1,7,"SK",7,"NT"
"Boreal Chickadee","62-7","43-7",0.26,7,"NU",7,"NT"
"Spruce Grouse","62-7","43-7",0.55,7,"NU",7,"NT"
"Snow Bunting","62-7","43-7",2,7,"NU",7,"NT"
"Northern Shrike","62-7","43-7",0.47,7,"NU",7,"NT"
"Clay-colored Sparrow","79-7","43-7",0.19,7,"SK",7,"NT"
"Hoary Redpoll","62-7","43-7",2,7,"NU",7,"NT"
"Sharp-tailed Grouse","62-7","43-7",0.04,7,"NU",7,"NT"
"Hermit Thrush","62-7","43-7",1,7,"NU",7,"NT"
"Ruby-crowned Kinglet","62-7","43-7",0.49,7,"NU",7,"NT"
"Northern Goshawk","62-7","43-7",0.72,7,"NU",7,"NT"
"White-crowned Sparrow","79-7","43-7",0.6,7,"SK",7,"NT"
"Smith's Longspur","62-7","43-7",1,7,"NU",7,"NT"
"Common Raven","79-7","43-7",1,7,"SK",7,"NT"
"Lincoln's Sparrow","62-7","43-7",0.01,7,"NU",7,"NT"
"Northern Harrier","62-7","43-7",0.07,7,"NU",7,"NT"
"Gyrfalcon","62-7","43-7",2,7,"NU",7,"NT"
"Northern Waterthrush","79-7","43-7",1,7,"SK",7,"NT"
"Black-and-white Warbler","79-7","43-7",2,7,"SK",7,"NT"
"Belted Kingfisher","62-7","43-7",0.06,7,"NU",7,"NT"
"American Tree Sparrow","62-7","43-7",0.99,7,"NU",7,"NT"
"American Three-toed Woodpecker","62-7","43-7",0.39,7,"NU",7,"NT"
"Least Flycatcher","79-7","43-7",0.23,7,"SK",7,"NT"
"Black-and-white Warbler","62-7","43-7",1,7,"NU",7,"NT"
"Eastern Phoebe","79-7","43-7",0.78,7,"SK",7,"NT"
"Great Horned Owl","62-7","43-7",0.1,7,"NU",7,"NT"
"Yellow-rumped Warbler","62-7","43-7",0.12,7,"NU",7,"NT"
"American Kestrel","79-7","43-7",0.57,7,"SK",7,"NT"
"Rusty Blackbird","62-7","43-7",0.29,7,"NU",7,"NT"
"Yellow Warbler","62-7","43-7",0.71,7,"NU",7,"NT"
"Pine Siskin","79-7","43-7",0.16,7,"SK",7,"NT"
"Bay-breasted Warbler","62-7","43-7",1,7,"NU",7,"NT"
"Bank Swallow","79-7","43-7",1,7,"SK",7,"NT"
"Ruffed Grouse","62-7","43-7",0.01,7,"NU",7,"NT"
"Pine Grosbeak","62-7","43-7",0.04,7,"NU",7,"NT"
"Swainson's Thrush","79-7","43-7",1,7,"SK",7,"NT"
"Merlin","79-7","43-7",1,7,"SK",7,"NT"
"Bald Eagle","79-7","43-7",0.77,7,"SK",7,"NT"
"Red-eyed Vireo","79-7","43-7",0.07,7,"SK",7,"NT"
"Chipping Sparrow","79-7","43-7",0.96,7,"SK",7,"NT"
"Dark-eyed Junco","79-7","43-7",1,7,"SK",7,"NT"
"Belted Kingfisher","79-7","43-7",1,7,"SK",7,"NT"
"Gray Jay","79-7","43-7",1,7,"SK",7,"NT"
"Lapland Longspur","79-7","43-7",1,7,"SK",7,"NT"
"Gray-cheeked Thrush","79-7","43-7",0.98,7,"SK",7,"NT"
"Tennessee Warbler","79-7","43-7",2,7,"SK",7,"NT"
"Savannah Sparrow","79-7","43-7",1,7,"SK",7,"NT"
"Magnolia Warbler","79-7","43-7",2,7,"SK",7,"NT"
"Black-capped Chickadee","79-7","43-7",0.86,7,"SK",7,"NT"
"Common Grackle","79-7","43-7",2,7,"SK",7,"NT"
"Osprey","79-7","43-7",0.52,7,"SK",7,"NT"
"Harris's Sparrow","79-7","43-7",2,7,"SK",7,"NT"
"Song Sparrow","79-7","43-7",1,7,"SK",7,"NT"
"Lincoln's Sparrow","79-7","43-7",0.99,7,"SK",7,"NT"
"Sharp-shinned Hawk","79-7","43-7",0.53,7,"SK",7,"NT"
"Yellow-bellied Flycatcher","79-7","43-7",2,7,"SK",7,"NT"
"Common Redpoll","79-7","43-7",0.13,7,"SK",7,"NT"
"Hairy Woodpecker","79-7","43-7",0.53,7,"SK",7,"NT"
"Olive-sided Flycatcher","79-7","43-7",0.53,7,"SK",7,"NT"
"Cedar Waxwing","79-7","43-7",2,7,"SK",7,"NT"
"Bay-breasted Warbler","79-7","43-7",1,7,"SK",7,"NT"
"Swamp Sparrow","79-7","43-7",1,7,"SK",7,"NT"
"White-throated Sparrow","79-7","43-7",1,7,"SK",7,"NT"
"Spruce Grouse","79-7","43-7",1,7,"SK",7,"NT"
"House Sparrow","79-7","43-7",2,7,"SK",7,"NT"
"Long-eared Owl","79-7","43-7",0.13,7,"SK",7,"NT"
"American Robin","79-7","43-7",1,7,"SK",7,"NT"
"Pine Grosbeak","79-7","43-7",0.9,7,"SK",7,"NT"
"Fox Sparrow","79-7","43-7",1,7,"SK",7,"NT"
"Palm Warbler","79-7","43-7",0.09,7,"SK",7,"NT"
"Cape May Warbler","79-7","43-7",0.63,7,"SK",7,"NT"
"Le Conte's Sparrow","79-7","43-7",1,7,"SK",7,"NT"
"Boreal Chickadee","79-7","43-7",1,7,"SK",7,"NT"
"Northern Harrier","79-7","43-7",1,7,"SK",7,"NT"
"Boreal Owl","79-7","43-7",1,7,"SK",7,"NT"
"Orange-crowned Warbler","79-7","43-7",2,7,"SK",7,"NT"
"Eastern Kingbird","79-7","43-7",0.12,7,"SK",7,"NT"
"Downy Woodpecker","79-7","43-7",0.38,7,"SK",7,"NT"
"Ruffed Grouse","79-7","43-7",0.74,7,"SK",7,"NT"
"Western Screech-Owl","85-33","55-33",1.69,33,"UT",33,"NV"
"Northern Mockingbird","85-33","55-33",1,33,"UT",33,"NV"
"Northern Flicker","85-33","55-33",1.06,33,"UT",33,"NV"
"Blue Grosbeak","85-33","55-33",1.13,33,"UT",33,"NV"
"House Sparrow","85-33","55-33",1,33,"UT",33,"NV"
"Tree Swallow","85-33","55-33",0.5,33,"UT",33,"NV"
"Lesser Goldfinch","85-33","55-33",1,33,"UT",33,"NV"
"Yellow-breasted Chat","85-33","55-33",2,33,"UT",33,"NV"
"Ring-necked Pheasant","85-33","55-33",2,33,"UT",33,"NV"
"Golden-crowned Kinglet","85-33","55-33",2,33,"UT",33,"NV"
"Burrowing Owl","85-33","55-33",1,33,"UT",33,"NV"
"Brewer's Blackbird","85-33","55-33",1.72,33,"UT",33,"NV"
"Rock Wren","85-33","55-33",1,33,"UT",33,"NV"
"Black-headed Grosbeak","85-33","55-33",1.16,33,"UT",33,"NV"
"Townsend's Solitaire","85-33","55-33",2,33,"UT",33,"NV"
"Canyon Wren","85-33","55-33",1,33,"UT",33,"NV"
"Western Wood-Pewee","85-33","55-33",1,33,"UT",33,"NV"
"Mountain Chickadee","85-33","55-33",1.8,33,"UT",33,"NV"
"Northern Saw-whet Owl","85-33","55-33",2,33,"UT",33,"NV"
"Golden Eagle","85-33","55-33",1,33,"UT",33,"NV"
"Yellow Warbler","85-33","55-33",2,33,"UT",33,"NV"
"White-breasted Nuthatch","85-33","55-33",1.37,33,"UT",33,"NV"
"Barn Swallow","85-33","55-33",1.75,33,"UT",33,"NV"
"Western Kingbird","85-33","55-33",1,33,"UT",33,"NV"
"Red-winged Blackbird","85-33","55-33",1,33,"UT",33,"NV"
"Gray Flycatcher","85-33","55-33",0.4,33,"UT",33,"NV"
"Lincoln's Sparrow","85-33","55-33",2,33,"UT",33,"NV"
"American Robin","85-33","55-33",1.44,33,"UT",33,"NV"
"Pine Siskin","85-33","55-33",2,33,"UT",33,"NV"
"House Finch","85-33","55-33",1,33,"UT",33,"NV"
"Northern Harrier","85-33","55-33",2,33,"UT",33,"NV"
"Marsh Wren","85-33","55-33",2,33,"UT",33,"NV"
"Plumbeous Vireo","85-33","55-33",2,33,"UT",33,"NV"
"Cliff Swallow","85-33","55-33",1.1,33,"UT",33,"NV"
"Olive-sided Flycatcher","85-33","55-33",1.08,33,"UT",33,"NV"
"Red Crossbill","85-33","55-33",2,33,"UT",33,"NV"
"Ferruginous Hawk","85-33","55-33",1.61,33,"UT",33,"NV"
"Common Nighthawk","85-33","55-33",2,33,"UT",33,"NV"
"Costa's Hummingbird","85-33","55-33",0.58,33,"UT",33,"NV"
"Mourning Dove","85-33","55-33",1,33,"UT",33,"NV"
"Long-eared Owl","85-33","55-33",1,33,"UT",33,"NV"
"Verdin","85-33","55-33",1.95,33,"UT",33,"NV"
"Brown-headed Cowbird","85-33","55-33",1,33,"UT",33,"NV"
"Bushtit","85-33","55-33",1.34,33,"UT",33,"NV"
"Hammond's Flycatcher","85-33","55-33",2,33,"UT",33,"NV"
"Warbling Vireo","85-33","55-33",1.46,33,"UT",33,"NV"
"Chukar","85-33","55-33",0.53,33,"UT",33,"NV"
"Scott's Oriole","85-33","55-33",2,33,"UT",33,"NV"
"Summer Tanager","85-33","55-33",2,33,"UT",33,"NV"
"Le Conte's Thrasher","85-33","55-33",1.09,33,"UT",33,"NV"
"Yellow-headed Blackbird","85-33","55-33",2,33,"UT",33,"NV"
"Horned Lark","85-33","55-33",1,33,"UT",33,"NV"
"Dusky Flycatcher","85-33","55-33",2,33,"UT",33,"NV"
"Lucy's Warbler","85-33","55-33",2,33,"UT",33,"NV"
"Bendire's Thrasher","85-33","55-33",1.3,33,"UT",33,"NV"
"Black-tailed Gnatcatcher","85-33","55-33",1.35,33,"UT",33,"NV"
"Pygmy Nuthatch","85-33","55-33",2,33,"UT",33,"NV"
"Sage Thrasher","85-33","55-33",2,33,"UT",33,"NV"
"Ash-throated Flycatcher","85-33","55-33",1,33,"UT",33,"NV"
"Brewer's Sparrow","85-33","55-33",1.39,33,"UT",33,"NV"
"Juniper Titmouse","85-33","55-33",1.27,33,"UT",33,"NV"
"Hairy Woodpecker","85-33","55-33",2,33,"UT",33,"NV"
"Blue-gray Gnatcatcher","85-33","55-33",1.03,33,"UT",33,"NV"
"Black-throated Gray Warbler","85-33","55-33",1,33,"UT",33,"NV"
"Western Bluebird","85-33","55-33",2,33,"UT",33,"NV"
"Rock Pigeon","85-33","55-33",1,33,"UT",33,"NV"
"Swainson's Hawk","85-33","55-33",1,33,"UT",33,"NV"
"Peregrine Falcon","85-33","55-33",1,33,"UT",33,"NV"
"Lazuli Bunting","85-33","55-33",1.26,33,"UT",33,"NV"
"Violet-green Swallow","85-33","55-33",1,33,"UT",33,"NV"
"Black Phoebe","85-33","55-33",2,33,"UT",33,"NV"
"American Three-toed Woodpecker","85-33","55-33",2,33,"UT",33,"NV"
"Phainopepla","85-33","55-33",0.28,33,"UT",33,"NV"
"Bewick's Wren","85-33","55-33",2,33,"UT",33,"NV"
"Virginia's Warbler","85-33","55-33",2,33,"UT",33,"NV"
"Turkey Vulture","85-33","55-33",1,33,"UT",33,"NV"
"Cooper's Hawk","85-33","55-33",1.03,33,"UT",33,"NV"
"White-throated Swift","85-33","55-33",1,33,"UT",33,"NV"
"Steller's Jay","85-33","55-33",2,33,"UT",33,"NV"
"Barn Owl","85-33","55-33",1,33,"UT",33,"NV"
"Hooded Oriole","85-33","55-33",0.76,33,"UT",33,"NV"
"Gray Vireo","85-33","55-33",0.79,33,"UT",33,"NV"
"Western Tanager","85-33","55-33",0.49,33,"UT",33,"NV"
"Loggerhead Shrike","85-33","55-33",1,33,"UT",33,"NV"
"Grace's Warbler","85-33","55-33",1.85,33,"UT",33,"NV"
"Brown Creeper","85-33","55-33",2,33,"UT",33,"NV"
"Sharp-shinned Hawk","85-33","55-33",1.98,33,"UT",33,"NV"
"Gambel's Quail","85-33","55-33",2,33,"UT",33,"NV"
"Cassin's Finch","85-33","55-33",2,33,"UT",33,"NV"
"Western Scrub-Jay","85-33","55-33",2,33,"UT",33,"NV"
"Band-tailed Pigeon","85-33","55-33",2,33,"UT",33,"NV"
"Chipping Sparrow","85-33","55-33",1.23,33,"UT",33,"NV"
"Cactus Wren","85-33","55-33",1.24,33,"UT",33,"NV"
"Common Poorwill","85-33","55-33",1,33,"UT",33,"NV"
"Hermit Thrush","85-33","55-33",1.49,33,"UT",33,"NV"
"Bullock's Oriole","85-33","55-33",1,33,"UT",33,"NV"
"Clark's Nutcracker","85-33","55-33",2,33,"UT",33,"NV"
"Common Raven","85-33","55-33",1,33,"UT",33,"NV"
"Northern Goshawk","85-33","55-33",2,33,"UT",33,"NV"
"Greater Sage-Grouse","85-33","55-33",2,33,"UT",33,"NV"
"Lark Sparrow","85-33","55-33",2,33,"UT",33,"NV"
"Red-tailed Hawk","85-33","55-33",1,33,"UT",33,"NV"
"Black-billed Magpie","85-33","55-33",1,33,"UT",33,"NV"
"American Kestrel","85-33","55-33",1,33,"UT",33,"NV"
"House Wren","85-33","55-33",2,33,"UT",33,"NV"
"Yellow-rumped Warbler","85-33","55-33",1.87,33,"UT",33,"NV"
"Northern Pygmy-Owl","85-33","55-33",2,33,"UT",33,"NV"
"Willow Flycatcher","85-33","55-33",1,33,"UT",33,"NV"
"Mountain Bluebird","85-33","55-33",2,33,"UT",33,"NV"
"Great-tailed Grackle","85-33","55-33",1.14,33,"UT",33,"NV"
"Black-throated Sparrow","85-33","55-33",1,33,"UT",33,"NV"
"Crissal Thrasher","85-33","55-33",0.71,33,"UT",33,"NV"
"Black-chinned Hummingbird","85-33","55-33",1.09,33,"UT",33,"NV"
"Western Meadowlark","85-33","55-33",1,33,"UT",33,"NV"
"Great Horned Owl","85-33","55-33",1,33,"UT",33,"NV"
"Abert's Towhee","85-33","55-33",2,33,"UT",33,"NV"
"Dark-eyed Junco","85-33","55-33",0.05,33,"UT",33,"NV"
"Bell's Sparrow","85-33","55-33",2,33,"UT",33,"NV"
"Pinyon Jay","85-33","55-33",1.45,33,"UT",33,"NV"
"Black-chinned Sparrow","85-33","55-33",2,33,"UT",33,"NV"
"Yellow-billed Cuckoo","85-33","55-33",2,33,"UT",33,"NV"
"Green-tailed Towhee","85-33","55-33",2,33,"UT",33,"NV"
"Broad-tailed Hummingbird","85-33","55-33",2,33,"UT",33,"NV"
"Prairie Falcon","85-33","55-33",1,33,"UT",33,"NV"
"Song Sparrow","85-33","55-33",1.92,33,"UT",33,"NV"
"Spotted Towhee","85-33","55-33",1.27,33,"UT",33,"NV"
"Northern Rough-winged Swallow","85-33","55-33",1,33,"UT",33,"NV"
"Vesper Sparrow","85-33","55-33",2,33,"UT",33,"NV"
"Ladder-backed Woodpecker","85-33","55-33",2,33,"UT",33,"NV"
"Say's Phoebe","85-33","55-33",1,33,"UT",33,"NV"
"European Starling","85-33","55-33",1,33,"UT",33,"NV"
"Lesser Nighthawk","85-33","55-33",1.1,33,"UT",33,"NV"
"Red-naped Sapsucker","85-33","55-33",1.24,33,"UT",33,"NV"
"Lewis's Woodpecker","85-33","55-33",2,33,"UT",33,"NV"
"Greater Roadrunner","85-33","55-33",0.92,33,"UT",33,"NV"
"Bell's Vireo","85-33","55-33",2,33,"UT",33,"NV"
"Indigo Bunting","85-33","55-33",1,33,"UT",33,"NV"
"Northern Mockingbird","38-24","67-24",1,24,"KS",24,"OK"
"Northern Harrier","38-21","67-21",1.99,21,"KS",21,"OK"
"American Robin","38-24","67-24",1,24,"KS",24,"OK"
"Red-headed Woodpecker","38-24","67-24",1,24,"KS",24,"OK"
"Red-headed Woodpecker","38-21","67-21",1,21,"KS",21,"OK"
"Pileated Woodpecker","38-24","67-24",1,24,"KS",24,"OK"
"Great-tailed Grackle","38-24","67-24",1,24,"KS",24,"OK"
"Yellow-billed Cuckoo","38-21","67-21",1,21,"KS",21,"OK"
"Pileated Woodpecker","38-21","67-21",1.85,21,"KS",21,"OK"
"Purple Martin","38-21","67-21",1,21,"KS",21,"OK"
"Mourning Dove","38-21","67-21",1,21,"KS",21,"OK"
"Cooper's Hawk","38-21","67-21",1,21,"KS",21,"OK"
"Brown-headed Cowbird","38-21","67-21",1,21,"KS",21,"OK"
"Yellow-breasted Chat","38-24","67-24",1,24,"KS",24,"OK"
"Orchard Oriole","38-24","67-24",1,24,"KS",24,"OK"
"Tree Swallow","38-24","67-24",1,24,"KS",24,"OK"
"American Kestrel","38-24","67-24",1,24,"KS",24,"OK"
"European Starling","38-21","67-21",1,21,"KS",21,"OK"
"House Sparrow","38-24","67-24",1,24,"KS",24,"OK"
"Northern Flicker","38-24","67-24",1,24,"KS",24,"OK"
"Chipping Sparrow","38-21","67-21",0.16,21,"KS",21,"OK"
"Eastern Phoebe","38-24","67-24",1,24,"KS",24,"OK"
"Loggerhead Shrike","38-21","67-21",1,21,"KS",21,"OK"
"American Redstart","38-24","67-24",2,24,"KS",24,"OK"
"Baltimore Oriole","38-21","67-21",1.3,21,"KS",21,"OK"
"Louisiana Waterthrush","38-24","67-24",1,24,"KS",24,"OK"
"Red-eyed Vireo","38-24","67-24",1,24,"KS",24,"OK"
"Rock Pigeon","38-21","67-21",1,21,"KS",21,"OK"
"Turkey Vulture","38-21","67-21",1,21,"KS",21,"OK"
"Barred Owl","38-24","67-24",1,24,"KS",24,"OK"
"Red-bellied Woodpecker","38-21","67-21",1,21,"KS",21,"OK"
"Acadian Flycatcher","38-21","67-21",0.34,21,"KS",21,"OK"
"Henslow's Sparrow","38-21","67-21",2,21,"KS",21,"OK"
"Blue-winged Warbler","38-21","67-21",2,21,"KS",21,"OK"
"Lark Sparrow","38-21","67-21",1,21,"KS",21,"OK"
"Northern Cardinal","38-24","67-24",1,24,"KS",24,"OK"
"Eastern Whip-poor-will","38-24","67-24",1,24,"KS",24,"OK"
"House Sparrow","38-21","67-21",1,21,"KS",21,"OK"
"Louisiana Waterthrush","38-21","67-21",2,21,"KS",21,"OK"
"Worm-eating Warbler","38-24","67-24",1.52,24,"KS",24,"OK"
"Lark Sparrow","38-24","67-24",1,24,"KS",24,"OK"
"Willow Flycatcher","38-21","67-21",1.07,21,"KS",21,"OK"
"Northern Parula","38-24","67-24",1.03,24,"KS",24,"OK"
"Common Yellowthroat","38-24","67-24",1,24,"KS",24,"OK"
"White-breasted Nuthatch","38-24","67-24",1,24,"KS",24,"OK"
"Bell's Vireo","38-24","67-24",1,24,"KS",24,"OK"
"Yellow-throated Warbler","38-24","67-24",1,24,"KS",24,"OK"
"Orchard Oriole","38-21","67-21",1,21,"KS",21,"OK"
"Great Horned Owl","38-24","67-24",1,24,"KS",24,"OK"
"Wood Thrush","38-24","67-24",1,24,"KS",24,"OK"
"Carolina Wren","38-24","67-24",1,24,"KS",24,"OK"
"Common Grackle","38-21","67-21",1,21,"KS",21,"OK"
"White-eyed Vireo","38-21","67-21",1,21,"KS",21,"OK"
"Warbling Vireo","38-24","67-24",1,24,"KS",24,"OK"
"Fish Crow","38-24","67-24",2,24,"KS",24,"OK"
"Greater Roadrunner","38-24","67-24",1,24,"KS",24,"OK"
"Dickcissel","38-24","67-24",1,24,"KS",24,"OK"
"Cliff Swallow","38-21","67-21",1,21,"KS",21,"OK"
"Great Crested Flycatcher","38-24","67-24",1,24,"KS",24,"OK"
"Red-winged Blackbird","38-21","67-21",1,21,"KS",21,"OK"
"Eastern Meadowlark","38-24","67-24",1,24,"KS",24,"OK"
"Scissor-tailed Flycatcher","38-21","67-21",1,21,"KS",21,"OK"
"Northern Mockingbird","38-21","67-21",1,21,"KS",21,"OK"
"Indigo Bunting","38-24","67-24",1,24,"KS",24,"OK"
"Barn Owl","38-21","67-21",1,21,"KS",21,"OK"
"Rose-breasted Grosbeak","38-21","67-21",2,21,"KS",21,"OK"
"Brown-headed Cowbird","38-24","67-24",1,24,"KS",24,"OK"
"Yellow Warbler","38-21","67-21",1.21,21,"KS",21,"OK"
"Mourning Dove","38-24","67-24",1,24,"KS",24,"OK"
"Chimney Swift","38-21","67-21",1,21,"KS",21,"OK"
"Cooper's Hawk","38-24","67-24",1,24,"KS",24,"OK"
"Turkey Vulture","38-24","67-24",1,24,"KS",24,"OK"
"White-breasted Nuthatch","38-21","67-21",1,21,"KS",21,"OK"
"Downy Woodpecker","38-21","67-21",1,21,"KS",21,"OK"
"European Starling","38-24","67-24",1,24,"KS",24,"OK"
"House Wren","38-21","67-21",2,21,"KS",21,"OK"
"Chimney Swift","38-24","67-24",1,24,"KS",24,"OK"
"Hairy Woodpecker","38-21","67-21",1,21,"KS",21,"OK"
"American Goldfinch","38-24","67-24",1,24,"KS",24,"OK"
"Great-tailed Grackle","38-21","67-21",1,21,"KS",21,"OK"
"Common Nighthawk","38-24","67-24",1,24,"KS",24,"OK"
"Northern Rough-winged Swallow","38-21","67-21",1,21,"KS",21,"OK"
"Red-bellied Woodpecker","38-24","67-24",1,24,"KS",24,"OK"
"Bank Swallow","38-21","67-21",2,21,"KS",21,"OK"
"Brown Thrasher","38-24","67-24",1,24,"KS",24,"OK"
"Eurasian Collared-Dove","38-24","67-24",2,24,"KS",24,"OK"
"Grasshopper Sparrow","38-21","67-21",1,21,"KS",21,"OK"
"Eastern Whip-poor-will","38-21","67-21",2,21,"KS",21,"OK"
"Common Grackle","38-24","67-24",1,24,"KS",24,"OK"
"Eastern Screech-Owl","38-21","67-21",1,21,"KS",21,"OK"
"Northern Bobwhite","38-24","67-24",1,24,"KS",24,"OK"
"Dickcissel","38-21","67-21",1,21,"KS",21,"OK"
"Eastern Phoebe","38-21","67-21",1,21,"KS",21,"OK"
"Willow Flycatcher","38-24","67-24",1,24,"KS",24,"OK"
"Northern Rough-winged Swallow","38-24","67-24",1,24,"KS",24,"OK"
"Field Sparrow","38-21","67-21",1,21,"KS",21,"OK"
"American Crow","38-24","67-24",1,24,"KS",24,"OK"
"Horned Lark","38-21","67-21",1,21,"KS",21,"OK"
"Eastern Kingbird","38-24","67-24",1,24,"KS",24,"OK"
"Black-billed Cuckoo","38-24","67-24",1,24,"KS",24,"OK"
"Rock Pigeon","38-24","67-24",1,24,"KS",24,"OK"
"Purple Martin","38-24","67-24",1,24,"KS",24,"OK"
"Barred Owl","38-21","67-21",1,21,"KS",21,"OK"
"Great Horned Owl","38-21","67-21",1,21,"KS",21,"OK"
"Eastern Wood-Pewee","38-21","67-21",1.01,21,"KS",21,"OK"
"Blue-winged Warbler","38-24","67-24",1.16,24,"KS",24,"OK"
"Brown Thrasher","38-21","67-21",1,21,"KS",21,"OK"
"Red-tailed Hawk","38-24","67-24",1,24,"KS",24,"OK"
"Carolina Wren","38-21","67-21",1,21,"KS",21,"OK"
"Black-and-white Warbler","38-24","67-24",1,24,"KS",24,"OK"
"Blue Grosbeak","38-24","67-24",1,24,"KS",24,"OK"
"Eastern Bluebird","38-24","67-24",1,24,"KS",24,"OK"
"Wild Turkey","38-24","67-24",1,24,"KS",24,"OK"
"Great Crested Flycatcher","38-21","67-21",1,21,"KS",21,"OK"
"Bell's Vireo","38-21","67-21",1,21,"KS",21,"OK"
"Prothonotary Warbler","38-21","67-21",1.03,21,"KS",21,"OK"
"Loggerhead Shrike","38-24","67-24",1,24,"KS",24,"OK"
"Sharp-shinned Hawk","38-24","67-24",2,24,"KS",24,"OK"
"Indigo Bunting","38-21","67-21",1,21,"KS",21,"OK"
"Bewick's Wren","38-21","67-21",1,21,"KS",21,"OK"
"Horned Lark","38-24","67-24",1,24,"KS",24,"OK"
"American Robin","38-21","67-21",1,21,"KS",21,"OK"
"Northern Bobwhite","38-21","67-21",1,21,"KS",21,"OK"
"Hairy Woodpecker","38-24","67-24",1,24,"KS",24,"OK"
"Red-eyed Vireo","38-21","67-21",1,21,"KS",21,"OK"
"Carolina Chickadee","38-21","67-21",1,21,"KS",21,"OK"
"Carolina Chickadee","38-24","67-24",1,24,"KS",24,"OK"
"Yellow-throated Vireo","38-24","67-24",2,24,"KS",24,"OK"
"Baltimore Oriole","38-24","67-24",1,24,"KS",24,"OK"
"Prothonotary Warbler","38-24","67-24",1,24,"KS",24,"OK"
"Common Yellowthroat","38-21","67-21",2,21,"KS",21,"OK"
"Summer Tanager","38-24","67-24",1,24,"KS",24,"OK"
"Prairie Warbler","38-24","67-24",0.51,24,"KS",24,"OK"
"Barn Owl","38-24","67-24",1,24,"KS",24,"OK"
"Henslow's Sparrow","38-24","67-24",1.54,24,"KS",24,"OK"
"Grasshopper Sparrow","38-24","67-24",1,24,"KS",24,"OK"
"Northern Parula","38-21","67-21",2,21,"KS",21,"OK"
"Common Nighthawk","38-21","67-21",1,21,"KS",21,"OK"
"Northern Cardinal","38-21","67-21",1,21,"KS",21,"OK"
"Blue-gray Gnatcatcher","38-24","67-24",1,24,"KS",24,"OK"
"Belted Kingfisher","38-21","67-21",1,21,"KS",21,"OK"
"Blue Jay","38-24","67-24",1,24,"KS",24,"OK"
"Blue Jay","38-21","67-21",1,21,"KS",21,"OK"
"Eastern Towhee","38-24","67-24",2,24,"KS",24,"OK"
"Kentucky Warbler","38-24","67-24",1,24,"KS",24,"OK"
"Tufted Titmouse","38-24","67-24",1,24,"KS",24,"OK"
"Tufted Titmouse","38-21","67-21",1,21,"KS",21,"OK"
"Yellow-billed Cuckoo","38-24","67-24",1,24,"KS",24,"OK"
"Broad-winged Hawk","38-24","67-24",1,24,"KS",24,"OK"
"Blue-gray Gnatcatcher","38-21","67-21",1,21,"KS",21,"OK"
"Downy Woodpecker","38-24","67-24",1,24,"KS",24,"OK"
