"Prov","cn","Aou","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
"11","Canyon Wren",7170,1327.95,1047.5,0.884288872226912,0,2865.7,0,3873.3,1330,1050,0,2870,0,3870,"BC"
"11","Clay-colored Sparrow",5610,7114321.18,7100475,0.156964406438575,5383888.2,8472231.8,5114961.85,9035807.825,7110000,7100000,5380000,8470000,5110000,9040000,"BC"
"11","Golden-crowned Kinglet",7480,48423771.02,48033819,0.134037630710529,41523218.2,55973780,37448127.425,62659247.075,48400000,4.8e+07,41500000,5.6e+07,37400000,62700000,"BC"
"11","Red-naped Sapsucker",4021,3305602.33,3240050,0.197784072908886,2546583.7,4366396.6,2234518.85,4685494.1,3310000,3240000,2550000,4370000,2230000,4690000,"BC"
"11","Yellow-rumped Warbler",6550,28153913.78,28358895,0.267185974088345,18490366.6,36668617.1,11587217.675,39321904.55,28200000,28400000,18500000,36700000,11600000,39300000,"BC"
"11","Nashville Warbler",6450,2723825.67,2595740.5,0.279842415457636,1913920.7,3806102.8,1462341.825,4450944.6,2720000,2600000,1910000,3810000,1460000,4450000,"BC"
"11","Red-breasted Nuthatch",7280,11673671.92,11439858,0.113370915329455,10162714.4,13725115.8,9544902.125,13990318.9,11700000,11400000,10200000,13700000,9540000,1.4e+07,"BC"
"11","Red-eyed Vireo",6240,12125372.54,12445164,0.196112254022043,8942649.6,14511530,7246719.275,17087609.775,12100000,12400000,8940000,14500000,7250000,17100000,"BC"
"11","Yellow-breasted Chat",6830,43770.69,38581.5,0.742007098355964,4368.2,85722.7,408.5,111235.925,43800,38600,4370,85700,409,111000,"BC"
"11","Northern Pygmy-Owl",3790,5295.93,4726.5,0.628041487055129,1915.6,10117.9,201.625,13146.65,5300,4730,1920,10100,202,13100,"BC"
"11","Turkey Vulture",3250,291253.98,279853.5,0.200621451922611,223031.3,374460.6,190804.625,407279.725,291000,280000,223000,374000,191000,407000,"BC"
"11","Varied Thrush",7630,12539902.42,12228615.5,0.199286635250964,9602769.8,15802171.3,8256624.425,17615737.05,12500000,12200000,9600000,15800000,8260000,17600000,"BC"
"11","LeConte's Sparrow",5480,98969.16,96024,0.41960263670191,51965.2,154774.3,34362.425,191731.425,99000,96000,52000,155000,34400,192000,"BC"
"11","Bewick's Wren",7190,615160.72,554898.5,0.547385470577687,209275.5,1101136.4,138944.85,1449857.675,615000,555000,209000,1100000,139000,1450000,"BC"
"11","Wild Turkey",3100,96520.06,94284,0.498513913886563,38331.2,163971.4,18007.6,196984.6,96500,94300,38300,164000,18000,197000,"BC"
"11","Swamp Sparrow",5840,172086.67,159667,0.495880810101156,71161.7,286324.7,44266.4,364344.2,172000,160000,71200,286000,44300,364000,"BC"
"11","American Tree Sparrow",5590,3023528.07,2968083.5,0.689575378653922,326665.2,5841284.8,0,7573897.59999999,3020000,2970000,327000,5840000,0,7570000,"BC"
"11","Pileated Woodpecker",4050,1790677.92,1804718.5,0.130114765875058,1487050.1,2072226.7,1394329.2,2221941.275,1790000,1800000,1490000,2070000,1390000,2220000,"BC"
"11","Brewer's Sparrow",5620,32363.34,29376.5,1.03662083656312,504.9,72255.2,0,100524.475,32400,29400,505,72300,0,101000,"BC"
"11","House Wren",7210,1416940.08,1413535.5,0.168173965388008,1143425.1,1725694.7,974967.775,1877425.5,1420000,1410000,1140000,1730000,975000,1880000,"BC"
"11","Mountain Bluebird",7680,1563065.92,1452797.5,0.316672333384289,1010018.4,2174209,767441.375,2636827.6,1560000,1450000,1010000,2170000,767000,2640000,"BC"
"11","Peregrine Falcon",3560,6934.34,6373,0.568704899413428,2484.7,11254.8,1397.575,15217.325,6930,6370,2480,11300,1400,15200,"BC"
"11","Cassin's Vireo",6291,5708613.55,5647375.5,0.148053632802991,4685771.4,6767102.1,4209955.725,7548475.25,5710000,5650000,4690000,6770000,4210000,7550000,"BC"
"11","White-crowned Sparrow",5540,9422422.8,9219040.5,0.331251728084419,5635147.1,14203930.1,4987783.8,15931814.275,9420000,9220000,5640000,14200000,4990000,15900000,"BC"
"11","Philadelphia Vireo",6260,272507.3,264124.5,0.476022267947341,145187.5,414505.9,90041.425,574741.275,273000,264000,145000,415000,90000,575000,"BC"
"11","Cooper's Hawk",3330,66871.16,62580,0.523077422763236,31818.9,102959.5,17780.775,176626,66900,62600,31800,103000,17800,177000,"BC"
"11","House Sparrow",6882,2860896.07,2662209,0.322678674937618,1830611.1,3958163.7,1648660.275,4972387.425,2860000,2660000,1830000,3960000,1650000,4970000,"BC"
"11","Evening Grosbeak",5140,2010572.49,1974753,0.288900254527034,1240031.4,2781526.7,1017966.45,3171487.125,2010000,1970000,1240000,2780000,1020000,3170000,"BC"
"11","Canada Jay",4840,4480283.95,4358221,0.2116061293462,3278668.1,5666132.6,2807076.35,6257406.75,4480000,4360000,3280000,5670000,2810000,6260000,"BC"
"11","Northwestern Crow",4890,313775.24,285638.5,0.382353135169959,181804.6,489471.8,150772.675,580634.775,314000,286000,182000,489000,151000,581000,"BC"
"11","Orange-crowned Warbler",6460,42069015.78,42007016.5,0.117292363802041,36340809.7,48094359.6,33431632.75,52113505.475,42100000,4.2e+07,36300000,48100000,33400000,52100000,"BC"
"11","White-throated Swift",4250,17695.49,16787,0.664501387499072,5428.2,33579.5,0,40418.925,17700,16800,5430,33600,0,40400,"BC"
"11","Townsend's Solitaire",7540,606407.92,596164,0.228645990385554,442649.6,780144.4,367005.55,872433.65,606000,596000,443000,780000,367000,872000,"BC"
