"x"
"Northern Flicker - Missing Polygon - 6-16"
"Northern Flicker - Missing Polygon - 14-15"
"Northern Flicker - Missing Polygon - 18-28"
"Northern Flicker - Missing Polygon - 33-9"
"Northern Flicker - Missing Polygon - 39-26"
"Northern Flicker - Missing Polygon - 57-7"
"Northern Flicker - Missing Polygon - 60-35"
"Northern Flicker - Missing Polygon - 55-33"
"Northern Flicker - Missing Polygon - 67-24"
"Northern Flicker - Missing Polygon - 85-16"
"Common Nighthawk - Missing Polygon - 18-28"
"Common Nighthawk - Missing Polygon - 35-23"
"Common Nighthawk - Missing Polygon - 39-26"
"Common Nighthawk - Missing Polygon - 58-30"
"Common Nighthawk - Missing Polygon - 59-29"
"Common Nighthawk - Missing Polygon - 57-7"
"Common Nighthawk - Missing Polygon - 55-33"
"Common Nighthawk - Missing Polygon - 72-29"
"Eastern Kingbird - Missing Polygon - 18-28"
"Eastern Kingbird - Missing Polygon - 39-26"
"Eastern Kingbird - Missing Polygon - 43-7"
"Eastern Kingbird - Missing Polygon - 93-4"
"Eastern Kingbird - Missing Polygon - 93-4"
"Eastern Phoebe - Missing Polygon - 18-28"
"Eastern Phoebe - Missing Polygon - 39-26"
"Eastern Phoebe - Missing Polygon - 54-18"
"Eastern Phoebe - Missing Polygon - 93-4"
"Eastern Phoebe - Missing Polygon - 93-4"
"Olive-sided Flycatcher - Missing Polygon - 3-2"
"Olive-sided Flycatcher - Missing Polygon - 3-3"
"Olive-sided Flycatcher - Missing Polygon - 6-16"
"Olive-sided Flycatcher - Missing Polygon - 18-28"
"Olive-sided Flycatcher - Missing Polygon - 58-30"
"Olive-sided Flycatcher - Missing Polygon - 55-33"
"Western Wood-Pewee - Missing Polygon - 55-33"
"Willow Flycatcher - Missing Polygon - 6-16"
"Willow Flycatcher - Missing Polygon - 18-28"
"Willow Flycatcher - Missing Polygon - 39-26"
"Willow Flycatcher - Missing Polygon - 54-18"
"Willow Flycatcher - Missing Polygon - 60-35"
"Willow Flycatcher - Missing Polygon - 55-33"
"Willow Flycatcher - Missing Polygon - 67-21"
"Willow Flycatcher - Missing Polygon - 67-24"
"Alder Flycatcher - Missing Polygon - 3-3"
