"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability","edr"
"Hermit Warbler",6690,7956206,8040417,6691471.4,9240246.9,6243459.95,9689332.425,7956206,8040417,6691471.4,9240246.9,6243459.95,9689332.425,7956206,8040417,6691471.4,9240246.9,6243459.95,9689332.425,7960000,8040000,6690000,9240000,6240000,9690000,7960000,8040000,6690000,9240000,6240000,9690000,7960000,8040000,6690000,9240000,6240000,9690000,2,2,2,2,2,TRUE,TRUE
"Kirtland's Warbler",6700,8373.07,7098,354.8,17210.2,0,20776.6,8373.07,7098,354.8,17210.2,0,20776.6,8373.07,7098,354.8,17210.2,0,20776.6,8370,7100,355,17200,0,20800,8370,7100,355,17200,0,20800,8370,7100,355,17200,0,20800,5,5,5,5,5,FALSE,FALSE
"Pine Warbler",6710,98664729.4491305,98434018.5358742,94492864.2091013,102591848.380714,92857655.0036447,103921546.105384,98664729.4491305,98434018.5358742,94492864.2091013,102591848.380714,92857655.0036447,103921546.105384,94747739.69,94526188,90741497.5,98518952,89171206.1,99795860.725,98700000,98400000,94500000,1.03e+08,92900000,1.04e+08,98700000,98400000,94500000,1.03e+08,92900000,1.04e+08,94700000,94500000,90700000,98500000,89200000,99800000,1,1,1,1,1,TRUE,TRUE
"Palm Warbler",6720,19108053.27,18673871,14859515.2,24764845.7,12659684.35,26880228.525,19108053.27,18673871,14859515.2,24764845.7,12659684.35,26880228.525,19108053.27,18673871,14859515.2,24764845.7,12659684.35,26880228.525,19100000,18700000,14900000,24800000,12700000,26900000,19100000,18700000,14900000,24800000,12700000,26900000,19100000,18700000,14900000,24800000,12700000,26900000,2,2,2,2,2,TRUE,TRUE
"Prairie Warbler",6730,25654255.63,25589472.5,24080997.5,27335806.3,23472753.575,27902571.3,25654255.63,25589472.5,24080997.5,27335806.3,23472753.575,27902571.3,25654255.63,25589472.5,24080997.5,27335806.3,23472753.575,27902571.3,25700000,25600000,24100000,27300000,23500000,27900000,25700000,25600000,24100000,27300000,23500000,27900000,25700000,25600000,24100000,27300000,23500000,27900000,2,2,2,2,2,TRUE,TRUE
"Ovenbird",6740,119758930.87,120455824.5,113792798.3,124007201.3,110969052.975,126547311.675,119758930.87,120455824.5,113792798.3,124007201.3,110969052.975,126547311.675,119758930.87,120455824.5,113792798.3,124007201.3,110969052.975,126547311.675,1.2e+08,1.2e+08,1.14e+08,1.24e+08,1.11e+08,1.27e+08,1.2e+08,1.2e+08,1.14e+08,1.24e+08,1.11e+08,1.27e+08,1.2e+08,1.2e+08,1.14e+08,1.24e+08,1.11e+08,1.27e+08,1,1,1,1,1,TRUE,TRUE
"Northern Waterthrush",6750,84175889.81,83482272,77879617.5,90945918.5,73746547.925,93043047.8,84175889.81,83482272,77879617.5,90945918.5,73746547.925,93043047.8,84175889.81,83482272,77879617.5,90945918.5,73746547.925,93043047.8,84200000,83500000,77900000,90900000,73700000,9.3e+07,84200000,83500000,77900000,90900000,73700000,9.3e+07,84200000,83500000,77900000,90900000,73700000,9.3e+07,1,1,1,1,1,TRUE,TRUE
"Louisiana Waterthrush",6760,9478239.1,9480640,8812386.6,10074196.7,8430473.775,10460828.65,9478239.1,9480640,8812386.6,10074196.7,8430473.775,10460828.65,9478239.1,9480640,8812386.6,10074196.7,8430473.775,10460828.65,9480000,9480000,8810000,10100000,8430000,10500000,9480000,9480000,8810000,10100000,8430000,10500000,9480000,9480000,8810000,10100000,8430000,10500000,2,2,2,2,2,TRUE,TRUE
"Kentucky Warbler",6770,14649304.43,14513707.5,13882121.1,15590826.2,13256293.3,16258221.8,14649304.43,14513707.5,13882121.1,15590826.2,13256293.3,16258221.8,14649304.43,14513707.5,13882121.1,15590826.2,13256293.3,16258221.8,14600000,14500000,13900000,15600000,13300000,16300000,14600000,14500000,13900000,15600000,13300000,16300000,14600000,14500000,13900000,15600000,13300000,16300000,2,2,2,2,2,TRUE,TRUE
"Connecticut Warbler",6780,1990508.9,1977196.5,1606422.7,2425260.4,1381354.175,2754459.675,1990508.9,1977196.5,1606422.7,2425260.4,1381354.175,2754459.675,1990508.9,1977196.5,1606422.7,2425260.4,1381354.175,2754459.675,1990000,1980000,1610000,2430000,1380000,2750000,1990000,1980000,1610000,2430000,1380000,2750000,1990000,1980000,1610000,2430000,1380000,2750000,3,3,3,3,3,TRUE,TRUE
"Mourning Warbler",6790,30782407.37,30342302,27794045.7,34170405.7,26196262.85,36166890.725,30782407.37,30342302,27794045.7,34170405.7,26196262.85,36166890.725,30782407.37,30342302,27794045.7,34170405.7,26196262.85,36166890.725,30800000,30300000,27800000,34200000,26200000,36200000,30800000,30300000,27800000,34200000,26200000,36200000,30800000,30300000,27800000,34200000,26200000,36200000,2,2,2,2,2,TRUE,TRUE
"MacGillivray's Warbler",6800,42507963.137096,42030096.7676563,38646612.72672,46433154.2202858,36912466.2326477,50194879.7750532,42507963.137096,42030096.7676563,38646612.72672,46433154.2202858,36912466.2326477,50194879.7750532,41951108.82,41479502.5,38140342.1,45824879.9,36428912.925,49537326.85,42500000,4.2e+07,38600000,46400000,36900000,50200000,42500000,4.2e+07,38600000,46400000,36900000,50200000,4.2e+07,41500000,38100000,45800000,36400000,49500000,2,2,2,2,1,TRUE,TRUE
"Common Yellowthroat",6810,238779943.420498,238586552.087727,232140243.568115,245420040.172923,229210505.298397,249168121.968579,238779943.420498,238586552.087727,232140243.568115,245420040.172923,229210505.298397,249168121.968579,226458898.34,226275486,220161807,232756366.1,217383243.225,236311046.875,2.39e+08,2.39e+08,2.32e+08,2.45e+08,2.29e+08,2.49e+08,2.39e+08,2.39e+08,2.32e+08,2.45e+08,2.29e+08,2.49e+08,2.26e+08,2.26e+08,2.2e+08,2.33e+08,2.17e+08,2.36e+08,1,1,1,1,1,TRUE,TRUE
"Yellow-breasted Chat",6830,78801969.8928295,78665163.5178433,75505659.3746547,81603810.8496299,74245930.5325378,83945450.9722683,78801969.8928295,78665163.5178433,75505659.3746547,81603810.8496299,74245930.5325378,83945450.9722683,71323662.95,71199839.5,68340172.3,73859609.2,67199991.725,75979027.675,78800000,78700000,75500000,81600000,74200000,83900000,78800000,78700000,75500000,81600000,74200000,83900000,71300000,71200000,68300000,73900000,67200000,7.6e+07,1,1,1,1,1,TRUE,TRUE
"Hooded Warbler",6840,50280117.42,50268787.5,47448528.4,52844534.2,45539352.875,55041581.275,50280117.42,50268787.5,47448528.4,52844534.2,45539352.875,55041581.275,50280117.42,50268787.5,47448528.4,52844534.2,45539352.875,55041581.275,50300000,50300000,47400000,52800000,45500000,5.5e+07,50300000,50300000,47400000,52800000,45500000,5.5e+07,50300000,50300000,47400000,52800000,45500000,5.5e+07,1,2,1,2,1,TRUE,TRUE
"Wilson's Warbler",6850,330145047.14,332535625.5,276079844.5,381796945.5,254318068.2,402904340.4,330145047.14,332535625.5,276079844.5,381796945.5,254318068.2,402904340.4,330145047.14,332535625.5,276079844.5,381796945.5,254318068.2,402904340.4,3.3e+08,3.33e+08,2.76e+08,3.82e+08,2.54e+08,4.03e+08,3.3e+08,3.33e+08,2.76e+08,3.82e+08,2.54e+08,4.03e+08,3.3e+08,3.33e+08,2.76e+08,3.82e+08,2.54e+08,4.03e+08,1,1,1,1,1,TRUE,TRUE
"Canada Warbler",6860,9315985.45,9303163,8197775.6,10556922.6,7898124.425,11033127.55,9315985.45,9303163,8197775.6,10556922.6,7898124.425,11033127.55,9315985.45,9303163,8197775.6,10556922.6,7898124.425,11033127.55,9320000,9300000,8200000,10600000,7900000,1.1e+07,9320000,9300000,8200000,10600000,7900000,1.1e+07,9320000,9300000,8200000,10600000,7900000,1.1e+07,2,2,2,2,2,TRUE,TRUE
"American Redstart",6870,134642476.74,134952257,127048275.1,142411131.7,125055880.4,145660882.125,134642476.74,134952257,127048275.1,142411131.7,125055880.4,145660882.125,134642476.74,134952257,127048275.1,142411131.7,125055880.4,145660882.125,1.35e+08,1.35e+08,1.27e+08,1.42e+08,1.25e+08,1.46e+08,1.35e+08,1.35e+08,1.27e+08,1.42e+08,1.25e+08,1.46e+08,1.35e+08,1.35e+08,1.27e+08,1.42e+08,1.25e+08,1.46e+08,1,1,1,1,1,TRUE,TRUE
"Painted Redstart",6880,605557.312072893,597974.943052392,356398.633257403,913814.123006834,272000.683371298,1021481.77676538,605557.312072893,597974.943052392,356398.633257403,913814.123006834,272000.683371298,1021481.77676538,132919.83,131255.5,78229.5,200582.2,59704.15,224215.25,606000,598000,356000,914000,272000,1020000,606000,598000,356000,914000,272000,1020000,133000,131000,78200,201000,59700,224000,3,4,3,4,3,FALSE,FALSE
"House Sparrow",6882,1471122649.80106,1458073236.07427,1397447189.65517,1561657491.37931,1340416825.59682,1589094438.82626,441307530.515218,437392965.983688,419206358.066441,468466182.017108,402098383.330018,476696720.459519,221845295.59,219877444,210735036.2,235497949.7,202134857.3,239635441.375,1.47e+09,1.46e+09,1.4e+09,1.56e+09,1.34e+09,1.59e+09,4.41e+08,4.37e+08,4.19e+08,4.68e+08,4.02e+08,4.77e+08,2.22e+08,2.2e+08,2.11e+08,2.35e+08,2.02e+08,2.4e+08,1,1,1,1,1,TRUE,TRUE
"Eurasian Tree Sparrow",6883,243757720,240333500,171031000,327817600,139210700,356877375,243757.72,240333.5,171031,327817.6,139210.7,356877.375,243757.72,240333.5,171031,327817.6,139210.7,356877.375,2.44e+08,2.4e+08,1.71e+08,3.28e+08,1.39e+08,3.57e+08,244000,240000,171000,328000,139000,357000,244000,240000,171000,328000,139000,357000,1,1,1,1,1,FALSE,FALSE
"Red-faced Warbler",6900,3979139.64562569,3931369.04761905,1798164.45182724,6226899.2248062,1192424.76467331,6974431.27076412,3979139.64562569,3931369.04761905,1798164.45182724,6226899.2248062,1192424.76467331,6974431.27076412,1437265.24,1420010.5,649497,2249156,430703.825,2519164.575,3980000,3930000,1800000,6230000,1190000,6970000,3980000,3930000,1800000,6230000,1190000,6970000,1440000,1420000,649000,2250000,431000,2520000,3,3,2,3,2,TRUE,TRUE
"American Pipit",6970,16083913.139173,15482985.2156514,9689346.37616719,22669070.0311249,8038684.66540685,29148988.8283682,14476326.4232116,13935461.2306153,8720896.44822411,20403297.0485243,7235218.33416708,26235548.124062,14469088.26,13928493.5,8716536,20393095.4,7231600.725,26222430.35,16100000,15500000,9690000,22700000,8040000,29100000,14500000,13900000,8720000,20400000,7240000,26200000,14500000,13900000,8720000,20400000,7230000,26200000,2,2,2,2,2,TRUE,TRUE
"Sprague's Pipit",7000,1573336.01,1551418.5,1293657.1,1838615.4,1147289.575,2041535.425,1573336.01,1551418.5,1293657.1,1838615.4,1147289.575,2041535.425,1573336.01,1551418.5,1293657.1,1838615.4,1147289.575,2041535.425,1570000,1550000,1290000,1840000,1150000,2040000,1570000,1550000,1290000,1840000,1150000,2040000,1570000,1550000,1290000,1840000,1150000,2040000,3,3,3,3,3,TRUE,TRUE
"American Dipper",7010,2594896.73913044,2546163.15004263,2023163.89599318,3193567.02898551,1829413.41645354,3764244.40537084,2594896.73913044,2546163.15004263,2023163.89599318,3193567.02898551,1829413.41645354,3764244.40537084,2435051.1,2389319.5,1898537,2996843.3,1716721.55,3532366.95,2590000,2550000,2020000,3190000,1830000,3760000,2590000,2550000,2020000,3190000,1830000,3760000,2440000,2390000,1900000,3e+06,1720000,3530000,3,3,3,3,3,TRUE,TRUE
"Sage Thrasher",7020,5711263.55,5763277,4919443.6,6450662.2,4656267.725,6640280.425,5711263.55,5763277,4919443.6,6450662.2,4656267.725,6640280.425,5711263.55,5763277,4919443.6,6450662.2,4656267.725,6640280.425,5710000,5760000,4920000,6450000,4660000,6640000,5710000,5760000,4920000,6450000,4660000,6640000,5710000,5760000,4920000,6450000,4660000,6640000,2,3,2,3,2,TRUE,TRUE
"Northern Mockingbird",7030,85554863.3429672,85367118.256262,82920843.0876686,88305336.3439306,81563840.378131,90267557.2615607,85554863.3429672,85367118.256262,82920843.0876686,88305336.3439306,81563840.378131,90267557.2615607,71044758.52,70888855,68857468.1,73328751.3,67730613.05,74958179.55,85600000,85400000,82900000,88300000,81600000,90300000,85600000,85400000,82900000,88300000,81600000,90300000,7.1e+07,70900000,68900000,73300000,67700000,7.5e+07,1,1,1,1,1,TRUE,TRUE
"Gray Catbird",7040,122544245.29,122780202,119242680.5,125468742.2,117088840.65,127765989.8,122544245.29,122780202,119242680.5,125468742.2,117088840.65,127765989.8,122544245.29,122780202,119242680.5,125468742.2,117088840.65,127765989.8,1.23e+08,1.23e+08,1.19e+08,1.25e+08,1.17e+08,1.28e+08,1.23e+08,1.23e+08,1.19e+08,1.25e+08,1.17e+08,1.28e+08,1.23e+08,1.23e+08,1.19e+08,1.25e+08,1.17e+08,1.28e+08,1,1,1,1,1,TRUE,TRUE
"Brown Thrasher",7050,37950788.96,37897398.5,36777447.4,38910118,36439867.85,39722335.05,37950788.96,37897398.5,36777447.4,38910118,36439867.85,39722335.05,37950788.96,37897398.5,36777447.4,38910118,36439867.85,39722335.05,3.8e+07,37900000,36800000,38900000,36400000,39700000,3.8e+07,37900000,36800000,38900000,36400000,39700000,3.8e+07,37900000,36800000,38900000,36400000,39700000,2,2,2,2,2,TRUE,TRUE
"Long-billed Thrasher",7060,270142.591444513,261587.104773714,192213.88716677,359142.901425914,159264.801611903,406606.633601984,270142.591444513,261587.104773714,192213.88716677,359142.901425914,159264.801611903,406606.633601984,87148,84388,62008.2,115859.5,51378.825,131171.3,270000,262000,192000,359000,159000,407000,270000,262000,192000,359000,159000,407000,87100,84400,62000,116000,51400,131000,4,4,4,4,4,FALSE,FALSE
"Curve-billed Thrasher",7070,7541660.32714167,7091531.74383144,5803441.64125312,9471851.67729415,4787520.09980593,15066062.1014694,7541660.32714167,7091531.74383144,5803441.64125312,9471851.67729415,4787520.09980593,15066062.1014694,2720276.88,2557915.5,2093301.4,3416496.9,1726858.5,5434328.6,7540000,7090000,5800000,9470000,4790000,15100000,7540000,7090000,5800000,9470000,4790000,15100000,2720000,2560000,2090000,3420000,1730000,5430000,2,2,2,3,2,TRUE,TRUE
"Bendire's Thrasher",7080,64305.7652120467,60708.6662569146,42719.114935464,87579.1026429011,37204.7940995698,101796.865396435,64305.7652120467,60708.6662569146,42719.114935464,87579.1026429011,37204.7940995698,101796.865396435,52312.74,49386.5,34752,71245.6,30266.1,82811.75,64300,60700,42700,87600,37200,102000,64300,60700,42700,87600,37200,102000,52300,49400,34800,71200,30300,82800,4,5,4,5,4,FALSE,FALSE
"California Thrasher",7100,155278.144690782,148262.543757293,92619.3698949825,218661.726954492,66778.8506417736,318636.231038506,155278.144690782,148262.543757293,92619.3698949825,218661.726954492,66778.8506417736,318636.231038506,133073.37,127061,79374.8,187393.1,57229.475,273071.25,155000,148000,92600,219000,66800,319000,155000,148000,92600,219000,66800,319000,133000,127000,79400,187000,57200,273000,4,4,4,4,4,FALSE,TRUE
"LeConte's Thrasher",7110,45160.5269761606,41353.8268506901,23304.391468005,70946.0476787955,17219.6675031368,88165.9974905896,45160.5269761606,41353.8268506901,23304.391468005,70946.0476787955,17219.6675031368,88165.9974905896,35992.94,32959,18573.6,56544,13724.075,70268.2999999999,45200,41400,23300,70900,17200,88200,45200,41400,23300,70900,17200,88200,36000,33000,18600,56500,13700,70300,5,5,4,5,4,FALSE,FALSE
"Crissal Thrasher",7120,519397.00025208,526919.586589362,407476.934711369,620264.431560373,321615.767582556,702933.766070078,519397.00025208,526919.586589362,407476.934711369,620264.431560373,321615.767582556,702933.766070078,206044.79,209029,161646.1,246058.9,127584.975,278853.825,519000,527000,407000,620000,322000,703000,519000,527000,407000,620000,322000,703000,206000,209000,162000,246000,128000,279000,3,4,3,4,3,TRUE,TRUE
"Cactus Wren",7130,9584507.64899108,9638454.95072736,7907842.32754575,11052427.9680901,7319813.29188174,12081619.4274988,9584507.64899108,9638454.95072736,7907842.32754575,11052427.9680901,7319813.29188174,12081619.4274988,4084917.16,4107909.5,3370322.4,4710544.8,3119704.425,5149186.2,9580000,9640000,7910000,11100000,7320000,12100000,9580000,9640000,7910000,11100000,7320000,12100000,4080000,4110000,3370000,4710000,3120000,5150000,2,2,2,2,2,TRUE,TRUE
"Rock Wren",7150,5401683.62604702,5377087.27370981,4951374.89867603,5958199.67576331,4659282.62631721,6219183.70035126,5401683.62604702,5377087.27370981,4951374.89867603,5958199.67576331,4659282.62631721,6219183.70035126,3998326.22,3980120,3665007.7,4410259.4,3448801,4603439.775,5400000,5380000,4950000,5960000,4660000,6220000,5400000,5380000,4950000,5960000,4660000,6220000,4e+06,3980000,3670000,4410000,3450000,4600000,2,3,2,3,2,TRUE,TRUE
"Canyon Wren",7170,486478.538745388,491293.726937269,412832.029520295,559514.538745387,370729.963099631,585897.822878229,486478.538745388,491293.726937269,412832.029520295,559514.538745387,370729.963099631,585897.822878229,329589.21,332851.5,279693.7,379071.1,251169.55,396945.775,486000,491000,413000,560000,371000,586000,486000,491000,413000,560000,371000,586000,330000,333000,280000,379000,251000,397000,4,4,3,4,3,TRUE,TRUE
"Carolina Wren",7180,201524154.55157,201975253.923767,195046931.61435,207001756.165919,190977515.134529,209711293.133408,201524154.55157,201975253.923767,195046931.61435,207001756.165919,190977515.134529,209711293.133408,179759545.86,180161926.5,173981863,184645566.5,170351943.5,187062473.475,2.02e+08,2.02e+08,1.95e+08,2.07e+08,1.91e+08,2.1e+08,2.02e+08,2.02e+08,1.95e+08,2.07e+08,1.91e+08,2.1e+08,1.8e+08,1.8e+08,1.74e+08,1.85e+08,1.7e+08,1.87e+08,1,1,1,1,1,TRUE,TRUE
"Bewick's Wren",7190,40321978.3107258,40188121.9409873,37270213.2568872,43176472.101804,35321189.8685499,45147216.0187386,40321978.3107258,40188121.9409873,37270213.2568872,43176472.101804,35321189.8685499,45147216.0187386,28834246.69,28738526,26651929.5,30875495.2,25258182.875,32284774.175,40300000,40200000,37300000,43200000,35300000,45100000,40300000,40200000,37300000,43200000,35300000,45100000,28800000,28700000,26700000,30900000,25300000,32300000,2,2,2,2,2,TRUE,TRUE
"House Wren",7210,354745286.543438,354636229.205176,341621663.216266,366461609.981516,335912771.072089,374528353.327172,354745286.543438,354636229.205176,341621663.216266,366461609.981516,335912771.072089,374528353.327172,95958600.01,95929100,92408659.9,99127865.5,90864404.575,101309919.575,3.55e+08,3.55e+08,3.42e+08,3.66e+08,3.36e+08,3.75e+08,3.55e+08,3.55e+08,3.42e+08,3.66e+08,3.36e+08,3.75e+08,9.6e+07,95900000,92400000,99100000,90900000,1.01e+08,1,1,1,1,1,TRUE,TRUE
"Pacific Wren",7221,49462288.55,49655830,41403773.6,58642133.1,38006376.625,60914308.85,49462288.55,49655830,41403773.6,58642133.1,38006376.625,60914308.85,49462288.55,49655830,41403773.6,58642133.1,38006376.625,60914308.85,49500000,49700000,41400000,58600000,3.8e+07,60900000,49500000,49700000,41400000,58600000,3.8e+07,60900000,49500000,49700000,41400000,58600000,3.8e+07,60900000,2,2,1,2,1,TRUE,TRUE
"Winter Wren",7222,24216352.63,24303147.5,22068646.1,26207728.5,20852565.25,26724744.675,24216352.63,24303147.5,22068646.1,26207728.5,20852565.25,26724744.675,24216352.63,24303147.5,22068646.1,26207728.5,20852565.25,26724744.675,24200000,24300000,22100000,26200000,20900000,26700000,24200000,24300000,22100000,26200000,20900000,26700000,24200000,24300000,22100000,26200000,20900000,26700000,2,2,2,2,2,TRUE,TRUE
"Sedge Wren",7240,34399547.027972,34322256.993007,31615085.6643357,37360504.5454546,29370169.7552448,39690580.3321678,34399547.027972,34322256.993007,31615085.6643357,37360504.5454546,29370169.7552448,39690580.3321678,9838270.45,9816165.5,9041914.5,10685104.3,8399868.55,11351505.975,34400000,34300000,31600000,37400000,29400000,39700000,34400000,34300000,31600000,37400000,29400000,39700000,9840000,9820000,9040000,10700000,8400000,11400000,2,2,2,2,2,TRUE,TRUE
"Marsh Wren",7250,20972428.2354129,21077242.0755098,17142319.6042802,24825107.5105996,15977360.7157278,26089531.0922673,20972428.2354129,21077242.0755098,17142319.6042802,24825107.5105996,15977360.7157278,26089531.0922673,20775287.41,20879116,16981181.8,24591751.5,15827173.525,25844289.5,2.1e+07,21100000,17100000,24800000,1.6e+07,26100000,2.1e+07,21100000,17100000,24800000,1.6e+07,26100000,20800000,20900000,1.7e+07,24600000,15800000,25800000,2,2,2,2,2,TRUE,TRUE
"Brown Creeper",7260,28004942.5832048,28032392.5501433,26103585.6292704,29881976.9671589,25323474.5702006,30653004.7939167,28004942.5832048,28032392.5501433,26103585.6292704,29881976.9671589,25323474.5702006,30653004.7939167,25411684.9,25436593,23686393.6,27114905.9,22978520.825,27814536.55,2.8e+07,2.8e+07,26100000,29900000,25300000,30700000,2.8e+07,2.8e+07,26100000,29900000,25300000,30700000,25400000,25400000,23700000,27100000,2.3e+07,27800000,2,2,2,2,2,TRUE,TRUE
"White-breasted Nuthatch",7270,66346520.1218162,66237469.5459579,63814763.8981174,68954449.5016611,62710759.606866,70565016.3621262,66346520.1218162,66237469.5459579,63814763.8981174,68954449.5016611,62710759.606866,70565016.3621262,59910907.67,59812435,57624731.8,62265867.9,56627815.925,63720209.775,66300000,66200000,63800000,6.9e+07,62700000,70600000,66300000,66200000,63800000,6.9e+07,62700000,70600000,59900000,59800000,57600000,62300000,56600000,63700000,1,1,1,1,1,TRUE,TRUE
"Red-breasted Nuthatch",7280,56761725.43,56686507,53999867.1,59805054.8,52350751.375,60561348.6,56761725.43,56686507,53999867.1,59805054.8,52350751.375,60561348.6,56761725.43,56686507,53999867.1,59805054.8,52350751.375,60561348.6,56800000,56700000,5.4e+07,59800000,52400000,60600000,56800000,56700000,5.4e+07,59800000,52400000,60600000,56800000,56700000,5.4e+07,59800000,52400000,60600000,1,1,1,1,1,TRUE,TRUE
"Brown-headed Nuthatch",7290,28988626.8021626,29055865.0380457,26862853.9247097,30807020.82499,26208868.0917101,31893683.8456147,28988626.8021626,29055865.0380457,26862853.9247097,30807020.82499,26208868.0917101,31893683.8456147,28953840.45,29020998,26830618.5,30770052.4,26177417.45,31855411.425,2.9e+07,29100000,26900000,30800000,26200000,31900000,2.9e+07,29100000,26900000,30800000,26200000,31900000,2.9e+07,2.9e+07,26800000,30800000,26200000,31900000,2,2,2,2,2,TRUE,TRUE
"Pygmy Nuthatch",7300,18090365.3187795,17782126.6435128,14426371.6199454,21669569.0895559,13562953.5164971,24035505.8608286,18090365.3187795,17782126.6435128,14426371.6199454,21669569.0895559,13562953.5164971,24035505.8608286,14584452.52,14335950.5,11630540.8,17470006.6,10934453.125,19377424.825,18100000,17800000,14400000,21700000,13600000,2.4e+07,18100000,17800000,14400000,21700000,13600000,2.4e+07,14600000,14300000,11600000,17500000,10900000,19400000,2,2,2,2,2,TRUE,TRUE
"Tufted Titmouse",7310,148729880.08,148964194,144965006.8,152270632.7,141869801.675,154305227.85,148729880.08,148964194,144965006.8,152270632.7,141869801.675,154305227.85,148729880.08,148964194,144965006.8,152270632.7,141869801.675,154305227.85,1.49e+08,1.49e+08,1.45e+08,1.52e+08,1.42e+08,1.54e+08,1.49e+08,1.49e+08,1.45e+08,1.52e+08,1.42e+08,1.54e+08,1.49e+08,1.49e+08,1.45e+08,1.52e+08,1.42e+08,1.54e+08,1,1,1,1,1,TRUE,TRUE
"Black-crested Titmouse",7320,4335502.97880466,4394550.31506588,3592690.08974604,5165548.40557571,3270255.82394501,5497511.456941,4335502.97880466,4394550.31506588,3592690.08974604,5165548.40557571,3270255.82394501,5497511.456941,2270502.91,2301426,1881491.8,2705197.7,1712632.975,2879046.75,4340000,4390000,3590000,5170000,3270000,5500000,4340000,4390000,3590000,5170000,3270000,5500000,2270000,2300000,1880000,2710000,1710000,2880000,3,3,2,3,2,TRUE,TRUE
"Oak Titmouse",7330,10295489.8882745,10125377.4968965,8376686.8299289,12418230.3351766,7667378.20223451,13654312.8032953,10295489.8882745,10125377.4968965,8376686.8299289,12418230.3351766,7667378.20223451,13654312.8032953,9122833.59,8972097,7422582.2,11003793.9,6794063.825,12099086.575,10300000,10100000,8380000,12400000,7670000,13700000,10300000,10100000,8380000,12400000,7670000,13700000,9120000,8970000,7420000,1.1e+07,6790000,12100000,2,2,2,2,2,TRUE,TRUE
"Juniper Titmouse",7331,2820370.51953282,2788312.02174789,2376930.93032622,3315534.93757551,2195962.21808296,3554902.46173983,2820370.51953282,2788312.02174789,2376930.93032622,3315534.93757551,2195962.21808296,3554902.46173983,2801192,2769351.5,2360767.8,3292989.3,2181029.675,3530729.125,2820000,2790000,2380000,3320000,2200000,3550000,2820000,2790000,2380000,3320000,2200000,3550000,2800000,2770000,2360000,3290000,2180000,3530000,3,3,3,3,3,TRUE,TRUE
"Bridled Titmouse",7340,437071.994025392,425548.917102315,221675.130694548,681874.533233757,172983.009708738,809198.282300224,437071.994025392,425548.917102315,221675.130694548,681874.533233757,172983.009708738,809198.282300224,58523.94,56981,29682.3,91303,23162.425,108351.65,437000,426000,222000,682000,173000,809000,437000,426000,222000,682000,173000,809000,58500,57000,29700,91300,23200,108000,4,4,3,4,3,FALSE,FALSE
"Black-capped Chickadee",7350,169099535.85,169497805.5,163424656.7,174406615.7,159907573.475,177457637.15,169099535.85,169497805.5,163424656.7,174406615.7,159907573.475,177457637.15,169099535.85,169497805.5,163424656.7,174406615.7,159907573.475,177457637.15,1.69e+08,1.69e+08,1.63e+08,1.74e+08,1.6e+08,1.77e+08,1.69e+08,1.69e+08,1.63e+08,1.74e+08,1.6e+08,1.77e+08,1.69e+08,1.69e+08,1.63e+08,1.74e+08,1.6e+08,1.77e+08,1,1,1,1,1,TRUE,TRUE
"Carolina Chickadee",7360,175344180.88,175314970,168769460.7,181551673.2,166265637.325,185469296.875,175344180.88,175314970,168769460.7,181551673.2,166265637.325,185469296.875,175344180.88,175314970,168769460.7,181551673.2,166265637.325,185469296.875,1.75e+08,1.75e+08,1.69e+08,1.82e+08,1.66e+08,1.85e+08,1.75e+08,1.75e+08,1.69e+08,1.82e+08,1.66e+08,1.85e+08,1.75e+08,1.75e+08,1.69e+08,1.82e+08,1.66e+08,1.85e+08,1,1,1,1,1,TRUE,TRUE
"Mountain Chickadee",7380,27147672.66,27171311.5,24849939.2,29351525.8,23714043.875,30756918.55,27147672.66,27171311.5,24849939.2,29351525.8,23714043.875,30756918.55,27147672.66,27171311.5,24849939.2,29351525.8,23714043.875,30756918.55,27100000,27200000,24800000,29400000,23700000,30800000,27100000,27200000,24800000,29400000,23700000,30800000,27100000,27200000,24800000,29400000,23700000,30800000,2,2,2,2,2,TRUE,TRUE
