"cn","Aou","GL.mean.PopEst","GL.med.PopEst","GL.80LCI.PopEst","GL.80UCI.PopEst","GL.95LCI.PopEst","GL.95UCI.PopEst","WH.mean.PopEst","WH.med.PopEst","WH.80LCI.PopEst","WH.80UCI.PopEst","WH.95LCI.PopEst","WH.95UCI.PopEst","USCAN.mean.PopEst","USCAN.med.PopEst","USCAN.80LCI.PopEst","USCAN.80UCI.PopEst","USCAN.95LCI.PopEst","USCAN.95UCI.PopEst","rounded.GL.mean.PopEst","rounded.GL.med.PopEst","rounded.GL.80LCI.PopEst","rounded.GL.80UCI.PopEst","rounded.GL.95LCI.PopEst","rounded.GL.95UCI.PopEst","rounded.WH.mean.PopEst","rounded.WH.med.PopEst","rounded.WH.80LCI.PopEst","rounded.WH.80UCI.PopEst","rounded.WH.95LCI.PopEst","rounded.WH.95UCI.PopEst","rounded.USCAN.mean.PopEst","rounded.USCAN.med.PopEst","rounded.USCAN.80LCI.PopEst","rounded.USCAN.80UCI.PopEst","rounded.USCAN.95LCI.PopEst","rounded.USCAN.95UCI.PopEst","PS.Score","PS.80LCI.Score","PS.80UCI.Score","PS.95LCI.Score","PS.95UCI.Score","availability","edr"
"Cassin's Vireo",6291,13587519.6602674,13610994.0697558,12524505.7794753,14706936.7775656,11642360.438235,15256234.9984923,13587519.6602674,13610994.0697558,12524505.7794753,14706936.7775656,11642360.438235,15256234.9984923,13518223.31,13541578,12460630.8,14631931.4,11582984.4,15178428.2,13600000,13600000,12500000,14700000,11600000,15300000,13600000,13600000,12500000,14700000,11600000,15300000,13500000,13500000,12500000,14600000,11600000,15200000,2,2,2,2,2,TRUE,TRUE
"Plumbeous Vireo",6292,8410677.76556273,8287881.68201182,7025963.30905593,10224526.3157895,5954493.19774632,10986239.2469424,8410677.76556273,8287881.68201182,7025963.30905593,10224526.3157895,5954493.19774632,10986239.2469424,6120450.21,6031091.5,5112793.5,7440387.8,4333084.7,7994686.3,8410000,8290000,7030000,10200000,5950000,1.1e+07,8410000,8290000,7030000,10200000,5950000,1.1e+07,6120000,6030000,5110000,7440000,4330000,7990000,2,2,2,2,2,TRUE,TRUE
"Black-capped Vireo",6300,296622.70765206,292283.845650752,136168.083714846,456855.591890124,91460.6278613473,567349.803793329,296622.70765206,292283.845650752,136168.083714846,456855.591890124,91460.6278613473,567349.803793329,226768.06,223451,104100.5,349266.1,69921.65,433738.925,297000,292000,136000,457000,91500,567000,297000,292000,136000,457000,91500,567000,227000,223000,104000,349000,69900,434000,4,4,4,4,3,FALSE,FALSE
"White-eyed Vireo",6310,156733118.648649,156392615.675676,150950443.783784,162255716,149882066.540541,164397302.540541,156733118.648649,156392615.675676,150950443.783784,162255716,149882066.540541,164397302.540541,144978134.75,144663169.5,139629160.5,150086537.3,138640911.55,152067504.85,1.57e+08,1.56e+08,1.51e+08,1.62e+08,1.5e+08,1.64e+08,1.57e+08,1.56e+08,1.51e+08,1.62e+08,1.5e+08,1.64e+08,1.45e+08,1.45e+08,1.4e+08,1.5e+08,1.39e+08,1.52e+08,1,1,1,1,1,TRUE,TRUE
"Hutton's Vireo",6320,9283988.89759666,9253405.17241379,7985372.25705329,10795236.415883,7375688.34900732,11469984.6525601,9283988.89759666,9253405.17241379,7985372.25705329,10795236.415883,7375688.34900732,11469984.6525601,3553910.95,3542203.5,3056800.5,4132416.5,2823413.5,4390710.125,9280000,9250000,7990000,10800000,7380000,11500000,9280000,9250000,7990000,10800000,7380000,11500000,3550000,3540000,3060000,4130000,2820000,4390000,2,2,2,2,2,TRUE,TRUE
"Bell's Vireo",6330,10338019.0605943,10189377.1895679,9178844.55689633,11766255.4820293,8694214.54521863,12471991.0471,10338019.0605943,10189377.1895679,9178844.55689633,11766255.4820293,8694214.54521863,12471991.0471,7967511.29,7852953,7074135.5,9068253.1,6700631.15,9612163.5,10300000,10200000,9180000,11800000,8690000,12500000,10300000,10200000,9180000,11800000,8690000,12500000,7970000,7850000,7070000,9070000,6700000,9610000,2,2,2,2,2,TRUE,TRUE
"Gray Vireo",6340,1315696.10257454,1305254.40113972,1006737.76330518,1637218.07265697,871463.722397476,1742111.35137885,1315696.10257454,1305254.40113972,1006737.76330518,1637218.07265697,871463.722397476,1742111.35137885,1292934.56,1282673.5,989321.2,1608894.2,856387.4,1711972.825,1320000,1310000,1010000,1640000,871000,1740000,1320000,1310000,1010000,1640000,871000,1740000,1290000,1280000,989000,1610000,856000,1710000,3,3,3,3,3,TRUE,TRUE
"Black-and-white Warbler",6360,84697170.72,84795338.5,79935815.7,89711359.9,78329220.075,90903105.95,84697170.72,84795338.5,79935815.7,89711359.9,78329220.075,90903105.95,84697170.72,84795338.5,79935815.7,89711359.9,78329220.075,90903105.95,84700000,84800000,79900000,89700000,78300000,90900000,84700000,84800000,79900000,89700000,78300000,90900000,84700000,84800000,79900000,89700000,78300000,90900000,1,1,1,1,1,TRUE,TRUE
"Prothonotary Warbler",6370,15829282.42,15710582.5,13543204,18247864,13073056.1,19332526.25,15829282.42,15710582.5,13543204,18247864,13073056.1,19332526.25,15829282.42,15710582.5,13543204,18247864,13073056.1,19332526.25,15800000,15700000,13500000,18200000,13100000,19300000,15800000,15700000,13500000,18200000,13100000,19300000,15800000,15700000,13500000,18200000,13100000,19300000,2,2,2,2,2,TRUE,TRUE
"Swainson's Warbler",6380,2505318.71,2507231,2218336.2,2755690.5,2076644.15,2882307.35,2505318.71,2507231,2218336.2,2755690.5,2076644.15,2882307.35,2505318.71,2507231,2218336.2,2755690.5,2076644.15,2882307.35,2510000,2510000,2220000,2760000,2080000,2880000,2510000,2510000,2220000,2760000,2080000,2880000,2510000,2510000,2220000,2760000,2080000,2880000,3,3,3,3,3,TRUE,TRUE
