"Prov","cn","Aou","mean.PopEst","med.PopEst","Coeff.var","LCI80.PopEst","UCI80.PopEst","LCI95.PopEst","UCI95.PopEst","rounded.mean.PopEst","rounded.med.PopEst","rounded.LCI80.PopEst","rounded.UCI80.PopEst","rounded.LCI95.PopEst","rounded.UCI95.PopEst","st_abrev"
"11","Canyon Wren",7170,1003.22,835,0.909719159974623,0,2252.9,0,3183.65,1000,835,0,2250,0,3180,"BC"
"11","Clay-colored Sparrow",5610,7449053.78,7460857,0.166016678399402,5939931.3,9054397.4,5309996.95,9669115.375,7450000,7460000,5940000,9050000,5310000,9670000,"BC"
"11","Golden-crowned Kinglet",7480,47194451.71,47476439,0.114853501500839,40043175.9,54544052.8,37048446.525,56519299.975,47200000,47500000,4e+07,54500000,3.7e+07,56500000,"BC"
"11","Red-naped Sapsucker",4021,3240635.91,3216172.5,0.192477411542007,2431864.6,4069354.1,2089494.45,4379730.975,3240000,3220000,2430000,4070000,2090000,4380000,"BC"
"11","Yellow-rumped Warbler",6550,28462649.73,28569287,0.263036030041886,19292763.4,37566069.9,11737623.675,39435748.325,28500000,28600000,19300000,37600000,11700000,39400000,"BC"
"11","Nashville Warbler",6450,2321281.7,2299242,0.251365321736864,1663668.8,3108267.7,1335377.375,3587421.775,2320000,2300000,1660000,3110000,1340000,3590000,"BC"
"11","Red-breasted Nuthatch",7280,11426998.4,11555146.5,0.106271197194449,9830293.2,12852560.6,9154641.25,13495414.025,11400000,11600000,9830000,12900000,9150000,13500000,"BC"
"11","Red-eyed Vireo",6240,11488368.74,11346316,0.194454808189505,8744227.4,14574414.6,7432348.85,16153986.825,11500000,11300000,8740000,14600000,7430000,16200000,"BC"
"11","Yellow-breasted Chat",6830,31067.43,27111,0.81014230994115,2773.6,68688.6,725.325,83915.25,31100,27100,2770,68700,725,83900,"BC"
"11","Northern Pygmy-Owl",3790,5756.05,5362.5,0.605513328348377,1992.6,10570,1232.65,13908.375,5760,5360,1990,10600,1230,13900,"BC"
"11","Turkey Vulture",3250,262752.9,259591,0.19941628298347,195948.6,319597.9,166257.875,364327.325,263000,260000,196000,320000,166000,364000,"BC"
"11","Varied Thrush",7630,12297843.06,12496496.5,0.211090308333263,9308519.8,15345099.8,7932166.8,17638919.175,12300000,12500000,9310000,15300000,7930000,17600000,"BC"
"11","LeConte's Sparrow",5480,89057.63,89498.5,0.352427192825108,51013.4,122684.7,27795.275,153115.375,89100,89500,51000,123000,27800,153000,"BC"
"11","Bewick's Wren",7190,641262.05,602673,0.558589058133724,217295.6,1161260.1,143903.6,1499914.95,641000,603000,217000,1160000,144000,1500000,"BC"
"11","Wild Turkey",3100,85849.33,82768,0.520782900946679,34326.5,142821.9,23562.925,185302.575,85800,82800,34300,143000,23600,185000,"BC"
