cn,aou,TimeAdj.meanlog,Dist2,Pair2,order,family,genus,family_TimeAdj.meanlog,family_Dist2,family_Pair2,genus_TimeAdj.meanlog,genus_Dist2,genus_Pair2,order_TimeAdj.meanlog,order_Dist2,order_Pair2,Pair2_final,Dist2_final,TimeAdj.meanlog_final,C_t,C_d,C_p,PIF_adj_birds_km2
Black Swift,4220,0.419278592,200,1.25,Apodiformes,Apodidae,Cypseloides,0.73944018625,200,1.5,0.419278592,200,1.25,0.40338701964285717,95,1.625,1.25,200,0.419278592,1.5208639963183481,0.15915507752443822,1.25,0.30256653404771705
Black Vulture,3260,1.046186196,400,1.5,Cathartiformes,Cathartidae,Coragyps,1.074966812,400,1.5833333333333333,1.046186196,400,1.5,1.074966812,400,1.5833333333333333,1.5,400,1.046186196,2.8467733528156427,0.039788769381109555,1.5,0.16990441262320446
Black-and-white Warbler,6360,0.152823762,100,2,Passeriformes,Parulidae,Mniotilta,0.18184772991489362,125.42553191489361,2,0.152823762,100,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,100,0.152823762,1.1651196224954352,0.6366203100977529,2,1.4834776307480415
Black-backed Woodpecker,4000,0.427240724,125,1.5,Piciformes,Picidae,Picoides,0.30280097036363635,160.22727272727272,1.5909090909090908,0.3295777145,125,1.5,0.30280097036363635,160.22727272727272,1.5909090909090908,1.5,125,0.427240724,1.5330216524140352,0.407436998462562,1.5,0.9369146109565372
Black-billed Cuckoo,3880,0.283172906,200,2,Cuculiformes,Cuculidae,Coccyzus,0.329862399,185,1.85,0.30516066766666666,200,2,0.329862399,185,1.85,2,200,0.283172906,1.3273346461012994,0.15915507752443822,2,0.42250409700225017
Black-billed Magpie,4750,0.235896152,300,1.75,Passeriformes,Corvidae,Pica,0.25450411287499997,270.3125,1.359375,0.23579441099999998,300,1.625,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,300,0.235896152,1.266042827324351,0.07073559001086145,1.75,0.1567200011471625
Black-capped Chickadee,7350,0.378610362,125,2,Passeriformes,Paridae,Poecile,0.2054622081,153.5,1.375,0.2379248122,107,1.4,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.378610362,1.4602539544524786,0.407436998462562,2,1.1899229763904091
Black-chinned Hummingbird,4290,0.261764193,50,1.5,Apodiformes,Trochilidae,Archilochus,0.26896575300000003,53,1.675,0.278939438,50,1.75,0.40338701964285717,95,1.625,1.5,50,0.261764193,1.2992201411011999,2.5464812403910115,1.5,4.962659574678552
Black-chinned Sparrow,5650,0.48677923,200,1.75,Passeriformes,Passerellidae,Spizella,0.49209269541463413,161.58536585365854,1.8841463414634145,0.443275755,170,1.95,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.48677923,1.627067362063007,0.15915507752443822,1.75,0.4531730562565868
Black-crested Titmouse,7320,0.167287607,200,1.25,Passeriformes,Paridae,Baeolophus,0.2054622081,153.5,1.375,0.172999604,200,1.35,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,200,0.167287607,1.1820941949880786,0.15915507752443822,1.25,0.23517036655564502
Black-headed Grosbeak,5960,0.35677819,125,2,Passeriformes,Cardinalidae,Pheucticus,0.3107701992142857,157.14285714285714,1.9285714285714286,0.2544286395,162.5,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.35677819,1.4287189305590366,0.407436998462562,2,1.1642259054272308
Black-tailed Gnatcatcher,7520,0.507418109,80,1.75,Passeriformes,Polioptilidae,Polioptila,0.5074619813333333,70,1.75,0.5074619813333333,70,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,80,0.507418109,1.6609971403731083,0.9947192345277392,1.75,2.891395157043229
Black-throated Blue Warbler,6540,0.123733234,125,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.123733234,1.1317139279291952,0.407436998462562,2,0.922204251827495
Black-throated Gray Warbler,6650,0.234857209,125,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.234857209,1.264728164039565,0.407436998462562,2,1.030594094054694
Black-throated Green Warbler,6670,0.123030348,125,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.123030348,1.1309187415486743,0.407436998462562,2,0.9215562751232995
Black-throated Sparrow,5730,0.536376292,125,2,Passeriformes,Passerellidae,Amphispiza,0.49209269541463413,161.58536585365854,1.8841463414634145,0.536376292,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.536376292,1.7097998074594394,0.407436998462562,2,1.3932714030462807
Black-whiskered Vireo,6230,0.252790135,125,2,Passeriformes,Vireonidae,Vireo,0.2619165115384615,125,2,0.2619165115384615,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.252790135,1.28761302357008,0.407436998462562,2,1.049242371009395
Blackburnian Warbler,6620,0.191437754,80,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,80,0.191437754,1.2109894515445148,0.9947192345277392,2,2.409189000523053
Blackpoll Warbler,6610,0.036936066,80,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,80,0.036936066,1.037626679093332,0.9947192345277392,2,2.0642944319065584
Blue Grosbeak,5970,0.425252098,125,2,Passeriformes,Cardinalidae,Passerina,0.3107701992142857,157.14285714285714,1.9285714285714286,0.3150274996,125,1.9,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.425252098,1.5299760749584168,0.407436998462562,2,1.2467377194011782
Blue Jay,4770,0.196211491,200,1.25,Passeriformes,Corvidae,Cyanocitta,0.25450411287499997,270.3125,1.359375,0.1899414625,200,1.25,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,200,0.196211491,1.2167842170346477,0.15915507752443822,1.25,0.24207173299082776
Blue-gray Gnatcatcher,7510,0.507549726,50,1.75,Passeriformes,Polioptilidae,Polioptila,0.5074619813333333,70,1.75,0.5074619813333333,70,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,50,0.507549726,1.6612157702211197,2.5464812403910115,1.75,7.402945891442126
Blue-headed Vireo,6290,0.191732584,125,2,Passeriformes,Vireonidae,Vireo,0.2619165115384615,125,2,0.2619165115384615,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.191732584,1.2113465402021515,0.407436998462562,2,0.9870947968759476
Blue-winged Warbler,6410,0.245414125,125,2,Passeriformes,Parulidae,Vermivora,0.18184772991489362,125.42553191489361,2,0.189559564,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.245414125,1.2781505177020607,0.407436998462562,2,1.0415316210317946
Boat-tailed Grackle,5130,0.627797265,200,1.25,Passeriformes,Icteridae,Quiscalus,0.2590635304,162.5,1.5125,0.46398549366666664,200,1.1666666666666667,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,200,0.627797265,1.8734792525044996,0.15915507752443822,1.25,0.37271716959097523
Bobolink,4940,0.240408992,200,1.75,Passeriformes,Icteridae,Dolichonyx,0.2590635304,162.5,1.5125,0.240408992,200,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.240408992,1.2717691873921446,0.15915507752443822,1.75,0.35421491632203
Bohemian Waxwing,6180,0.251637205,125,1.75,Passeriformes,Bombycillidae,Bombycilla,0.251510659,112.5,1.75,0.251510659,112.5,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,125,0.251637205,1.286129351336277,0.407436998462562,1.75,0.9170291944503455
Boreal Chickadee,7400,0.123606521,80,1.25,Passeriformes,Paridae,Poecile,0.2054622081,153.5,1.375,0.2379248122,107,1.4,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,80,0.123606521,1.1315705341473656,0.9947192345277392,1.25,1.4069937194265156
Brewer's Blackbird,5100,0.285067694,200,1.25,Passeriformes,Icteridae,Euphagus,0.2590635304,162.5,1.5125,0.32030129799999996,162.5,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,200,0.285067694,1.3298520480790765,0.15915507752443822,1.25,0.26456588226007294
Brewer's Sparrow,5620,0.554371096,200,2,Passeriformes,Passerellidae,Spizella,0.49209269541463413,161.58536585365854,1.8841463414634145,0.443275755,170,1.95,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.554371096,1.7408458155352413,0.15915507752443822,2,0.5541289014592105
Bridled Titmouse,7340,0.167287607,200,1.75,Passeriformes,Paridae,Baeolophus,0.2054622081,153.5,1.375,0.172999604,200,1.35,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.167287607,1.1820941949880786,0.15915507752443822,1.75,0.3292385131779031
Broad-tailed Hummingbird,4320,0.270066821,80,1.75,Apodiformes,Trochilidae,Selasphorus,0.26896575300000003,53,1.675,0.27366011825000003,57.5,1.625,0.40338701964285717,95,1.625,1.75,80,0.270066821,1.3100519867924008,0.9947192345277392,1.75,2.2804843416139415
Broad-winged Hawk,3430,0.923824468,125,2,Accipitriformes,Accipitridae,Buteo,0.43029992788235294,269.11764705882354,1.6911764705882353,0.40186650542857144,260.7142857142857,1.7142857142857142,0.43415746855555554,270.8333333333333,1.6666666666666667,2,125,0.923824468,2.5189054652897034,0.407436998462562,2,2.0525905643771596
Bronzed Cowbird,4960,0.196381735,125,1.25,Passeriformes,Icteridae,Molothrus,0.2590635304,162.5,1.5125,0.19637056,125,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,125,0.196381735,1.2169913848809335,0.407436998462562,1.25,0.6198091462633551
Brown Creeper,7260,0.327781306,80,2,Passeriformes,Certhiidae,Certhia,0.327781306,80,2,0.327781306,80,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,80,0.327781306,1.3878854168843893,0.9947192345277392,2,2.761112638990904
Brown Thrasher,7050,0.141308812,200,1.5,Passeriformes,Mimidae,Toxostoma,0.19060758960000002,192.5,1.85,0.1693725632857143,200,1.8571428571428572,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,200,0.141308812,1.1517802766415097,0.15915507752443822,1.5,0.2749675188299976
Brown-crested Flycatcher,4530,0.236362278,200,2,Passeriformes,Tyrannidae,Myiarchus,0.3035152834285714,167.85714285714286,1.9285714285714286,0.24873661,200,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.236362278,1.2666331003633982,0.15915507752443822,2,0.40318217856671235
Brown-headed Cowbird,4950,0.196359385,125,1.75,Passeriformes,Icteridae,Molothrus,0.2590635304,162.5,1.5125,0.19637056,125,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,125,0.196359385,1.2169641854274365,0.407436998462562,1.75,0.867713411157235
Brown-headed Nuthatch,7290,0.193256417,125,1.5,Passeriformes,Sittidae,Sitta,0.29357489,125,1.625,0.29357489,125,1.625,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,125,0.193256417,1.2131938371631201,0.407436998462562,1.5,0.7414500833505298
Bullock's Oriole,5080,0.171626668,125,1.75,Passeriformes,Icteridae,Icterus,0.2590635304,162.5,1.5125,0.15079328057142857,125,1.7857142857142858,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,125,0.171626668,1.187234517830135,0.407436998462562,1.75,0.8465157197277501
Burrowing Owl,3780,0.248559878,200,1.75,Strigiformes,Strigidae,Athene,1.5650317498,181.66666666666666,1.9666666666666666,0.248559878,200,1.75,1.5697160733125,182.8125,1.96875,1.75,200,0.248559878,1.2821775943008038,0.15915507752443822,1.75,0.3571138802368237
Bushtit,7430,0.180014259,125,1.5,Passeriformes,Aegithalidae,Psaltriparus,0.180014259,125,1.5,0.180014259,125,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,125,0.180014259,1.1972344343659,0.407436998462562,1.5,0.7316964065910982
Cactus Wren,7130,0.38994346,200,1.5,Passeriformes,Troglodytidae,Campylorhynchus,0.4242149559,177.5,1.825,0.38994346,200,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,200,0.38994346,1.4768972877492972,0.15915507752443822,1.5,0.3525835534910579
California Quail,2940,0.386160727,200,1.5,Galliformes,Odontophoridae,Callipepla,0.4798636745,216.66666666666666,1.6666666666666667,0.5123414333333334,200,1.6666666666666667,0.4669907040454545,205.6818181818182,1.8295454545454546,1.5,200,0.386160727,1.4713211328430362,0.15915507752443822,1.5,0.3512523434414666
California Scrub-Jay,4812,0.162746,200,1.25,Passeriformes,Corvidae,Aphelocoma,0.25450411287499997,270.3125,1.359375,0.16282873650000002,200,1.3125,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,200,0.162746,1.1767377603349212,0.15915507752443822,1.25,0.23410473684004773
California Thrasher,7100,0.151208587,200,1.75,Passeriformes,Mimidae,Toxostoma,0.19060758960000002,192.5,1.85,0.1693725632857143,200,1.8571428571428572,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.151208587,1.16323926936764,0.15915507752443822,1.75,0.3239870131674359
California Towhee,5911,0.953116186,125,2,Passeriformes,Passerellidae,Melozone,0.49209269541463413,161.58536585365854,1.8841463414634145,0.926735564,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.953116186,2.593779779022811,0.407436998462562,2,2.113603695675883
Calliope Hummingbird,4360,0.222786696,50,2,Apodiformes,Trochilidae,Selasphorus,0.26896575300000003,53,1.675,0.27366011825000003,57.5,1.625,0.40338701964285717,95,1.625,2,50,0.222786696,1.2495540104388432,2.5464812403910115,2,6.363931692875736
Canada Jay,4840,0.206075389,125,1,Passeriformes,Corvidae,Perisoreus,0.25450411287499997,270.3125,1.359375,0.206075389,125,1,0.31361236473835125,159.56989247311827,1.793010752688172,1,125,0.206075389,1.228845841962506,0.407436998462562,1,0.5006772614224032
Canada Warbler,6860,0.144498738,100,2,Passeriformes,Parulidae,Cardellina,0.18184772991489362,125.42553191489361,2,0.147879178,108.33333333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,100,0.144498738,1.1554602367720137,0.6366203100977529,2,1.4711789084788447
Canyon Towhee,5910,0.901022212,125,2,Passeriformes,Passerellidae,Melozone,0.49209269541463413,161.58536585365854,1.8841463414634145,0.926735564,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.901022212,2.4621186324513955,0.407436998462562,2,2.006316450929489
Canyon Wren,7170,0.627107745,200,2,Passeriformes,Troglodytidae,Catherpes,0.4242149559,177.5,1.825,0.627107745,200,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.627107745,1.872187896349424,0.15915507752443822,2,0.595936419567615
Cape May Warbler,6500,0.325792288,80,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,80,0.325792288,1.385127631359987,0.9947192345277392,2,2.7556261943792535
Carolina Chickadee,7360,0.23301274,125,1.25,Passeriformes,Paridae,Poecile,0.2054622081,153.5,1.375,0.2379248122,107,1.4,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,125,0.23301274,1.2623975621697554,0.407436998462562,1.25,0.6429343419961258
Carolina Wren,7180,0.2685187,200,1.5,Passeriformes,Troglodytidae,Thryothorus,0.4242149559,177.5,1.825,0.2685187,200,1.5,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,200,0.2685187,1.308025436877545,0.15915507752443822,1.5,0.31226833471527427
Cassin's Finch,5180,0.290200251,125,2,Passeriformes,Fringillidae,Haemorhous,0.2552985766,123.33333333333333,1.7,0.20164655933333334,125,1.9166666666666667,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.290200251,1.336695135763846,0.407436998462562,2,1.0892381079502564
Cassin's Kingbird,4480,0.429312979,200,2,Passeriformes,Tyrannidae,Tyrannus,0.3035152834285714,167.85714285714286,1.9285714285714286,0.328694848,189.28571428571428,1.9285714285714286,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.429312979,1.5362017580552547,0.15915507752443822,2,0.4889886197929247
Cassin's Sparrow,5780,0.324927907,200,1.75,Passeriformes,Passerellidae,Peucaea,0.49209269541463413,161.58536585365854,1.8841463414634145,0.3358864475,200,1.8125,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.324927907,1.3839308706559852,0.15915507752443822,1.75,0.385454343763504
Cassin's Vireo,6291,0.29475794,125,2,Passeriformes,Vireonidae,Vireo,0.2619165115384615,125,2,0.2619165115384615,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.29475794,1.342801280865649,0.407436998462562,2,1.0942138468151674
Cave Swallow,6121,0.601584903,200,1,Passeriformes,Hirundinidae,Petrochelidon,0.376730184375,190.625,1.34375,0.6018015274999999,200,1,0.31361236473835125,159.56989247311827,1.793010752688172,1,200,0.601584903,1.8250089716591722,0.15915507752443822,1,0.29045944436721083
Cedar Waxwing,6190,0.251384113,100,1.75,Passeriformes,Bombycillidae,Bombycilla,0.251510659,112.5,1.75,0.251510659,112.5,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,100,0.251384113,1.285803883474882,0.6366203100977529,1.75,1.4324955172896798
Cerulean Warbler,6580,0.214654972,100,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,100,0.214654972,1.2394341836862472,0.6366203100977529,2,1.5780979487281879
Chestnut-backed Chickadee,7410,0.172673671,80,1.25,Passeriformes,Paridae,Poecile,0.2054622081,153.5,1.375,0.2379248122,107,1.4,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,80,0.172673671,1.1884782068914832,0.9947192345277392,1.25,1.4777526652649955
Chestnut-collared Longspur,5380,0.47764042,200,1.5,Passeriformes,Calcariidae,Calcarius,0.4782348028,200,1.6,0.4786790906666667,200,1.5833333333333333,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,200,0.47764042,1.6122656406608789,0.15915507752443822,1.5,0.38490039454405534
Chestnut-sided Warbler,6590,0.207905027,125,2,Passeriformes,Parulidae,Setophaga,0.18184772991489362,125.42553191489361,2,0.16679025575,116.45833333333333,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.207905027,1.2310962430930321,0.407436998462562,2,1.0031883162087232
Chihuahuan Raven,4870,0.246353299,400,1.75,Passeriformes,Corvidae,Corvus,0.25450411287499997,270.3125,1.359375,0.39157398499999996,400,1.4375,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,400,0.246353299,1.2793514873078111,0.039788769381109555,1.75,0.08908168725027252
Chimney Swift,4230,0.281915163,200,1.75,Apodiformes,Apodidae,Chaetura,0.73944018625,200,1.5,0.5461778715,200,1.75,0.40338701964285717,95,1.625,1.75,200,0.281915163,1.3256662496684142,0.15915507752443822,1.75,0.36922640079063856
Chipping Sparrow,5600,0.695273332,125,2,Passeriformes,Passerellidae,Spizella,0.49209269541463413,161.58536585365854,1.8841463414634145,0.443275755,170,1.95,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.695273332,2.004256826605529,0.407436998462562,2,1.6332167711605128
Chuck-will's-widow,4160,3.018785009,300,2,Caprimulgiformes,Caprimulgidae,Antrostomus,2.9320942861666666,300,2,3.3184493656666665,300,2,2.9320942861666666,300,2,2,300,3.018785009,20.466410067749155,0.07073559001086145,2,2.8954071830929426
Chukar,2882,0.516304491,300,2,Galliformes,Phasianidae,Alectoris,0.4597494906,195,1.8833333333333333,0.516304491,300,2,0.4669907040454545,205.6818181818182,1.8295454545454546,2,300,0.516304491,1.6758231727923993,0.07073559001086145,2,0.23708068176268837
Clark's Nutcracker,4910,0.324373017,300,1.25,Passeriformes,Corvidae,Nucifraga,0.25450411287499997,270.3125,1.359375,0.324373017,300,1.25,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,300,0.324373017,1.383163154273937,0.07073559001086145,1.25,0.12229857724856391
Clay-colored Sparrow,5610,0.399192981,125,2,Passeriformes,Passerellidae,Spizella,0.49209269541463413,161.58536585365854,1.8841463414634145,0.443275755,170,1.95,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.399192981,1.490621252432494,0.407436998462562,2,1.2146684978712006
Cliff Swallow,6120,0.602018152,200,1,Passeriformes,Hirundinidae,Petrochelidon,0.376730184375,190.625,1.34375,0.6018015274999999,200,1,0.31361236473835125,159.56989247311827,1.793010752688172,1,200,0.602018152,1.8257998262772501,0.15915507752443822,1,0.29058531289526157
Common Grackle,5110,0.408425194,200,1.25,Passeriformes,Icteridae,Quiscalus,0.2590635304,162.5,1.5125,0.46398549366666664,200,1.1666666666666667,0.31361236473835125,159.56989247311827,1.793010752688172,1.25,200,0.408425194,1.5044467069080685,0.15915507752443822,1.25,0.2993004153366743
Common Ground-Dove,NA,0.505966382,125,1.5,NA,NA,NA,0.321503194,177.77777777777777,1.6388888888888888,0.321503194,177.77777777777777,1.6388888888888888,0.321503194,177.77777777777777,1.6388888888888888,1.5,125,0.505966382,1.6585875754159414,0.407436998462562,1.5,1.0136549151221539
Common Nighthawk,4200,2.15054635,300,2,Caprimulgiformes,Caprimulgidae,Chordeiles,2.9320942861666666,300,2,2.1380059905,300,2,2.9320942861666666,300,2,2,300,2.15054635,8.589550016079482,0.07073559001086145,2,1.2151737766303732
Common Poorwill,4180,3.361205639,300,2,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,2.9320942861666666,300,2,3.361205639,300,2,2.9320942861666666,300,2,2,300,3.361205639,28.823921182442252,0.07073559001086145,2,4.07775414253324
Common Raven,4860,0.322897689,400,1,Passeriformes,Corvidae,Corvus,0.25450411287499997,270.3125,1.359375,0.39157398499999996,400,1.4375,0.31361236473835125,159.56989247311827,1.793010752688172,1,400,0.322897689,1.3811240394952926,0.039788769381109555,1,0.054953225894184644
Common Redpoll,5280,0.195174643,125,2,Passeriformes,Fringillidae,Acanthis,0.2552985766,123.33333333333333,1.7,0.19522528449999998,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.195174643,1.2155232505810236,0.407436998462562,2,0.9904982895563778
Common Yellowthroat,6810,0.105097389,125,2,Passeriformes,Parulidae,Geothlypis,0.18184772991489362,125.42553191489361,2,0.171356885,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.105097389,1.1108187866188408,0.407436998462562,2,0.9051773445116112
Connecticut Warbler,6780,0.251795457,125,2,Passeriformes,Parulidae,Oporornis,0.18184772991489362,125.42553191489361,2,0.251795457,125,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.251795457,1.28633289998395,0.407436998462562,2,1.0481992315862072
Cooper's Hawk,3330,0.266253374,125,2,Accipitriformes,Accipitridae,Accipiter,0.43029992788235294,269.11764705882354,1.6911764705882353,0.230987747,125,2,0.43415746855555554,270.8333333333333,1.6666666666666667,2,125,0.266253374,1.3050656865121661,0.407436998462562,2,1.0634640922179996
Cordilleran Flycatcher,NA,0.286041028,125,2,NA,NA,NA,0.321503194,177.77777777777777,1.6388888888888888,0.321503194,177.77777777777777,1.6388888888888888,0.321503194,177.77777777777777,1.6388888888888888,2,125,0.286041028,1.3311470684338729,0.407436998462562,2,1.0847171321498714
Costa's Hummingbird,4300,0.282947489,50,1.25,Apodiformes,Trochilidae,Calypte,0.26896575300000003,53,1.675,0.2356216015,50,1.625,0.40338701964285717,95,1.625,1.25,50,0.282947489,1.3270354760276561,2.5464812403910115,1.25,4.224088681297228
Couch's Kingbird,4461,0.287611169,200,2,Passeriformes,Tyrannidae,Tyrannus,0.3035152834285714,167.85714285714286,1.9285714285714286,0.328694848,189.28571428571428,1.9285714285714286,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.287611169,1.3332387987490792,0.15915507752443822,2,0.4243834487469972
Crested Caracara,3620,0.263500335,300,1,Falconiformes,Falconidae,Caracara,0.2573103881666667,254.16666666666666,1.5,0.263500335,300,1,0.2573103881666667,254.16666666666666,1.5,1,300,0.263500335,1.3014777309366108,0.07073559001086145,1,0.09206079518379835
Crissal Thrasher,7120,0.151208587,200,2,Passeriformes,Mimidae,Toxostoma,0.19060758960000002,192.5,1.85,0.1693725632857143,200,1.8571428571428572,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.151208587,1.16323926936764,0.15915507752443822,2,0.3702708721913553
Curve-billed Thrasher,7070,0.288256196,200,2,Passeriformes,Mimidae,Toxostoma,0.19060758960000002,192.5,1.85,0.1693725632857143,200,1.8571428571428572,0.31361236473835125,159.56989247311827,1.793010752688172,2,200,0.288256196,1.3340990511849176,0.15915507752443822,2,0.42465727583323004
Dark-eyed Junco,5677,0.541617969,125,2,Passeriformes,Passerellidae,Junco,0.49209269541463413,161.58536585365854,1.8841463414634145,0.5415300795,125,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.541617969,1.7187855554052291,0.407436998462562,2,1.4005936553902283
Dickcissel,6040,0.149758908,200,1.75,Passeriformes,Cardinalidae,Spiza,0.3107701992142857,157.14285714285714,1.9285714285714286,0.149758908,200,1.75,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.149758908,1.1615541675503342,0.15915507752443822,1.75,0.3235176762742885
Downy Woodpecker,3940,0.297784285,125,2,Piciformes,Picidae,Dryobates,0.30280097036363635,160.22727272727272,1.5909090909090908,0.2858223914285714,125,1.8214285714285714,0.30280097036363635,160.22727272727272,1.5909090909090908,2,125,0.297784285,1.3468712162159415,0.407436998462562,2,1.0975303313012872
Dusky Flycatcher,4690,0.151740992,125,2,Passeriformes,Tyrannidae,Empidonax,0.3035152834285714,167.85714285714286,1.9285714285714286,0.218500693375,121.875,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.151740992,1.163858748663152,0.407436998462562,2,0.948398230379416
Eastern Bluebird,7660,0.161933803,125,1.5,Passeriformes,Turdidae,Sialia,0.5218871619166666,181.25,1.9583333333333333,0.47324022033333335,150,1.8333333333333333,0.31361236473835125,159.56989247311827,1.793010752688172,1.5,125,0.161933803,1.175782405476883,0.407436998462562,1.5,0.7185858811988883
Eastern Kingbird,4440,0.144573269,125,1.75,Passeriformes,Tyrannidae,Tyrannus,0.3035152834285714,167.85714285714286,1.9285714285714286,0.328694848,189.28571428571428,1.9285714285714286,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,125,0.144573269,1.1555463575882161,0.407436998462562,1.75,0.823921594160156
Eastern Meadowlark,5010,0.245182991,200,1.75,Passeriformes,Icteridae,Sturnella,0.2590635304,162.5,1.5125,0.2591768705,200,1.625,0.31361236473835125,159.56989247311827,1.793010752688172,1.75,200,0.245182991,1.277855127798942,0.15915507752443822,1.75,0.3559099808772227
Eastern Phoebe,4560,0.898152488,125,2,Passeriformes,Tyrannidae,Sayornis,0.3035152834285714,167.85714285714286,1.9285714285714286,0.777088878,150,1.8333333333333333,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.898152488,2.4550631599923296,0.407436998462562,2,2.0005671298865746
Eastern Screech-Owl,3730,2.114649232,125,2,Strigiformes,Strigidae,Megascops,1.5650317498,181.66666666666666,1.9666666666666666,2.401309002,125,2,1.5697160733125,182.8125,1.96875,2,125,2.114649232,8.286678554607407,0.407436998462562,2,6.7525988750266475
Eastern Towhee,5870,0.302646684,125,2,Passeriformes,Passerellidae,Pipilo,0.49209269541463413,161.58536585365854,1.8841463414634145,0.581845691,150,2,0.31361236473835125,159.56989247311827,1.793010752688172,2,125,0.302646684,1.3534361892954756,0.407436998462562,2,1.1028799571543129
