cn,TimeAdj.meanlog,TimeAdj.sdlog,Dist2,Pair2,Aou,Dist.Lower,Dist.Upper,Species,edr,edr_sd,EDR_model,use_edr,cue_rate,cue_rate_sd,use_cue_rate
Black Vulture,1.046186196,0.034351103,400,1.5,3260,320,440,BLVU,103.69421571849061,3.0515619116884096,8,TRUE,0.07411166992954749,NA,TRUE
Black-and-white Warbler,0.152823762,0.008002952,100,2,6360,84,110,BAWW,58.470282947408684,0.47147586592714674,4,TRUE,0.2374173527519588,0.0029634356150449737,TRUE
Black-backed Woodpecker,0.427240724,0.004502838,125,1.5,4000,105,138,BBWO,86.194460810781,6.781909843293022,2,TRUE,0.20579188341330637,0.016634743443870587,TRUE
Black-billed Cuckoo,0.283172906,0.005624163,200,2,3880,140,220,BBCU,130.67424062292002,3.101890305201877,4,TRUE,0.11688246596622173,0.011600825117645736,TRUE
Black-billed Magpie,0.235896152,0.020103119,300,1.75,4750,220,330,BBMA,168.78736436732657,5.011248298975545,3,TRUE,0.3230454898702856,0.0072577800757632205,TRUE
Blackburnian Warbler,0.191437754,0.009454552,80,2,6620,56,88,BLBW,62.96444226203825,0.940258113614874,9,TRUE,0.2619292944120181,0.0070137070600793106,TRUE
Black-capped Chickadee,0.378610362,0.015744777,125,2,7350,105,138,BCCH,77.5676594432105,0.40465886674678586,9,TRUE,0.1838559612212071,0.0037214622629517524,TRUE
Black-capped Vireo,0.252790135,0.052592429,125,2,6300,105,138,NA,NA,NA,NA,FALSE,NA,NA,FALSE
Black-chinned Hummingbird,0.261764193,0.005802987,50,1.5,4290,26,55,BCHU,49.20322344504591,2.7386360681598205,1,TRUE,0.13795235390371396,0.022179897841981308,TRUE
Black-chinned Sparrow,0.48677923,0.263794299,200,1.75,5650,140,220,BCSP,94.02576014315389,2.357425728763019,9,TRUE,0.20398043694565698,0.0607147470754755,TRUE
Black-crested Titmouse,0.167287607,0.015324212,200,1.25,7320,140,220,BCTI,91.89133037358617,9.672935823380314,2,TRUE,0.31073925939524355,0.037291249775237845,TRUE
Black-headed Grosbeak,0.35677819,0.014358481,125,2,5960,105,138,BHGR,69.69609643912933,0.4672187110160593,7,TRUE,0.3349128093387002,0.005122789170740993,TRUE
Blackpoll Warbler,0.036936066,0.007389098,80,2,6610,56,88,BLPW,35.24020344983589,2.8446800163895176,9,TRUE,0.24618531209886016,0.02108921377929121,TRUE
