cn,pGL_UsCa,pWH_UsCa,pGL_WH
Bohemian Waxwing,0.5,1,0.5
Great Gray Owl,0.5,1,0.5
Gyrfalcon,0.5,1,0.5
Hoary Redpoll,0.5,1,0.5
Lapland Longspur,0.5,1,0.5
Merlin,0.5,1,0.5
Northern Hawk Owl,0.5,1,0.5
Pine Grosbeak,0.5,1,0.5
Rock Ptarmigan,0.5,1,0.5
Rough-legged Hawk,0.5,1,0.5
Snow Bunting,0.5,1,0.5
Snowy Owl,0.5,1,0.5
White-winged Crossbill,0.5,1,0.5
Hooded Oriole,0.5126,0.5126,1
American Kestrel,0.5175,0.5175,1
Black-crested Titmouse,0.5237,0.5237,1
Great-tailed Grackle,0.5281,0.5281,1
Grace's Warbler,0.5318,0.5318,1
Lesser Goldfinch,0.5336,0.5336,1
Rufous-crowned Sparrow,0.5412,0.5412,1
Vaux's Swift,0.5521,0.5521,1
Black-throated Sparrow,0.57,0.57,1
White-winged Dove,0.5718,0.5718,1
Great Horned Owl,0.5854,0.5854,1
Flammulated Owl,0.5959,0.5959,1
Spotted Owl,0.5995,0.5995,1
California Towhee,0.6123,0.6123,1
Greater Roadrunner,0.6222,0.6222,1
Broad-tailed Hummingbird,0.6274,0.6274,1
Sharp-shinned Hawk,0.6433,0.6433,1
Eastern Meadowlark,0.65,0.65,1
Bell's Sparrow,0.6721,0.6721,1
Cassin's Sparrow,0.6737,0.6737,1
Western Bluebird,0.6753,0.6753,1
Canyon Wren,0.6775,0.6775,1
White-throated Swift,0.6786,0.6786,1
Horned Lark,0.6994,0.9325,0.75
Ash-throated Flycatcher,0.7013,0.7013,1
Northern Pygmy-Owl,0.7118,0.7118,1
Bushtit,0.7147,0.7147,1
Bewick's Wren,0.7151,0.7151,1
Cordilleran Flycatcher,0.7153,0.7153,1
Plumbeous Vireo,0.7277,0.7277,1
Blue-gray Gnatcatcher,0.737,0.737,1
Gambel's Quail,0.7402,0.7402,1
Rock Wren,0.7402,0.7402,1
Blue Grosbeak,0.7416,0.7416,1
California Quail,0.7417,0.7417,1
Red-eyed Vireo,0.7446,0.7446,1
Western Scrub-Jay,0.7481,0.7481,1
Western Screech-Owl,0.7532,0.7532,1
Black-capped Vireo,0.7645,0.7645,1
Bell's Vireo,0.7707,0.7707,1
Common Poorwill,0.7734,0.7734,1
Northern Cardinal,0.7781,0.7781,1
House Finch,0.7903,0.7903,1
Steller's Jay,0.794,0.794,1
Black-headed Grosbeak,0.7959,0.7959,1
Le Conte's Thrasher,0.797,0.797,1
Lucy's Warbler,0.7979,0.7979,1
Painted Bunting,0.8028,0.8028,1
Pygmy Nuthatch,0.8062,0.8062,1
Bendire's Thrasher,0.8135,0.8135,1
Violet-green Swallow,0.821,0.821,1
Northern Mockingbird,0.8304,0.8304,1
Lawrence's Goldfinch,0.8313,0.8313,1
Summer Tanager,0.8344,0.8344,1
Northern Bobwhite,0.8442,0.8442,1
Loggerhead Shrike,0.8454,0.8454,1
Mourning Dove,0.8557,0.8557,1
California Thrasher,0.857,0.857,1
Yellow-billed Cuckoo,0.8576,0.8576,1
Prairie Falcon,0.8605,0.8605,1
Black-chinned Hummingbird,0.8694,0.8694,1
Eastern Bluebird,0.8712,0.8712,1
Western Wood-Pewee,0.8717,0.8717,1
Bullock's Oriole,0.8826,0.8826,1
Orchard Oriole,0.885,0.885,1
Oak Titmouse,0.8861,0.8861,1
Carolina Wren,0.892,0.892,1
Northern Rough-winged Swallow,0.8922,0.8922,1
Red-tailed Hawk,0.8966,0.8966,1
American Pipit,0.8996,0.9995,0.9
Gray-cheeked Thrush,0.9,1,0.9
Wild Turkey,0.9015,0.9015,1
White-breasted Nuthatch,0.903,0.903,1
Yellow-breasted Chat,0.9051,0.9051,1
Brown Creeper,0.9074,0.9074,1
Say's Phoebe,0.908,0.908,1
Cliff Swallow,0.9088,0.9088,1
Spotted Towhee,0.9116,0.9116,1
Brown-headed Cowbird,0.9135,0.9135,1
Lark Sparrow,0.9142,0.9142,1
Scissor-tailed Flycatcher,0.9197,0.9197,1
Red-winged Blackbird,0.922,0.922,1
Western Meadowlark,0.9236,0.9236,1
White-eyed Vireo,0.925,0.925,1
Purple Martin,0.9263,0.9263,1
Wrentit,0.9319,0.9319,1
Common Nighthawk,0.9328,0.9328,1
Chipping Sparrow,0.9329,0.9329,1
Swainson's Hawk,0.9361,0.9361,1
Yellow Warbler,0.9378,0.9378,1
American Dipper,0.9384,0.9384,1
Pine Siskin,0.9395,0.9395,1
Northern Flicker,0.9472,0.9472,1
Common Yellowthroat,0.9484,0.9484,1
Evening Grosbeak,0.9494,0.9494,1
Western Kingbird,0.9511,0.9511,1
Townsend's Solitaire,0.9548,0.9548,1
Hairy Woodpecker,0.9557,0.9557,1
Northern Saw-whet Owl,0.956,0.956,1
Anna's Hummingbird,0.957,0.957,1
Eastern Screech-Owl,0.9586,0.9586,1
Pine Warbler,0.9603,0.9603,1
Mountain Quail,0.9618,0.9618,1
Grasshopper Sparrow,0.9655,0.9655,1
Warbling Vireo,0.969,0.969,1
Savannah Sparrow,0.9694,0.9694,1
American Robin,0.9699,0.9699,1
Barred Owl,0.9744,0.9744,1
Broad-winged Hawk,0.9754,0.9754,1
Abert's Towhee,0.9761,0.9761,1
Cooper's Hawk,0.9763,0.9763,1
Gray Vireo,0.9827,0.9827,1
Song Sparrow,0.983,0.983,1
Red-shouldered Hawk,0.9852,0.9852,1
MacGillivray's Warbler,0.9869,0.9869,1
Golden-crowned Kinglet,0.9898,0.9898,1
Nuttall's Woodpecker,0.9898,0.9898,1
Marsh Wren,0.9906,0.9906,1
Black-throated Gray Warbler,0.9924,0.9924,1
Lazuli Bunting,0.9927,0.9927,1
Pinyon Jay,0.9929,0.9929,1
Dusky Flycatcher,0.9931,0.9931,1
Juniper Titmouse,0.9932,0.9932,1
Pacific-slope Flycatcher,0.9933,0.9933,1
Brewer's Blackbird,0.9937,0.9937,1
Cassin's Vireo,0.9949,0.9949,1
Tricolored Blackbird,0.9949,0.9949,1
Green-tailed Towhee,0.9958,0.9958,1
Olive-sided Flycatcher,0.9963,0.9963,1
Calliope Hummingbird,0.9979,0.9979,1
Indigo Bunting,0.9979,0.9979,1
Western Tanager,0.998,0.998,1
Yellow-throated Warbler,0.9981,0.9981,1
Orange-crowned Warbler,0.9983,0.9983,1
Yellow-headed Blackbird,0.9984,0.9984,1
Brown-headed Nuthatch,0.9988,0.9988,1
Dark-eyed Junco,0.999,0.999,1
American Crow,0.9995,0.9995,1
Cassin's Finch,0.9997,0.9997,1
Chimney Swift,0.9998,0.9998,1
Downy Woodpecker,0.9998,0.9998,1
Great Crested Flycatcher,0.9998,0.9998,1
Bald Eagle,0.9999,0.9999,1
Hermit Thrush,0.9999,0.9999,1
Acadian Flycatcher,1,1,1
Alder Flycatcher,1,1,1
Allen's Hummingbird,1,1,1
American Goldfinch,1,1,1
American Redstart,1,1,1
American Three-toed Woodpecker,1,1,1
American Tree Sparrow,1,1,1
Bachman's Sparrow,1,1,1
Baird's Sparrow,1,1,1
Baltimore Oriole,1,1,1
Bay-breasted Warbler,1,1,1
Belted Kingfisher,1,1,1
Bicknell's Thrush,1,1,1
Black Rosy-Finch,1,1,1
Black-and-white Warbler,1,1,1
Black-backed Woodpecker,1,1,1
Black-billed Cuckoo,1,1,1
Black-billed Magpie,1,1,1
Black-capped Chickadee,1,1,1
Black-throated Blue Warbler,1,1,1
Black-throated Green Warbler,1,1,1
Blackburnian Warbler,1,1,1
Blackpoll Warbler,1,1,1
Blue Jay,1,1,1
Blue-headed Vireo,1,1,1
Blue-winged Warbler,1,1,1
Boat-tailed Grackle,1,1,1
Bobolink,1,1,1
Boreal Chickadee,1,1,1
Brewer's Sparrow,1,1,1
Brown Thrasher,1,1,1
Brown-capped Rosy-Finch,1,1,1
California Condor,1,1,1
Canada Warbler,1,1,1
Cape May Warbler,1,1,1
Carolina Chickadee,1,1,1
Cedar Waxwing,1,1,1
Cerulean Warbler,1,1,1
Chestnut-backed Chickadee,1,1,1
Chestnut-collared Longspur,1,1,1
Chestnut-sided Warbler,1,1,1
Chuck-will's-widow,1,1,1
Clark's Nutcracker,1,1,1
Clay-colored Sparrow,1,1,1
Common Grackle,1,1,1
Connecticut Warbler,1,1,1
Dickcissel,1,1,1
Dusky Grouse,1,1,1
Eastern Kingbird,1,1,1
Eastern Phoebe,1,1,1
Eastern Towhee,1,1,1
Eastern Whip-poor-will,1,1,1
Eastern Wood-Pewee,1,1,1
Ferruginous Hawk,1,1,1
Field Sparrow,1,1,1
Fish Crow,1,1,1
Florida Scrub-Jay,1,1,1
Fox Sparrow,1,1,1
Golden-cheeked Warbler,1,1,1
Golden-crowned Sparrow,1,1,1
Golden-winged Warbler,1,1,1
Gray Catbird,1,1,1
Gray Flycatcher,1,1,1
Gray Jay,1,1,1
Gray-crowned Rosy-Finch,1,1,1
Greater Prairie-Chicken,1,1,1
Greater Sage-Grouse,1,1,1
Gunnison Sage-Grouse,1,1,1
Hammond's Flycatcher,1,1,1
Harris's Sparrow,1,1,1
Henslow's Sparrow,1,1,1
Hermit Warbler,1,1,1
Hooded Warbler,1,1,1
Island Scrub-Jay,1,1,1
Ivory-billed Woodpecker,1,1,1
Kentucky Warbler,1,1,1
Kirtland's Warbler,1,1,1
Lark Bunting,1,1,1
Le Conte's Sparrow,1,1,1
Least Flycatcher,1,1,1
Lesser Prairie-Chicken,1,1,1
Lewis's Woodpecker,1,1,1
Lincoln's Sparrow,1,1,1
Louisiana Waterthrush,1,1,1
Magnolia Warbler,1,1,1
McCown's Longspur,1,1,1
McKay's Bunting,1,1,1
Mississippi Kite,1,1,1
Mountain Bluebird,1,1,1
Mountain Chickadee,1,1,1
Mourning Warbler,1,1,1
Nashville Warbler,1,1,1
Nelson's Sparrow,1,1,1
Northern Parula,1,1,1
Northern Waterthrush,1,1,1
Northwestern Crow,1,1,1
Ovenbird,1,1,1
Pacific Wren,1,1,1
Palm Warbler,1,1,1
Philadelphia Vireo,1,1,1
Pileated Woodpecker,1,1,1
Prairie Warbler,1,1,1
Prothonotary Warbler,1,1,1
Purple Finch,1,1,1
Red-bellied Woodpecker,1,1,1
Red-breasted Nuthatch,1,1,1
Red-breasted Sapsucker,1,1,1
Red-cockaded Woodpecker,1,1,1
Red-headed Woodpecker,1,1,1
Red-naped Sapsucker,1,1,1
Rose-breasted Grosbeak,1,1,1
Ruby-crowned Kinglet,1,1,1
Ruby-throated Hummingbird,1,1,1
Ruffed Grouse,1,1,1
Rufous Hummingbird,1,1,1
Rusty Blackbird,1,1,1
